Survey code;Community;Region;Fisheries occupation;Assets score;Flexibility score;Learning score;Organisation score;Sociocognitive score;Agency score;Assets score normalized;Flexibility score normalized;Learning score normalized;Organisation score normalized;Sociocognitive score normalized;Agency score normalized;Remaining response;Coping response;Adaptive response;Transformative response;Furthest response;Furthest response reduced
YU-XE/KZ-10;Yusu;Center;Mariculture;0.4375;0.079016183;0.200668059;0.1875;0.133075573;0.289772727;0.875;0.40597755;0.526990757;0.25;0.532302294;0.416035354;1;0;0;0;Remain;Remain/Cope
YU-XE/KZ-11;Yusu;Center;Mariculture;0.4375;0.079016183;0.18681369;0.1875;0.070738458;0.323863636;0.875;0.40597755;0.461017572;0.25;0.282953834;0.510732323;0;0;1;0;Adapt;Adapt
YU-XE/KZ-12;Yusu;Center;Mariculture;0.5;0.075784814;0.157190283;0.25;0.131321217;0.471590909;1;0.386969497;0.319953728;0.333333333;0.525284867;0.921085859;0;0;1;0;Adapt;Adapt
YU-XE/KZ-13;Yusu;Center;Mariculture;0.375;0.012644807;0.241143593;0.125;0.187662885;0.414772727;0.75;0.015557691;0.719731393;0.166666667;0.75065154;0.763257576;0;0;0;1;Transform;Transform
SH-XE/KZ-01;Shitaba;Center;Mariculture;0.5;0.067954287;0.225235316;0.0625;0.070738458;0.386363636;1;0.340907573;0.643977695;0.083333333;0.282953834;0.684343434;1;0;0;0;Remain;Remain/Cope
KO-XE/KZ-01;Komobuchi;Center;Mariculture;0.5;0.089142094;0.246338981;0.625;0.060582758;0.346590909;1;0.465541732;0.744471337;0.833333333;0.242331034;0.573863636;0;0;1;0;Adapt;Adapt
KO-XE/KZ-02;Komobuchi;Center;Mariculture;0.4375;0.045830495;0.249802573;0.75;0;0.443181818;0.875;0.21076762;0.760964634;1;0;0.842171717;1;0;0;0;Remain;Remain/Cope
KO-XE/KZ-03;Komobuchi;Center;Mariculture;0.4375;0.056892391;0.270122776;0.75;0.187662885;0.471590909;0.875;0.275837597;0.857727506;1;0.75065154;0.921085859;0;0;1;0;Adapt;Adapt
KO-XE/KZ-04;Komobuchi;Center;Mariculture;0.5;0.012644807;0.246338981;0.625;0.056341668;0.357954545;1;0.015557691;0.744471337;0.833333333;0.225366673;0.605429293;0;0;1;0;Adapt;Adapt
KO-XE/KZ-05;Komobuchi;Center;Mariculture;0.4375;0.067954287;0.23768;0.6875;0.056341668;0.323863636;0.875;0.340907573;0.703238097;0.916666667;0.225366673;0.510732323;0;0;1;0;Adapt;Adapt
KO-XE/KZ-06;Komobuchi;Center;Mariculture;0.4375;0.108970503;0.223825632;0.625;0;0.261363636;0.875;0.582179426;0.637264913;0.833333333;0;0.337121212;1;0;0;0;Remain;Remain/Cope
HI-XE/KZ-04;Hiburi Island;Center;Mariculture;0.4375;0.120863476;0.246800331;0.625;0.116924427;0.380681818;0.875;0.652138096;0.746668242;0.833333333;0.467697706;0.668560606;0;0;1;0;Adapt;Adapt
HI-XE/KZ-06;Hiburi Island;Center;Fishing;0.4375;0.164175075;0.21798602;0.6875;0.187662885;0.409090909;0.875;0.906912208;0.609457237;0.916666667;0.75065154;0.747474747;0;0;0;1;Transform;Transform
TO-XE/KZ-01;Tojima;Center;Mariculture;0.4375;0.079016183;0.14146488;0.625;0.070738458;0.295454545;0.875;0.40597755;0.245070857;0.833333333;0.282953834;0.431818182;0;1;0;0;Cope;Remain/Cope
TO-XE/KZ-02;Tojima;Center;Mariculture;0.4375;0.063954994;0.258461553;0.5625;0.060582758;0.323863636;0.875;0.317382316;0.802197874;0.75;0.242331034;0.510732323;0;0;0;1;Transform;Transform
TO-XE/KZ-03;Tojima;Center;Mariculture;0.5;0.045830495;0.232484612;0.75;0.056341668;0.323863636;1;0.21076762;0.678498153;1;0.225366673;0.510732323;0;0;1;0;Adapt;Adapt
TO-XE/KZ-04;Tojima;Center;Mariculture;0.375;0.07501689;0.184759782;0.625;0.116924427;0.5;0.75;0.382452293;0.451237058;0.833333333;0.467697706;1;0;0;1;0;Adapt;Adapt
TO-XE/KZ-05;Tojima;Center;Mariculture;0.4375;0.07501689;0.166032137;0.625;0;0.409090909;0.875;0.382452293;0.362057796;0.833333333;0;0.747474747;0;1;0;0;Cope;Remain/Cope
SI-XE/KZ-01;Shimonada;Center;Mariculture;0.375;0.067954287;0.167119709;0.6875;0.116924427;0.380681818;0.75;0.340907573;0.367236712;0.916666667;0.467697706;0.668560606;0;0;0;1;Transform;Transform
SI-XE/KZ-02;Shimonada;Center;Mariculture;0.375;0.056892391;0.249802573;0.6875;0.127080127;0.443181818;0.75;0.275837597;0.760964634;0.916666667;0.508320506;0.842171717;0;1;0;0;Cope;Remain/Cope
SI-XE/KZ-03;Shimonada;Center;Mariculture;0.5;0.056892391;0.176100802;0.625;0.127080127;0.414772727;1;0.275837597;0.410003818;0.833333333;0.508320506;0.763257576;0;1;0;0;Cope;Remain/Cope
SI-XE/KZ-04;Shimonada;Center;Mariculture;0.4375;0.045830495;0.261463796;0.6875;0.070738458;0.323863636;0.875;0.21076762;0.816494265;0.916666667;0.282953834;0.510732323;0;1;0;0;Cope;Remain/Cope
SI-XE/KZ-06;Shimonada;Center;Mariculture;0.4375;0.045830495;0.241143593;0.6875;0.116924427;0.323863636;0.875;0.21076762;0.719731393;0.916666667;0.467697706;0.510732323;0;1;0;0;Cope;Remain/Cope
SI-XE/KZ-07;Shimonada;Center;Mariculture;0.5;0.052893098;0.252804815;0.6875;0.056341668;0.232954545;1;0.25231234;0.775261025;0.916666667;0.225366673;0.258207071;0;0;1;0;Adapt;Adapt
SI-XE/KZ-08;Shimonada;Center;Mariculture;0.5;0.052893098;0.206507671;0;0.179261542;0.318181818;1;0.25231234;0.554798433;0;0.717046166;0.494949495;0;0;1;0;Adapt;Adapt
SI-XE/KZ-09;Shimonada;Center;Mariculture;0.375;0.034768599;0.244607185;0.5;0.060582758;0.386363636;0.75;0.145697644;0.736224689;0.666666667;0.242331034;0.684343434;0;0;1;0;Adapt;Adapt
UW-XE/KZ-01;Uwajima;North;Fishing;0.4375;0.164175075;0.19784869;0.1875;0.187662885;0.323863636;0.875;0.906912208;0.513565193;0.25;0.75065154;0.510732323;0;0;0;1;Transform;Transform
UW-XE/KZ-02;Uwajima;North;Mariculture;0.4375;0.067954287;0.194385098;0.6875;0.070738458;0.170454545;0.875;0.340907573;0.497071896;0.916666667;0.282953834;0.08459596;1;0;0;0;Remain;Remain/Cope
UW-XE/KZ-03;Uwajima;North;Mariculture;0.4375;0.109906488;0.187457914;0.6875;0;0.352272727;0.875;0.587685221;0.464085304;0.916666667;0;0.589646465;0;1;0;0;Cope;Remain/Cope
UW-XE/KZ-04;Uwajima;North;Mariculture;0.4375;0.056892391;0.226827874;0.1875;0.060582758;0.323863636;0.875;0.275837597;0.651561305;0.25;0.242331034;0.510732323;0;1;0;0;Cope;Remain/Cope
UC-XE/KZ-01;Uchiumi;Center;Mariculture;0.4375;0.067954287;0.241143593;0.125;0.127080127;0.295454545;0.875;0.340907573;0.719731393;0.166666667;0.508320506;0.431818182;0;0;1;0;Adapt;Adapt
UC-XE/KZ-02;Uchiumi;Center;Mariculture;0.4375;0.045830495;0.249802573;0.1875;0.131321217;0.409090909;0.875;0.21076762;0.760964634;0.25;0.525284867;0.747474747;0;0;1;0;Adapt;Adapt
UC-XE/KZ-03;Uchiumi;Center;Mariculture;0.5;0.040299547;0.232484612;0.6875;0.131321217;0.198863636;1;0.178232632;0.678498153;0.916666667;0.525284867;0.163510101;0;0;1;0;Adapt;Adapt
UC-XE/KZ-04;Uchiumi;Center;Mariculture;0.4375;0.154049164;0.249802573;0.6875;0.127080127;0.443181818;0.875;0.847348025;0.760964634;0.916666667;0.508320506;0.842171717;0;0;0;1;Transform;Transform
MI-XE/KZ-01;Mikame;North;Mariculture;0.375;0.052893098;0.278781757;0.5625;0.060582758;0.323863636;0.75;0.25231234;0.898960746;0.75;0.242331034;0.510732323;1;0;0;0;Remain;Remain/Cope
MI-XE/KZ-02;Mikame;North;Mariculture;0.4375;0.086078786;0.261463796;0.0625;0.060582758;0.380681818;0.875;0.447522269;0.816494265;0.083333333;0.242331034;0.668560606;0;0;1;0;Adapt;Adapt
MI-XE/KZ-03;Mikame;North;Fishing;0.375;0.090846004;0.166032137;0.25;0.062337115;0.352272727;0.75;0.47556473;0.362057796;0.333333333;0.24934846;0.589646465;0;1;0;0;Cope;Remain/Cope
MI-XE/KZ-04;Mikame;North;Fishing;0.375;0.071017596;0.186187468;0;0.131321217;0.443181818;0.75;0.358927036;0.458035561;0;0.525284867;0.842171717;1;0;0;0;Remain;Remain/Cope
MI-XE/KZ-05;Mikame;North;Mariculture;0.5;0.063954994;0.220988262;0.125;0.131321217;0.380681818;1;0.317382316;0.623753628;0.166666667;0.525284867;0.668560606;0;0;1;0;Adapt;Adapt
MI-XE/KZ-06;Mikame;North;Fishing;0.4375;0.120455812;0.196421005;0.6875;0.187662885;0.380681818;0.875;0.649740072;0.50676669;0.916666667;0.75065154;0.668560606;0;0;1;0;Adapt;Adapt
MI-XE/KZ-07;Mikame;North;Mariculture;0.125;0.052893098;0.200668059;0.125;0.060582758;0.352272727;0.25;0.25231234;0.526990757;0.166666667;0.242331034;0.589646465;0;0;1;0;Adapt;Adapt
MI-XE/KZ-08;Mikame;North;Fishing;0.4375;0.088206109;0.14146488;0.6875;0.187662885;0.352272727;0.875;0.460035937;0.245070857;0.916666667;0.75065154;0.589646465;0;0;1;0;Adapt;Adapt
KS-XE/KZ-01;Kosaituno;South;Fishing;0.25;0.034768599;0.258461553;0.5625;0.187662885;0.471590909;0.5;0.145697644;0.802197874;0.75;0.75065154;0.921085859;0;1;0;0;Cope;Remain/Cope
KS-XE/KZ-02;Kosaituno;South;Fishing;0.4375;0.1019079;0.215166651;0.125;0.187662885;0.255681818;0.875;0.540634707;0.596031673;0.166666667;0.75065154;0.321338384;0;1;0;0;Cope;Remain/Cope
KS-XE/KZ-03;Kosaituno;South;Fishing;0.3125;0.045830495;0.157373157;0.5625;0.070738458;0.414772727;0.625;0.21076762;0.320824556;0.75;0.282953834;0.763257576;1;0;0;0;Remain;Remain/Cope
KA-XE/KZ-01;Kashinoura;South;Fishing;0.25;0.040895217;0.189006836;0.625;0.131321217;0.414772727;0.5;0.181736569;0.471461125;0.833333333;0.525284867;0.763257576;1;0;0;0;Remain;Remain/Cope
KS-XE/KZ-02;Kashiwajima;South;Fishing;0.4375;0.0767208;0.267120534;0.6875;0.25;0.380681818;0.875;0.392475291;0.843431114;0.916666667;1;0.668560606;0;0;1;0;Adapt;Adapt
KM-XE/KZ-01;Komame;South;Fishing;0.4375;0.070081611;0.19784869;0.75;0.070738458;0.380681818;0.875;0.353421241;0.513565193;1;0.282953834;0.668560606;1;0;0;0;Remain;Remain/Cope
KM-XE/KZ-03;Komame;South;Fishing;0.1875;0.171237678;0.171227525;0.625;0.187662885;0.346590909;0.375;0.948456927;0.38679774;0.833333333;0.75065154;0.573863636;0;1;0;0;Cope;Remain/Cope
KA-XE/KZ-02;Kashinoura;South;Fishing;0;0.01970741;0.156746934;0;0.131321217;0.471590909;0;0.05710241;0.317842544;0;0.525284867;0.921085859;0;1;0;0;Cope;Remain/Cope
AM-XE/KZ-04;Amaji;South;Fishing;0.5;0.026770012;0.267120534;0.6875;0.187662885;0.443181818;1;0.09864713;0.843431114;0.916666667;0.75065154;0.842171717;0;1;0;0;Cope;Remain/Cope
SA-XE/KZ-01;Sakaki;South;Fishing;0.5;0.141115298;0.296099717;0.625;0;0.284090909;1;0.77126646;0.981427226;0.833333333;0;0.400252525;1;0;0;0;Remain;Remain/Cope
SA-XE/KZ-02;Sakaki;South;Fishing;0.4375;0.143687845;0.241143593;0.125;0.189417242;0.380681818;0.875;0.786399087;0.719731393;0.166666667;0.757668966;0.668560606;0;0;0;1;Transform;Transform
SA-XE/KZ-06;Sakaki;South;Mariculture;0.25;0.01970741;0.22948237;0.75;0.187662885;0.414772727;0.5;0.05710241;0.664201762;1;0.75065154;0.763257576;0;0;1;0;Adapt;Adapt
OM-XE/KZ-01;Omi;South;Mariculture;0.5;0.063954994;0.290904329;0.1875;0;0.352272727;1;0.317382316;0.956687282;0.25;0;0.589646465;0;0;1;0;Adapt;Adapt
OM-XE/KZ-03;Omi;South;Fishing;0.4375;0.033832614;0.168851506;0.125;0.187662885;0.272727273;0.875;0.140191849;0.37548336;0.166666667;0.75065154;0.368686869;1;0;0;0;Remain;Remain/Cope
OM-XE/KZ-04;Omi;South;Mariculture;0.4375;0.063954994;0.261463796;0.6875;0.127080127;0.409090909;0.875;0.317382316;0.816494265;0.916666667;0.508320506;0.747474747;1;0;0;0;Remain;Remain/Cope
OM-XE/KZ-05;Omi;South;Mariculture;0.5;0.063954994;0.232945962;0.5;0.189417242;0.352272727;1;0.317382316;0.680695058;0.666666667;0.757668966;0.589646465;0;0;1;0;Adapt;Adapt
OM-XE/KZ-06;Omi;South;Fishing;0.5;0.033832614;0.264118292;0.25;0.187662885;0.414772727;1;0.140191849;0.829134722;0.333333333;0.75065154;0.763257576;0;1;0;0;Cope;Remain/Cope
KT-XE/KZ-01;Katashima;South;Mariculture;0.375;0.067954287;0.223825632;0.625;0.127080127;0.380681818;0.75;0.340907573;0.637264913;0.833333333;0.508320506;0.668560606;0;0;1;0;Adapt;Adapt
KT-XE/KZ-02;Katashima;South;Mariculture;0.5;0.045830495;0.168851506;0.5625;0;0.471590909;1;0.21076762;0.37548336;0.75;0;0.921085859;0;0;0;1;Transform;Transform
KT-XE/KZ-03;Katashima;South;Fishing;0.375;0.0599557;0.127610511;0.0625;0.127080127;0.409090909;0.75;0.293857059;0.179097673;0.083333333;0.508320506;0.747474747;0;1;0;0;Cope;Remain/Cope
KT-XE/KZ-04;Katashima;South;Fishing;0.5;0.114329195;0.10477505;0.125;0.131321217;0.267045455;1;0.613701147;0.070357383;0.166666667;0.525284867;0.35290404;0;1;0;0;Cope;Remain/Cope
KT-XE/KZ-05;Katashima;South;Mariculture;0.5;0.07501689;0.19784869;0.1875;0.056341668;0.142045455;1;0.382452293;0.513565193;0.25;0.225366673;0.005681818;0;0;1;0;Adapt;Adapt
KT-XE/KZ-06;Katashima;South;Fishing;0.4375;0.109393916;0.161942323;0.1875;0.187662885;0.289772727;0.875;0.584670096;0.342582488;0.25;0.75065154;0.416035354;1;0;0;0;Remain;Remain/Cope
