ID,encounter_sc,pa_personal_sc,pa_social_sc,pa_care_sc,ThemeA_sc,ThemeI_sc,ThemeE_sc,ThemeN_sc,age,sex,natcon,residency_sc
114,0.369354042,3.75,3.75,3.75,0,5,0,0,55-64,Male,1,2.842105263
115,0.051588826,5,5,5,0,3.75,1.25,0,45-54,Female,1,1.105263158
116,0.42766588,5,5,5,1.428571429,1.428571429,2.142857143,0,35-44,Female,2,1.421052632
117,0.599034082,5,5,5,1,3,1,0,45-54,Female,2,0.684210526
118,0.058174634,4.375,4.583333333,3.75,1.666666667,3.333333334,0,0,45-54,Female,2,1.052631579
119,0.191845947,5,5,5,1,3,1,0,35-44,Female,2,0.684210526
120,0.341913177,5,3.333333333,3.75,0,5,0,0,35-44,Male,2,0.684210526
121,0.005488173,3.4375,1.666666667,3.75,1,2,2,0,45-54,Female,1,5
122,0.045208825,2.5,1.666666667,2.5,0,5,0,0,45-54,Female,2,1.052631579
123,0.262609077,5,4.583333333,5,0,3.333333334,1.666666667,0,45-54,Female,2,0.684210526
124,0.235991438,4.0625,3.333333333,3.75,1.25,3.75,0,0,45-54,Female,2,0.315789474
125,0.006311399,1.5625,1.25,3.75,1.666666667,3.333333334,0,0,45-54,Female,2,0
126,0.369354042,4.6875,2.5,5,1.25,3.75,0,0,55-64,Female,1,2.210526316
127,0.002195269,3.75,4.166666667,5,2.5,2.5,0,0,35-44,Female,2,2
129,3.16338291,5,5,5,1.666666667,3.333333334,0,0,55-64,Male,1,0.736842105
130,0.24587015,5,3.75,5,1,2,2,0,35-44,Female,2,1.210526316
131,0.148969596,5,5,5,1.25,2.5,1.25,0,35-44,Female,1,1.842105263
132,0.394462433,3.75,3.75,3.75,1.25,1.25,2.5,0,55-64,Female,2,0.947368421
133,0.592242467,5,5,5,1.176470588,2.05882353,0.588235294,1.176470588,55-64,Female,1,2.947368421
134,0.051588826,4.0625,4.583333333,2.5,0,3.75,1.25,0,35-44,Female,2,0.105263158
135,0.394462433,5,4.166666667,5,1.25,3.75,0,0,45-54,Female,1,0.526315789
136,0.12753142,5,3.75,5,1,2,2,0,45-54,Female,1,0.736842105
137,0.196682399,3.75,3.75,3.75,2,3,0,0,25-34,Male,2,1.526315789
138,0.295572416,1.5625,0.416666667,2.5,1.666666667,3.333333334,0,0,55-64,Female,1,2.578947368
140,0.005488173,1.25,0,5,1.034482759,2.068965517,0.51724138,1.379310345,65+,Female,2,1.526315789
141,0.025245596,3.75,2.916666667,1.25,2.5,2.5,0,0,35-44,Female,2,2.052631579
142,0.592242467,5,5,5,1.25,1.25,2.5,0,55-64,Female,2,3.315789474
143,0.108665825,5,3.75,5,1.25,2.5,1.25,0,55-64,Female,1,0.894736842
144,0.394462433,5,4.583333333,5,2.5,2.5,0,0,55-64,Female,1,1.263157895
145,0.196682399,5,5,5,3.333333334,1.666666667,0,0,55-64,Male,2,0.736842105
146,0.434388892,5,5,5,1.666666667,1.666666667,1.666666667,0,45-54,Female,1,0.894736842
147,0.414240437,5,5,5,0,5,0,0,55-64,Female,1,0
148,0,3.75,3.333333333,5,1,3,0,1,35-44,Female,1,0.315789474
149,0.17671917,5,5,5,1,3,1,0,55-64,Female,2,3.263157895
150,0.001372043,4.375,3.333333333,5,1.25,3.75,0,0,45-54,Female,1,0.315789474
151,0.163547555,4.0625,3.75,5,1.428571429,2.142857143,1.428571429,0,35-44,Female,2,2.157894737
152,0.196682399,5,5,5,1.666666667,1.666666667,1.666666667,0,25-34,Male,2,1.368421053
153,0.102628835,3.75,1.25,2.5,1,3,0,1,45-54,Female,1,0.789473684
154,0.592242467,4.6875,2.5,2.5,0,4,1,0,45-54,Prefer not to say,2,0.157894737
156,0.002332474,2.1875,0.833333333,2.5,1.666666667,3.333333334,0,0,25-34,Female,2,0
157,0.000548817,5,5,5,0,3.333333334,1.666666667,0,25-34,Female,1,1.473684211
159,0.394462433,3.4375,2.916666667,3.75,0.714285715,2.142857143,2.142857143,0,65+,Female,2,2.157894737
160,0.019071401,5,4.583333333,5,0.972222222,2.5,0.416666667,1.111111111,45-54,Prefer not to say,1,1.526315789
161,0.000782065,1.25,1.25,2.5,0,5,0,0,45-54,Female,1,2.578947368
162,0.019483014,4.6875,3.75,3.75,1.25,1.25,2.5,0,35-44,Female,1,0.105263158
