plot;type;snow_depth;treatment;doy;;comb;comments,
F;meadow;65;control;128;;meadowcontrol;,
E;meadow;85;removal;112;;meadowremoval;,
C;meadow;60;control;128;;meadowcontrol;,
B;meadow;65;removal;112;;meadowremoval;,
D;meadow;70;control;128;;meadowcontrol;,
G;meadow;65;removal;112;;meadowremoval;,
H;meadow;65;control;128;;meadowcontrol;,
1;heath;80;control;119;;heathcontrol;,
3;heath;80;control;119;;heathcontrol;,
4;heath;;control;133;;heathcontrol;,
5;heath;45;control;133;;heathcontrol;,
6;heath;40;control;133;;heathcontrol;,
7;heath;50;control;133;;heathcontrol;,
8;heath;55;control;133;;heathcontrol;,
F;meadow;;control;132;;meadowcontrol;,
E;meadow;70;control;119;;meadowcontrol;,
C;meadow;55;control;132;;meadowcontrol;,
B;meadow;50;control;119;;meadowcontrol;,
D;meadow;60;control;132;;meadowcontrol;,
G;meadow;55;control;119;;meadowcontrol;,
H;meadow;55;control;132;;meadowcontrol;,
1;heath;80;removal;119;;heathremoval;,
3;heath;80;removal;119;;heathremoval;,
4;heath;10;control;139;;heathcontrol;,
5;heath;10;control;139;;heathcontrol;,
6;heath;10;control;139;;heathcontrol;,
7;heath;25;control;139;;heathcontrol;,
8;heath;45;control;139;;heathcontrol;,
F;meadow;10;control;139;;meadowcontrol;,
E;meadow;70;removal;119;;meadowremoval;,
C;meadow;10;control;139;;meadowcontrol;,
B;meadow;50;removal;119;;meadowremoval;,
D;meadow;20;control;139;;meadowcontrol;,
G;meadow;40;removal;119;;meadowremoval;,
H;meadow;4;control;139;;meadowcontrol;,
1;heath;85;control;121;;heathcontrol;,
3;heath;75;control;121;;heathcontrol;,
4;heath;0;control;146;;heathcontrol;,
5;heath;0;control;146;;heathcontrol;,
6;heath;0;control;146;;heathcontrol;,
7;heath;0;control;146;;heathcontrol;,
8;heath;0;control;146;;heathcontrol;,
F;meadow;0;control;146;;meadowcontrol;,
E;meadow;70;control;121;;meadowcontrol;,
C;meadow;0;control;146;;meadowcontrol;,
B;meadow;55;control;121;;meadowcontrol;,
D;meadow;0;control;147;;meadowcontrol;,
G;meadow;50;control;121;;meadowcontrol;,
H;meadow;0;control;146;;meadowcontrol;,
1;heath;85;removal;121;;heathremoval;,
3;heath;75;removal;121;;heathremoval;,
4;heath;105;removal;97;;heathremoval;,
5;heath;90;removal;97;;heathremoval;,
6;heath;90;removal;97;;heathremoval;,
7;heath;80;removal;97;;heathremoval;,
8;heath;115;removal;97;;heathremoval;,
F;meadow;85;removal;97;;meadowremoval;,
E;meadow;70;removal;121;;meadowremoval;,
C;meadow;90;removal;97;;meadowremoval;,
B;meadow;40;removal;121;;meadowremoval;,
D;meadow;92;removal;97;;meadowremoval;,
G;meadow;30;removal;121;;meadowremoval;,
H;meadow;85;removal;97;;meadowremoval;,
1;heath;80;control;128; ;heathcontrol;,
3;heath;70;control;128;;heathcontrol;,
4;heath;80;removal;105;;heathremoval;,
5;heath;90;removal;105;;heathremoval;,
6;heath;70;removal;105;;heathremoval;,
7;heath;80;removal;105;;heathremoval;,
8;heath;95;removal;105;;heathremoval;,
F;meadow;90;removal;105;;meadowremoval;,
E;meadow;70;control;128;;meadowcontrol;,
C;meadow;80;removal;105;;meadowremoval;,
B;meadow;40;control;128;;meadowcontrol;,
D;meadow;90;removal;105;;meadowremoval;,
G;meadow;45;control;128;;meadowcontrol;,
H;meadow;90;removal;105;;meadowremoval;,
1;heath;80;removal;128;;heathremoval;,
3;heath;70;removal;128;;heathremoval;,
4;heath;90;removal;112;;heathremoval;,
5;heath;85;removal;112;;heathremoval;,
6;heath;65;removal;112;;heathremoval;,
7;heath;75;removal;112;;heathremoval;,
8;heath;90;removal;112;;heathremoval;,
F;meadow;90;removal;112;;meadowremoval;,
E;meadow;70;removal;128;;meadowremoval;,
C;meadow;70;removal;112;;meadowremoval;,
B;meadow;25;removal;128;;meadowremoval;,
D;meadow;90;removal;112;;meadowremoval;,
G;meadow;25;removal;128;;meadowremoval;,
H;meadow;95;removal;112;;meadowremoval;,
1;heath;70;control;133;;heathcontrol;,
3;heath;65;control;133;;heathcontrol;,
4;heath;50;removal;119;;heathremoval;,
5;heath;70;removal;119;;heathremoval;,
6;heath;50;removal;119;;heathremoval;,
7;heath;65;removal;119;;heathremoval;,
8;heath;70;removal;119;;heathremoval;,
F;meadow;65;removal;119;;meadowremoval;,
E;meadow;60;control;132;;meadowcontrol;,
C;meadow;50;removal;119;;meadowremoval;,
B;meadow;25;control;132;;meadowcontrol;,
D;meadow;70;removal;119;;meadowremoval;,
G;meadow;35;control;132;;meadowcontrol;,
H;meadow;70;removal;119;;meadowremoval;,
1;heath;70;removal;133;;heathremoval;,
3;heath;50;removal;133;;heathremoval;,
4;heath;50;removal;121;;heathremoval;,
5;heath;65;removal;121;;heathremoval;,
6;heath;35;removal;121;;heathremoval;,
7;heath;60;removal;121;;heathremoval;,
8;heath;70;removal;121;;heathremoval;,
F;meadow;50;removal;121;;meadowremoval;,
E;meadow;60;removal;132;;meadowremoval;,
C;meadow;55;removal;121;;meadowremoval;,
B;meadow;0;removal;132;;meadowremoval;,
D;meadow;70;removal;121;;meadowremoval;,
G;meadow;0;removal;132;;meadowremoval;,
H;meadow;60;removal;121;;meadowremoval;,
1;heath;55;control;139;;heathcontrol;,
3;heath;45;control;139;;heathcontrol;,
4;heath;45;removal;128;;heathremoval;,
5;heath;40;removal;128;;heathremoval;,
6;heath;30;removal;128;;heathremoval;,
7;heath;55;removal;128;;heathremoval;,
8;heath;70;removal;128;;heathremoval;,
F;meadow;40;removal;128;;meadowremoval;,
E;meadow;40;control;139;;meadowcontrol;,
C;meadow;35;removal;128;;meadowremoval;,
B;meadow;0;control;139;;meadowcontrol;,
D;meadow;70;removal;128;;meadowremoval;,
G;meadow;0;control;139;;meadowcontrol;,
H;meadow;50;removal;128;;meadowremoval;,
1;heath;55;removal;139;;heathremoval;,
3;heath;10;removal;139;;heathremoval;,
4;heath;10;removal;133;taken away;heathremoval;,
5;heath;20;removal;133;taken away;heathremoval;,
6;heath;0;removal;133;taken away before;heathremoval;,
7;heath;35;removal;133;;heathremoval;,
8;heath;35;removal;133;;heathremoval;,
F;meadow;25;removal;132;;meadowremoval;,
E;meadow;0;removal;139;;meadowremoval;,
C;meadow;0;removal;132;;meadowremoval;,
B;meadow;0;removal;139;;meadowremoval;,
D;meadow;50;removal;132;;meadowremoval;,
G;meadow;0;removal;139;;meadowremoval;,
H;meadow;30;removal;132;;meadowremoval;,
1;heath;10;control;146;;heathcontrol;,
3;heath;0;control;146;;heathcontrol;,
4;heath;0;removal;139;;heathremoval;,
5;heath;0;removal;139;;heathremoval;,
6;heath;0;removal;139;;heathremoval;,
7;heath;0;removal;139;;heathremoval;,
8;heath;0;removal;139;;heathremoval;,
F;meadow;0;removal;139;;meadowremoval;,
E;meadow;0;control;146;;meadowcontrol;,
C;meadow;0;removal;139;;meadowremoval;,
B;meadow;0;control;146;;meadowcontrol;,
D;meadow;0;removal;139;;meadowremoval;,
G;meadow;0;control;146;;meadowcontrol;,
H;meadow;0;removal;139;;meadowremoval;,
1;heath;0;removal;146;;heathremoval;,
3;heath;0;removal;146;;heathremoval;,
4;heath;0;removal;146;;heathremoval;,
5;heath;0;removal;146;;heathremoval;,
6;heath;0;removal;146;;heathremoval;,
7;heath;0;removal;146;;heathremoval;,
8;heath;0;removal;146;;heathremoval;,
F;meadow;0;removal;146;;meadowremoval;,
E;meadow;0;removal;146;;meadowremoval;,
C;meadow;0;removal;146;;meadowremoval;,
B;meadow;0;removal;146;;meadowremoval;,
D;meadow;0;removal;146;;meadowremoval;,
G;meadow;0;removal;146;;meadowremoval;,
H;meadow;0;removal;146;;meadowremoval;,
