IDnum,ReforestInclCmtyBene,AltLivelihoods,Enforcement,ForestMgmtValued,SkillsAndKnowledge,Markets,LocalCustomization,LinksToBenefitPrograms,PoliticalWill,InstitutionalCapacity,StakeholderKnowledge,SustainableForestProducts,MarketsForES
7151602,*,49.0,*,*,Inadequate,DiverseStrong,Present,*,*,*,*,*,*
7151602,*,5.0,*,*,Adequate,DiverseStrong,Absent,*,*,*,*,*,*
7151602,*,31.0,*,*,Inadequate,DiverseStrong,Absent,*,*,*,*,*,*
7151602,*,60.0,*,*,Adequate,HomogenousWeak,Present,*,*,*,*,*,*
7151602,*,31.0,*,*,Inadequate,HomogenousWeak,Present,*,*,*,*,*,*
7151602,*,59.0,*,*,Adequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151602,*,10.0,*,*,Inadequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151602,*,*,90.0,*,*,*,*,HighlyCoordinated,Strong,High,*,*,*
7151602,*,*,58.0,*,*,*,*,HighlyCoordinated,Strong,Low,*,*,*
7151602,*,*,70.0,*,*,*,*,HighlyCoordinated,Weak,High,*,*,*
7151602,*,*,20.0,*,*,*,*,HighlyCoordinated,Weak,Low,*,*,*
7151602,*,*,58.0,*,*,*,*,PoorlyCoordinated,Strong,High,*,*,*
7151602,*,*,20.0,*,*,*,*,PoorlyCoordinated,Strong,Low,*,*,*
7151602,*,*,58.0,*,*,*,*,PoorlyCoordinated,Weak,High,*,*,*
7151602,*,*,6.0,*,*,*,*,PoorlyCoordinated,Weak,Low,*,*,*
7151602,*,*,*,91.0,*,*,*,*,*,*,Adequate,HighlyValued,Present
7151602,*,*,*,59.0,*,*,*,*,*,*,Adequate,HighlyValued,Absent
7151602,*,*,*,22.0,*,*,*,*,*,*,Adequate,Devalued,Present
7151602,*,*,*,23.0,*,*,*,*,*,*,Adequate,Devalued,Absent
7151602,*,*,*,84.0,*,*,*,*,*,*,Inadequate,HighlyValued,Present
7151602,*,*,*,24.0,*,*,*,*,*,*,Inadequate,HighlyValued,Absent
7151602,*,*,*,59.0,*,*,*,*,*,*,Inadequate,Devalued,Present
7151602,*,*,*,23.0,*,*,*,*,*,*,Inadequate,Devalued,Absent
7151606,70.0,AvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151606,31.0,AvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151606,61.0,AvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151606,23.0,AvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151606,11.0,NotAvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151606,22.0,NotAvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151606,34.0,NotAvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151606,11.0,NotAvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151606,*,91.0,*,*,Adequate,DiverseStrong,Present,*,*,*,*,*,*
7151606,*,51.0,*,*,Inadequate,DiverseStrong,Present,*,*,*,*,*,*
7151606,*,52.0,*,*,Adequate,DiverseStrong,Absent,*,*,*,*,*,*
7151606,*,34.0,*,*,Inadequate,DiverseStrong,Absent,*,*,*,*,*,*
7151606,*,47.0,*,*,Adequate,HomogenousWeak,Present,*,*,*,*,*,*
7151606,*,23.0,*,*,Inadequate,HomogenousWeak,Present,*,*,*,*,*,*
7151606,*,23.0,*,*,Adequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151606,*,36.0,*,*,Inadequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151606,*,*,100.0,*,*,*,*,HighlyCoordinated,Strong,High,*,*,*
7151606,*,*,40.0,*,*,*,*,HighlyCoordinated,Strong,Low,*,*,*
7151606,*,*,30.0,*,*,*,*,HighlyCoordinated,Weak,High,*,*,*
7151606,*,*,21.0,*,*,*,*,HighlyCoordinated,Weak,Low,*,*,*
7151606,*,*,41.0,*,*,*,*,PoorlyCoordinated,Strong,High,*,*,*
7151606,*,*,10.0,*,*,*,*,PoorlyCoordinated,Strong,Low,*,*,*
7151606,*,*,20.0,*,*,*,*,PoorlyCoordinated,Weak,High,*,*,*
7151606,*,*,9.0,*,*,*,*,PoorlyCoordinated,Weak,Low,*,*,*
7151606,*,*,*,80.0,*,*,*,*,*,*,Adequate,HighlyValued,Present
7151606,*,*,*,71.0,*,*,*,*,*,*,Adequate,HighlyValued,Absent
7151606,*,*,*,41.0,*,*,*,*,*,*,Adequate,Devalued,Present
7151606,*,*,*,21.0,*,*,*,*,*,*,Adequate,Devalued,Absent
7151606,*,*,*,31.0,*,*,*,*,*,*,Inadequate,HighlyValued,Present
7151606,*,*,*,10.0,*,*,*,*,*,*,Inadequate,HighlyValued,Absent
7151606,*,*,*,10.0,*,*,*,*,*,*,Inadequate,Devalued,Present
7151606,*,*,*,10.0,*,*,*,*,*,*,Inadequate,Devalued,Absent
7151601,88.0,AvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151601,37.0,AvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151601,45.0,AvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151601,27.0,AvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151601,44.0,NotAvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151601,49.0,NotAvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151601,25.0,NotAvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151601,12.0,NotAvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151601,*,82.0,*,*,Adequate,DiverseStrong,Present,*,*,*,*,*,*
7151601,*,76.0,*,*,Inadequate,DiverseStrong,Present,*,*,*,*,*,*
7151601,*,40.0,*,*,Adequate,DiverseStrong,Absent,*,*,*,*,*,*
7151601,*,22.0,*,*,Inadequate,DiverseStrong,Absent,*,*,*,*,*,*
7151601,*,28.0,*,*,Adequate,HomogenousWeak,Present,*,*,*,*,*,*
7151601,*,14.0,*,*,Inadequate,HomogenousWeak,Present,*,*,*,*,*,*
7151601,*,9.0,*,*,Adequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151601,*,2.0,*,*,Inadequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151601,*,*,97.0,*,*,*,*,HighlyCoordinated,Strong,High,*,*,*
7151601,*,*,34.0,*,*,*,*,HighlyCoordinated,Strong,Low,*,*,*
7151601,*,*,50.0,*,*,*,*,HighlyCoordinated,Weak,High,*,*,*
7151601,*,*,17.0,*,*,*,*,HighlyCoordinated,Weak,Low,*,*,*
7151601,*,*,43.0,*,*,*,*,PoorlyCoordinated,Strong,High,*,*,*
7151601,*,*,49.0,*,*,*,*,PoorlyCoordinated,Strong,Low,*,*,*
7151601,*,*,29.0,*,*,*,*,PoorlyCoordinated,Weak,High,*,*,*
7151601,*,*,7.0,*,*,*,*,PoorlyCoordinated,Weak,Low,*,*,*
7151601,*,*,*,98.0,*,*,*,*,*,*,Adequate,HighlyValued,Present
7151601,*,*,*,61.0,*,*,*,*,*,*,Adequate,HighlyValued,Absent
7151601,*,*,*,46.0,*,*,*,*,*,*,Adequate,Devalued,Present
7151601,*,*,*,39.0,*,*,*,*,*,*,Adequate,Devalued,Absent
7151601,*,*,*,66.0,*,*,*,*,*,*,Inadequate,HighlyValued,Present
7151601,*,*,*,24.0,*,*,*,*,*,*,Inadequate,HighlyValued,Absent
7151601,*,*,*,20.0,*,*,*,*,*,*,Inadequate,Devalued,Present
7151601,*,*,*,7.0,*,*,*,*,*,*,Inadequate,Devalued,Absent
