IDnum,PovertyAlleviation,Education,ImpAgriPractices,SmallBusinesses,FoodForSchoolChildren,SchoolMaterials,TeachingAndLearningMaterials,CapacityBldgTrngFarmers,ImprovedSeedsAndFert,MarketsForAgProducts,CapitalLoans,Markets,CapacityBldgTrng
1023691,*,95.0,*,*,Available,Available,LowQuality,*,*,*,*,*,*
1023691,*,95.0,*,*,Available,NotAvailable,HighQuality,*,*,*,*,*,*
1023691,*,95.0,*,*,Available,NotAvailable,LowQuality,*,*,*,*,*,*
1023691,*,79.0,*,*,NotAvailable,Available,HighQuality,*,*,*,*,*,*
1023691,*,81.0,*,*,NotAvailable,Available,LowQuality,*,*,*,*,*,*
1023691,*,80.0,*,*,NotAvailable,NotAvailable,HighQuality,*,*,*,*,*,*
1023691,*,79.0,*,*,NotAvailable,NotAvailable,LowQuality,*,*,*,*,*,*
1023691,*,*,96.0,*,*,*,*,Adopted,Available,Available,*,*,*
1023691,*,*,59.0,*,*,*,*,Adopted,Available,NotAvailable,*,*,*
1023691,*,*,95.0,*,*,*,*,Adopted,NotAvailable,Available,*,*,*
1023691,*,*,94.0,*,*,*,*,Adopted,NotAvailable,NotAvailable,*,*,*
1023691,*,*,93.0,*,*,*,*,Disregarded,Available,Available,*,*,*
1023691,*,*,92.0,*,*,*,*,Disregarded,Available,NotAvailable,*,*,*
1023691,*,*,91.0,*,*,*,*,Disregarded,NotAvailable,Available,*,*,*
1023691,*,*,91.0,*,*,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*
1023691,*,*,*,68.0,*,*,*,*,*,*,Available,HighQuality,HighQuality
1023691,*,*,*,67.0,*,*,*,*,*,*,Available,HighQuality,LowQuality
1023691,*,*,*,67.0,*,*,*,*,*,*,Available,LowQuality,HighQuality
1023691,*,*,*,67.0,*,*,*,*,*,*,Available,LowQuality,LowQuality
1023691,*,*,*,65.0,*,*,*,*,*,*,NotAvailable,HighQuality,HighQuality
1023691,*,*,*,64.0,*,*,*,*,*,*,NotAvailable,HighQuality,LowQuality
1023691,*,*,*,63.0,*,*,*,*,*,*,NotAvailable,LowQuality,HighQuality
1023691,*,*,*,62.0,*,*,*,*,*,*,NotAvailable,LowQuality,LowQuality
1030121,96.0,HighQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1030121,95.0,HighQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1030121,94.0,HighQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1030121,96.0,HighQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1030121,95.0,LowQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1030121,6.0,LowQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1030121,4.0,LowQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1030121,5.0,LowQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1030121,*,97.0,*,*,Available,Available,HighQuality,*,*,*,*,*,*
1030121,*,5.0,*,*,Available,Available,LowQuality,*,*,*,*,*,*
1030121,*,46.0,*,*,Available,NotAvailable,HighQuality,*,*,*,*,*,*
1030121,*,45.0,*,*,Available,NotAvailable,LowQuality,*,*,*,*,*,*
1030121,*,4.0,*,*,NotAvailable,Available,HighQuality,*,*,*,*,*,*
1030121,*,4.0,*,*,NotAvailable,Available,LowQuality,*,*,*,*,*,*
1030121,*,4.0,*,*,NotAvailable,NotAvailable,HighQuality,*,*,*,*,*,*
1030121,*,5.0,*,*,NotAvailable,NotAvailable,LowQuality,*,*,*,*,*,*
1030121,*,*,97.0,*,*,*,*,Adopted,Available,Available,*,*,*
1030121,*,*,95.0,*,*,*,*,Adopted,Available,NotAvailable,*,*,*
1030121,*,*,3.0,*,*,*,*,Adopted,NotAvailable,Available,*,*,*
1030121,*,*,3.0,*,*,*,*,Adopted,NotAvailable,NotAvailable,*,*,*
1030121,*,*,3.0,*,*,*,*,Disregarded,Available,Available,*,*,*
1030121,*,*,3.0,*,*,*,*,Disregarded,Available,NotAvailable,*,*,*
1030121,*,*,4.0,*,*,*,*,Disregarded,NotAvailable,Available,*,*,*
1030121,*,*,4.0,*,*,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*
1030121,*,*,*,95.0,*,*,*,*,*,*,Available,HighQuality,HighQuality
1030121,*,*,*,43.0,*,*,*,*,*,*,Available,HighQuality,LowQuality
1030121,*,*,*,44.0,*,*,*,*,*,*,Available,LowQuality,HighQuality
1030121,*,*,*,4.0,*,*,*,*,*,*,Available,LowQuality,LowQuality
1030121,*,*,*,3.0,*,*,*,*,*,*,NotAvailable,HighQuality,HighQuality
1030121,*,*,*,4.0,*,*,*,*,*,*,NotAvailable,HighQuality,LowQuality
1030121,*,*,*,4.0,*,*,*,*,*,*,NotAvailable,LowQuality,HighQuality
1030121,*,*,*,5.0,*,*,*,*,*,*,NotAvailable,LowQuality,LowQuality
1041591,94.0,HighQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1041591,4.0,HighQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1041591,39.0,HighQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1041591,3.0,HighQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1041591,92.0,LowQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1041591,37.0,LowQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1041591,3.0,LowQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1041591,2.0,LowQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1041591,*,2.0,*,*,Available,Available,HighQuality,*,*,*,*,*,*
1041591,*,90.0,*,*,Available,Available,LowQuality,*,*,*,*,*,*
1041591,*,42.0,*,*,Available,NotAvailable,HighQuality,*,*,*,*,*,*
1041591,*,90.0,*,*,Available,NotAvailable,LowQuality,*,*,*,*,*,*
1041591,*,41.0,*,*,NotAvailable,Available,HighQuality,*,*,*,*,*,*
1041591,*,1.0,*,*,NotAvailable,Available,LowQuality,*,*,*,*,*,*
1041591,*,2.0,*,*,NotAvailable,NotAvailable,HighQuality,*,*,*,*,*,*
1041591,*,2.0,*,*,NotAvailable,NotAvailable,LowQuality,*,*,*,*,*,*
1041591,*,*,94.0,*,*,*,*,Adopted,Available,Available,*,*,*
1041591,*,*,2.0,*,*,*,*,Adopted,Available,NotAvailable,*,*,*
1041591,*,*,38.0,*,*,*,*,Adopted,NotAvailable,Available,*,*,*
1041591,*,*,1.0,*,*,*,*,Adopted,NotAvailable,NotAvailable,*,*,*
1041591,*,*,1.0,*,*,*,*,Disregarded,Available,Available,*,*,*
1041591,*,*,37.0,*,*,*,*,Disregarded,Available,NotAvailable,*,*,*
1041591,*,*,93.0,*,*,*,*,Disregarded,NotAvailable,Available,*,*,*
1041591,*,*,2.0,*,*,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*
1041591,*,*,*,94.0,*,*,*,*,*,*,Available,HighQuality,HighQuality
1041591,*,*,*,40.0,*,*,*,*,*,*,Available,HighQuality,LowQuality
1041591,*,*,*,93.0,*,*,*,*,*,*,Available,LowQuality,HighQuality
1041591,*,*,*,1.0,*,*,*,*,*,*,Available,LowQuality,LowQuality
1041591,*,*,*,*,*,*,*,*,*,*,NotAvailable,HighQuality,HighQuality
1041591,*,*,*,1.0,*,*,*,*,*,*,NotAvailable,HighQuality,LowQuality
1041591,*,*,*,43.0,*,*,*,*,*,*,NotAvailable,LowQuality,HighQuality
1041591,*,*,*,93.0,*,*,*,*,*,*,NotAvailable,LowQuality,LowQuality
