IDnum,PovertyAlleviation,AltLivelihoods,FamilyPlanning,ImprovedAgPractices,CapitalLoansSmBus,CapacityBldgTrngSmBus,QualityOfProducts,KnowSensitizationFamPlng,EarlyEdFamPlng,CapacityBldgFamPlngStaff,Agroforestry,FrstWoodlotCapBldg,UseOfCertImpSeeds
7181603,*,*,*,68.0,*,*,*,*,*,*,NotAvailable,Adopted,HighlyAccessed
7181603,*,*,*,45.0,*,*,*,*,*,*,NotAvailable,Adopted,PoorlyAccessed
7181603,*,*,*,45.0,*,*,*,*,*,*,NotAvailable,Disregarded,HighlyAccessed
7181603,*,*,*,18.0,*,*,*,*,*,*,NotAvailable,Disregarded,PoorlyAccessed
7181602,81.0,Viable,Adopted,Adopted,*,*,*,*,*,*,*,*,*
7181602,30.0,Viable,Adopted,Disregarded,*,*,*,*,*,*,*,*,*
7181602,61.0,Viable,Disregarded,Adopted,*,*,*,*,*,*,*,*,*
7181602,23.0,Viable,Disregarded,Disregarded,*,*,*,*,*,*,*,*,*
7181602,37.0,NotViable,Adopted,Adopted,*,*,*,*,*,*,*,*,*
7181602,42.0,NotViable,Adopted,Disregarded,*,*,*,*,*,*,*,*,*
7181602,29.0,NotViable,Disregarded,Adopted,*,*,*,*,*,*,*,*,*
7181602,19.0,NotViable,Disregarded,Disregarded,*,*,*,*,*,*,*,*,*
7181602,*,71.0,*,*,Available,Adopted,Good,*,*,*,*,*,*
7181602,*,40.0,*,*,Available,Adopted,Poor,*,*,*,*,*,*
7181602,*,59.0,*,*,Available,Disregarded,Good,*,*,*,*,*,*
7181602,*,31.0,*,*,Available,Disregarded,Poor,*,*,*,*,*,*
7181602,*,46.0,*,*,NotAvailable,Adopted,Good,*,*,*,*,*,*
7181602,*,19.0,*,*,NotAvailable,Adopted,Poor,*,*,*,*,*,*
7181602,*,20.0,*,*,NotAvailable,Disregarded,Good,*,*,*,*,*,*
7181602,*,17.0,*,*,NotAvailable,Disregarded,Poor,*,*,*,*,*,*
7181602,*,*,60.0,*,*,*,*,AwarenessHighKnowWidelyDist,Adopted,High,*,*,*
7181602,*,*,40.0,*,*,*,*,AwarenessHighKnowWidelyDist,Adopted,Low,*,*,*
7181602,*,*,50.0,*,*,*,*,AwarenessHighKnowWidelyDist,Disregarded,High,*,*,*
7181602,*,*,40.0,*,*,*,*,AwarenessHighKnowWidelyDist,Disregarded,Low,*,*,*
7181602,*,*,49.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Adopted,High,*,*,*
7181602,*,*,33.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Adopted,Low,*,*,*
7181602,*,*,18.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Disregarded,High,*,*,*
7181602,*,*,12.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Disregarded,Low,*,*,*
7181602,*,*,*,81.0,*,*,*,*,*,*,Available,Adopted,HighlyAccessed
7181602,*,*,*,40.0,*,*,*,*,*,*,Available,Adopted,PoorlyAccessed
7181602,*,*,*,51.0,*,*,*,*,*,*,Available,Disregarded,HighlyAccessed
7181602,*,*,*,29.0,*,*,*,*,*,*,Available,Disregarded,PoorlyAccessed
7181602,*,*,*,52.0,*,*,*,*,*,*,NotAvailable,Adopted,HighlyAccessed
7181602,*,*,*,29.0,*,*,*,*,*,*,NotAvailable,Adopted,PoorlyAccessed
7181602,*,*,*,51.0,*,*,*,*,*,*,NotAvailable,Disregarded,HighlyAccessed
7181602,*,*,*,19.0,*,*,*,*,*,*,NotAvailable,Disregarded,PoorlyAccessed
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
