IDnum,PovertyAlleviation,IrrigatedAg,SmallBusLoans,YouthActivities,AgAdvisorsForIrrigation,IrrigationEquipment,AgriculturalClubs,EducationOnHowToGetLoans,SmallBusLoanClubs,GovernmentGrantingLoans,EstablishmentOfYouthClubs,EducationAvailable,ProvisionOfJobs
1067692,*,*,*,19.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1067692,*,*,*,6.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1067692,*,*,*,8.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1036871,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1036871,21.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1036871,24.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1036871,27.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1036871,27.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1036871,26.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1036871,26.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1036871,26.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1036871,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1036871,*,23.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1036871,*,22.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1036871,*,21.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1036871,*,21.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1036871,*,20.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1036871,*,19.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1036871,*,19.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1036871,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1036871,*,*,21.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1036871,*,*,20.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1036871,*,*,21.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1036871,*,*,21.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1036871,*,*,23.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1036871,*,*,21.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1036871,*,*,21.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1036871,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1036871,*,*,*,22.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1036871,*,*,*,24.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1036871,*,*,*,24.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1036871,*,*,*,100.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1036871,*,*,*,24.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1036871,*,*,*,23.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1036871,*,*,*,23.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1024422,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1024422,64.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1024422,64.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1024422,31.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1024422,100.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1024422,100.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1024422,32.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1024422,32.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1024422,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1024422,*,63.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1024422,*,43.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1024422,*,42.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1024422,*,43.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1024422,*,43.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1024422,*,43.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1024422,*,44.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1024422,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1024422,*,*,36.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1024422,*,*,68.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1024422,*,*,36.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1024422,*,*,68.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1024422,*,*,35.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1024422,*,*,69.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1024422,*,*,34.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1024422,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1024422,*,*,*,87.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1024422,*,*,*,37.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1024422,*,*,*,36.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1024422,*,*,*,100.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1024422,*,*,*,33.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1024422,*,*,*,33.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1024422,*,*,*,33.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1017211,98.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1017211,53.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1017211,52.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1017211,51.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1017211,51.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1017211,50.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1017211,37.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1017211,36.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1017211,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1017211,*,38.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1017211,*,39.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1017211,*,100.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1017211,*,100.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1017211,*,100.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1017211,*,54.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1017211,*,45.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1017211,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1017211,*,*,49.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1017211,*,*,50.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1017211,*,*,50.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1017211,*,*,100.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1017211,*,*,50.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1017211,*,*,51.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1017211,*,*,52.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1017211,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1017211,*,*,*,52.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1017211,*,*,*,51.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1017211,*,*,*,51.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1017211,*,*,*,100.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1017211,*,*,*,51.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1017211,*,*,*,51.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1017211,*,*,*,51.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1049951,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1049951,51.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1049951,100.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1049951,34.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1049951,100.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1049951,34.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1049951,34.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1049951,100.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1049951,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1049951,*,22.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1049951,*,100.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1049951,*,22.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1049951,*,22.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1049951,*,44.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1049951,*,21.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1049951,*,20.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1049951,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1049951,*,*,43.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1049951,*,*,43.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1049951,*,*,20.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1049951,*,*,100.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1049951,*,*,43.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1049951,*,*,20.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1049951,*,*,40.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1049951,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1049951,*,*,*,41.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1049951,*,*,*,42.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1049951,*,*,*,20.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1049951,*,*,*,100.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1049951,*,*,*,42.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1049951,*,*,*,20.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1049951,*,*,*,43.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1041842,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1041842,99.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1041842,99.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1041842,49.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1041842,100.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1041842,52.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1041842,16.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1041842,99.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1041842,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1041842,*,62.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1041842,*,98.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1041842,*,19.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1041842,*,20.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1041842,*,20.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1041842,*,20.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1041842,*,21.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1041842,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1041842,*,*,46.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1041842,*,*,20.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1041842,*,*,20.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1041842,*,*,20.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1041842,*,*,20.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1041842,*,*,21.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1041842,*,*,23.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1041842,*,*,*,99.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1041842,*,*,*,44.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1041842,*,*,*,100.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1041842,*,*,*,38.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1041842,*,*,*,99.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1041842,*,*,*,27.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1041842,*,*,*,27.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1041842,*,*,*,28.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1017392,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1017392,26.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1017392,56.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1017392,40.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1017392,46.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1017392,30.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1017392,30.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1017392,30.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1017392,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1017392,*,23.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1017392,*,23.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1017392,*,36.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1017392,*,37.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1017392,*,26.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1017392,*,31.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1017392,*,31.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1017392,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1017392,*,*,25.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1017392,*,*,26.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1017392,*,*,25.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1017392,*,*,38.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1017392,*,*,25.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1017392,*,*,25.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1017392,*,*,25.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1017392,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1017392,*,*,*,20.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1017392,*,*,*,36.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1017392,*,*,*,21.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1017392,*,*,*,37.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1017392,*,*,*,22.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1017392,*,*,*,21.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1017392,*,*,*,21.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1023411,99.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1023411,99.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1023411,99.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1023411,14.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1023411,99.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1023411,98.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1023411,12.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1023411,100.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1023411,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1023411,*,99.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1023411,*,60.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1023411,*,14.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1023411,*,100.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1023411,*,100.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1023411,*,23.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1023411,*,11.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1023411,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1023411,*,*,37.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1023411,*,*,13.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1023411,*,*,34.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1023411,*,*,12.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1023411,*,*,11.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1023411,*,*,11.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1023411,*,*,11.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1023411,*,*,*,99.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1023411,*,*,*,12.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1023411,*,*,*,27.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1023411,*,*,*,9.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1023411,*,*,*,99.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1023411,*,*,*,9.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1023411,*,*,*,8.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1023411,*,*,*,7.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
1059982,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1059982,100.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1059982,37.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1059982,39.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1059982,45.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1059982,49.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1059982,100.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1059982,45.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1059982,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1059982,*,39.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1059982,*,38.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1059982,*,28.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1059982,*,99.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1059982,*,22.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1059982,*,33.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1059982,*,46.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1059982,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1059982,*,*,100.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1059982,*,*,62.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1059982,*,*,47.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1059982,*,*,100.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1059982,*,*,38.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1059982,*,*,98.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1059982,*,*,30.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1059982,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1059982,*,*,*,32.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1059982,*,*,*,100.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1059982,*,*,*,100.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1059982,*,*,*,30.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
1059982,*,*,*,33.0,*,*,*,*,*,*,Few,ManyFields,JobsNotAvailable
1059982,*,*,*,35.0,*,*,*,*,*,*,Few,FewFields,JobsAvailable
1059982,*,*,*,98.0,*,*,*,*,*,*,Few,FewFields,JobsNotAvailable
