IDnum,Gender,Case,JobsAvailForPovertyAllev,PayingForestJobs,ImprovedAgriculture,SmallBusinessLoans,ToolsAndEquipment,SeedsAndSeedlings,ReforestationTraining,FertilizerSubsidies,FarmingEquipment,SubsidizedSeeds,EducationOnLoanRepayment,EstablishmentOfLoanClubs,CapitalForLoans
1041051,F,C4,*,*,24.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1041051,F,C5,*,*,99.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1041051,F,C6,*,*,24.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1041051,F,C7,*,*,30.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1041051,F,C8,*,*,28.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1041051,F,D1,*,*,*,100.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1041051,F,D2,*,*,*,22.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1041051,F,D3,*,*,*,100.0,*,*,*,*,*,*,Available,FewEstablished,Available
1041051,F,D4,*,*,*,23.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1041051,F,D5,*,*,*,100.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1041051,F,D6,*,*,*,25.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1041051,F,D7,*,*,*,24.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1041051,F,D8,*,*,*,25.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1012921,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1012921,F,A2,23.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1012921,F,A3,25.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1012921,F,A4,26.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1012921,F,A5,0.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1012921,F,A6,26.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1012921,F,A7,27.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1012921,F,A8,26.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1012921,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1012921,F,B2,*,99.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1012921,F,B3,*,98.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1012921,F,B4,*,99.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1012921,F,B5,*,24.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1012921,F,B6,*,23.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1012921,F,B7,*,22.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1012921,F,B8,*,26.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1012921,F,C1,*,*,99.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1012921,F,C2,*,*,100.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1012921,F,C3,*,*,23.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1012921,F,C4,*,*,20.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1012921,F,C5,*,*,21.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1012921,F,C6,*,*,20.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1012921,F,C7,*,*,20.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1012921,F,C8,*,*,19.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1012921,F,D1,*,*,*,99.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1012921,F,D2,*,*,*,100.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1012921,F,D3,*,*,*,100.0,*,*,*,*,*,*,Available,FewEstablished,Available
1012921,F,D4,*,*,*,100.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1012921,F,D5,*,*,*,100.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1012921,F,D6,*,*,*,98.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1012921,F,D7,*,*,*,100.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1012921,F,D8,*,*,*,100.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1062571,F,A1,99.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1062571,F,A2,8.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1062571,F,A3,9.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1062571,F,A4,9.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1062571,F,A5,9.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1062571,F,A6,10.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1062571,F,A7,10.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1062571,F,A8,11.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1062571,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1062571,F,B2,*,98.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1062571,F,B3,*,100.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1062571,F,B4,*,100.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1062571,F,B5,*,16.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1062571,F,B6,*,18.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1062571,F,B7,*,17.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1062571,F,B8,*,20.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1062571,F,C1,*,*,99.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1062571,F,C2,*,*,100.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1062571,F,C3,*,*,19.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1062571,F,C4,*,*,17.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1062571,F,C5,*,*,100.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1062571,F,C6,*,*,17.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1062571,F,C7,*,*,17.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1062571,F,C8,*,*,16.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1062571,F,D1,*,*,*,99.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1062571,F,D2,*,*,*,13.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1062571,F,D3,*,*,*,99.0,*,*,*,*,*,*,Available,FewEstablished,Available
1062571,F,D4,*,*,*,16.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1062571,F,D5,*,*,*,53.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1062571,F,D6,*,*,*,18.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1062571,F,D7,*,*,*,19.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1062571,F,D8,*,*,*,18.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1023431,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1023431,F,A2,100.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1023431,F,A3,98.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1023431,F,A4,98.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1023431,F,A5,100.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1023431,F,A6,99.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1023431,F,A7,32.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1023431,F,A8,32.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1023431,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1023431,F,B2,*,99.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1023431,F,B3,*,100.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1023431,F,B4,*,99.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1023431,F,B5,*,99.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1023431,F,B6,*,100.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1023431,F,B7,*,100.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1023431,F,B8,*,100.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1023431,F,C1,*,*,100.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1023431,F,C2,*,*,99.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1023431,F,C3,*,*,100.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1023431,F,C4,*,*,99.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1023431,F,C5,*,*,99.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1023431,F,C6,*,*,98.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1023431,F,C7,*,*,98.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1023431,F,C8,*,*,98.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1023431,F,D1,*,*,*,100.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1023431,F,D2,*,*,*,99.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1023431,F,D3,*,*,*,99.0,*,*,*,*,*,*,Available,FewEstablished,Available
1023431,F,D4,*,*,*,99.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1023431,F,D5,*,*,*,98.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1023431,F,D6,*,*,*,98.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1023431,F,D7,*,*,*,99.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1023431,F,D8,*,*,*,98.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1067531,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1067531,F,A2,21.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1067531,F,A3,22.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1067531,F,A4,20.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1067531,F,A5,19.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1067531,F,A6,17.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1067531,F,A7,16.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1067531,F,A8,12.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1067531,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1067531,F,B2,*,100.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1067531,F,B3,*,29.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1067531,F,B4,*,100.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1067531,F,B5,*,21.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1067531,F,B6,*,17.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1067531,F,B7,*,18.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1067531,F,B8,*,16.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1067531,F,C1,*,*,100.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1067531,F,C2,*,*,100.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1067531,F,C3,*,*,18.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1067531,F,C4,*,*,17.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1067531,F,C5,*,*,100.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1067531,F,C6,*,*,32.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1067531,F,C7,*,*,13.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1067531,F,C8,*,*,100.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1067531,F,D1,*,*,*,100.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1067531,F,D2,*,*,*,18.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1067531,F,D3,*,*,*,100.0,*,*,*,*,*,*,Available,FewEstablished,Available
1067531,F,D4,*,*,*,20.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1067531,F,D5,*,*,*,22.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1067531,F,D6,*,*,*,18.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1067531,F,D7,*,*,*,23.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1067531,F,D8,*,*,*,100.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1030012,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1030012,F,A2,49.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1030012,F,A3,48.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1030012,F,A4,48.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1030012,F,A5,48.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1030012,F,A6,48.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1030012,F,A7,47.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1030012,F,A8,47.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1030012,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1030012,F,B2,*,100.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1030012,F,B3,*,100.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1030012,F,B4,*,100.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1030012,F,B5,*,55.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1030012,F,B6,*,54.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1030012,F,B7,*,54.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1030012,F,B8,*,55.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1030012,F,C1,*,*,100.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1030012,F,C2,*,*,100.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1030012,F,C3,*,*,53.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1030012,F,C4,*,*,54.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1030012,F,C5,*,*,55.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1030012,F,C6,*,*,56.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1030012,F,C7,*,*,56.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1030012,F,C8,*,*,56.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1030012,F,D1,*,*,*,99.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1030012,F,D2,*,*,*,50.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1030012,F,D3,*,*,*,51.0,*,*,*,*,*,*,Available,FewEstablished,Available
1030012,F,D4,*,*,*,51.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1030012,F,D5,*,*,*,52.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1030012,F,D6,*,*,*,52.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1030012,F,D7,*,*,*,53.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1030012,F,D8,*,*,*,53.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1024981,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1024981,F,A2,24.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1024981,F,A3,26.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1024981,F,A4,26.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1024981,F,A5,27.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1024981,F,A6,30.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1024981,F,A7,18.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1024981,F,A8,22.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1024981,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1024981,F,B2,*,100.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1024981,F,B3,*,100.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1024981,F,B4,*,100.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1024981,F,B5,*,17.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1024981,F,B6,*,14.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1024981,F,B7,*,17.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1024981,F,B8,*,13.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1024981,F,C1,*,*,100.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1024981,F,C2,*,*,100.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1024981,F,C3,*,*,16.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1024981,F,C4,*,*,20.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1024981,F,C5,*,*,99.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1024981,F,C6,*,*,17.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1024981,F,C7,*,*,17.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1024981,F,C8,*,*,19.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1024981,F,D1,*,*,*,66.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1024981,F,D2,*,*,*,13.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1024981,F,D3,*,*,*,19.0,*,*,*,*,*,*,Available,FewEstablished,Available
1024981,F,D4,*,*,*,12.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1024981,F,D5,*,*,*,98.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1024981,F,D6,*,*,*,17.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1024981,F,D7,*,*,*,99.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1024981,F,D8,*,*,*,100.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
