IDnum,PovertyAlleviation,BusinessOpportunities,EmploymentOpportunities,ImpAgriPractices,CapitalAndLoans,Markets,CapacityBldgTrng,Education,Factories,FundingForFactoryOps,WaterForIrrigation,AgriculturalInputs,AgCapacityBldgTrng
1023962,96.0,Viable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1023962,4.0,Viable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1023962,96.0,NotViable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1023962,97.0,NotViable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1023962,2.0,NotViable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1023962,3.0,NotViable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1023962,*,2.0,*,*,Available,Reliable,Adopted,*,*,*,*,*,*
1023962,*,2.0,*,*,Available,Reliable,Disregarded,*,*,*,*,*,*
1023962,*,2.0,*,*,Available,Unreliable,Adopted,*,*,*,*,*,*
1023962,*,96.0,*,*,Available,Unreliable,Disregarded,*,*,*,*,*,*
1023962,*,1.0,*,*,Unavailable,Reliable,Adopted,*,*,*,*,*,*
1023962,*,2.0,*,*,Unavailable,Reliable,Disregarded,*,*,*,*,*,*
1023962,*,2.0,*,*,Unavailable,Unreliable,Adopted,*,*,*,*,*,*
1023962,*,3.0,*,*,Unavailable,Unreliable,Disregarded,*,*,*,*,*,*
1023962,*,*,96.0,*,*,*,*,Adopted,ManyFactoriesEst,Available,*,*,*
1023962,*,*,3.0,*,*,*,*,Adopted,ManyFactoriesEst,NotAvailable,*,*,*
1023962,*,*,96.0,*,*,*,*,Adopted,FewFactoriesEst,Available,*,*,*
1023962,*,*,2.0,*,*,*,*,Adopted,FewFactoriesEst,NotAvailable,*,*,*
1023962,*,*,96.0,*,*,*,*,Disregarded,ManyFactoriesEst,Available,*,*,*
1023962,*,*,2.0,*,*,*,*,Disregarded,ManyFactoriesEst,NotAvailable,*,*,*
1023962,*,*,2.0,*,*,*,*,Disregarded,FewFactoriesEst,Available,*,*,*
1023962,*,*,3.0,*,*,*,*,Disregarded,FewFactoriesEst,NotAvailable,*,*,*
1023962,*,*,*,95.0,*,*,*,*,*,*,Available,Available,Adopted
1023962,*,*,*,3.0,*,*,*,*,*,*,Available,Available,NotAdopted
1023962,*,*,*,3.0,*,*,*,*,*,*,Available,Unavailable,Adopted
1023962,*,*,*,3.0,*,*,*,*,*,*,Available,Unavailable,NotAdopted
1023962,*,*,*,3.0,*,*,*,*,*,*,Unavailable,Available,Adopted
1023962,*,*,*,95.0,*,*,*,*,*,*,Unavailable,Available,NotAdopted
1023962,*,*,*,2.0,*,*,*,*,*,*,Unavailable,Unavailable,Adopted
1023962,*,*,*,3.0,*,*,*,*,*,*,Unavailable,Unavailable,NotAdopted
1050433,90.0,Viable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1050433,8.0,Viable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1050433,90.0,Viable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1050433,8.0,Viable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1050433,89.0,NotViable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1050433,5.0,NotViable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1050433,9.0,NotViable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1050433,9.0,NotViable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1050433,*,90.0,*,*,Available,Reliable,Adopted,*,*,*,*,*,*
1050433,*,8.0,*,*,Available,Reliable,Disregarded,*,*,*,*,*,*
1050433,*,7.0,*,*,Available,Unreliable,Adopted,*,*,*,*,*,*
1050433,*,7.0,*,*,Available,Unreliable,Disregarded,*,*,*,*,*,*
1050433,*,6.0,*,*,Unavailable,Reliable,Adopted,*,*,*,*,*,*
1050433,*,5.0,*,*,Unavailable,Reliable,Disregarded,*,*,*,*,*,*
1050433,*,4.0,*,*,Unavailable,Unreliable,Adopted,*,*,*,*,*,*
1050433,*,3.0,*,*,Unavailable,Unreliable,Disregarded,*,*,*,*,*,*
1050433,*,*,89.0,*,*,*,*,Adopted,ManyFactoriesEst,Available,*,*,*
1050433,*,*,9.0,*,*,*,*,Adopted,ManyFactoriesEst,NotAvailable,*,*,*
1050433,*,*,8.0,*,*,*,*,Adopted,FewFactoriesEst,Available,*,*,*
1050433,*,*,49.0,*,*,*,*,Adopted,FewFactoriesEst,NotAvailable,*,*,*
1050433,*,*,48.0,*,*,*,*,Disregarded,ManyFactoriesEst,Available,*,*,*
1050433,*,*,5.0,*,*,*,*,Disregarded,ManyFactoriesEst,NotAvailable,*,*,*
1050433,*,*,4.0,*,*,*,*,Disregarded,FewFactoriesEst,Available,*,*,*
1050433,*,*,4.0,*,*,*,*,Disregarded,FewFactoriesEst,NotAvailable,*,*,*
1050433,*,*,*,89.0,*,*,*,*,*,*,Available,Available,Adopted
1050433,*,*,*,50.0,*,*,*,*,*,*,Available,Available,NotAdopted
1050433,*,*,*,49.0,*,*,*,*,*,*,Available,Unavailable,Adopted
1050433,*,*,*,1.0,*,*,*,*,*,*,Available,Unavailable,NotAdopted
1050433,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Available,Adopted
1050433,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Available,NotAdopted
1050433,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Unavailable,Adopted
1050433,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Unavailable,NotAdopted
1062242,96.0,Viable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1062242,96.0,Viable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1062242,97.0,Viable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1062242,97.0,Viable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1062242,96.0,NotViable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1062242,96.0,NotViable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1062242,1.0,NotViable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1062242,1.0,NotViable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1062242,*,98.0,*,*,Available,Reliable,Adopted,*,*,*,*,*,*
1062242,*,5.0,*,*,Available,Reliable,Disregarded,*,*,*,*,*,*
1062242,*,4.0,*,*,Available,Unreliable,Adopted,*,*,*,*,*,*
1062242,*,5.0,*,*,Available,Unreliable,Disregarded,*,*,*,*,*,*
1062242,*,5.0,*,*,Unavailable,Reliable,Adopted,*,*,*,*,*,*
1062242,*,4.0,*,*,Unavailable,Reliable,Disregarded,*,*,*,*,*,*
1062242,*,4.0,*,*,Unavailable,Unreliable,Adopted,*,*,*,*,*,*
1062242,*,2.0,*,*,Unavailable,Unreliable,Disregarded,*,*,*,*,*,*
1062242,*,*,93.0,*,*,*,*,Adopted,ManyFactoriesEst,Available,*,*,*
1062242,*,*,2.0,*,*,*,*,Adopted,ManyFactoriesEst,NotAvailable,*,*,*
1062242,*,*,2.0,*,*,*,*,Adopted,FewFactoriesEst,Available,*,*,*
1062242,*,*,47.0,*,*,*,*,Adopted,FewFactoriesEst,NotAvailable,*,*,*
1062242,*,*,45.0,*,*,*,*,Disregarded,ManyFactoriesEst,Available,*,*,*
1062242,*,*,1.0,*,*,*,*,Disregarded,ManyFactoriesEst,NotAvailable,*,*,*
1062242,*,*,2.0,*,*,*,*,Disregarded,FewFactoriesEst,Available,*,*,*
1062242,*,*,1.0,*,*,*,*,Disregarded,FewFactoriesEst,NotAvailable,*,*,*
1062242,*,*,*,96.0,*,*,*,*,*,*,Available,Available,Adopted
1062242,*,*,*,1.0,*,*,*,*,*,*,Available,Available,NotAdopted
1062242,*,*,*,1.0,*,*,*,*,*,*,Available,Unavailable,Adopted
1062242,*,*,*,2.0,*,*,*,*,*,*,Available,Unavailable,NotAdopted
1062242,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Available,Adopted
1062242,*,*,*,49.0,*,*,*,*,*,*,Unavailable,Available,NotAdopted
1062242,*,*,*,2.0,*,*,*,*,*,*,Unavailable,Unavailable,Adopted
1062242,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Unavailable,NotAdopted
1096181,90.0,Viable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096181,49.0,Viable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096181,9.0,Viable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096181,9.0,Viable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096181,89.0,NotViable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096181,8.0,NotViable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096181,49.0,NotViable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096181,8.0,NotViable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096181,*,97.0,*,*,Available,Reliable,Adopted,*,*,*,*,*,*
1096181,*,1.0,*,*,Available,Reliable,Disregarded,*,*,*,*,*,*
1096181,*,2.0,*,*,Available,Unreliable,Adopted,*,*,*,*,*,*
1096181,*,1.0,*,*,Available,Unreliable,Disregarded,*,*,*,*,*,*
1096181,*,1.0,*,*,Unavailable,Reliable,Adopted,*,*,*,*,*,*
1096181,*,1.0,*,*,Unavailable,Reliable,Disregarded,*,*,*,*,*,*
1096181,*,1.0,*,*,Unavailable,Unreliable,Adopted,*,*,*,*,*,*
1096181,*,1.0,*,*,Unavailable,Unreliable,Disregarded,*,*,*,*,*,*
1096181,*,*,98.0,*,*,*,*,Adopted,ManyFactoriesEst,Available,*,*,*
1096181,*,*,98.0,*,*,*,*,Adopted,ManyFactoriesEst,NotAvailable,*,*,*
1096181,*,*,1.0,*,*,*,*,Adopted,FewFactoriesEst,Available,*,*,*
1096181,*,*,2.0,*,*,*,*,Adopted,FewFactoriesEst,NotAvailable,*,*,*
1096181,*,*,49.0,*,*,*,*,Disregarded,ManyFactoriesEst,Available,*,*,*
1096181,*,*,1.0,*,*,*,*,Disregarded,ManyFactoriesEst,NotAvailable,*,*,*
1096181,*,*,1.0,*,*,*,*,Disregarded,FewFactoriesEst,Available,*,*,*
1096181,*,*,1.0,*,*,*,*,Disregarded,FewFactoriesEst,NotAvailable,*,*,*
1096181,*,*,*,98.0,*,*,*,*,*,*,Available,Available,Adopted
1096181,*,*,*,1.0,*,*,*,*,*,*,Available,Available,NotAdopted
1096181,*,*,*,1.0,*,*,*,*,*,*,Available,Unavailable,Adopted
1096181,*,*,*,2.0,*,*,*,*,*,*,Available,Unavailable,NotAdopted
1096181,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Available,Adopted
1096181,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Available,NotAdopted
1096181,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Unavailable,Adopted
1096181,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Unavailable,NotAdopted
1096472,98.0,Viable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096472,98.0,Viable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096472,97.0,Viable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096472,2.0,Viable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096472,97.0,NotViable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096472,1.0,NotViable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096472,1.0,NotViable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096472,2.0,NotViable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096472,*,97.0,*,*,Available,Reliable,Adopted,*,*,*,*,*,*
1096472,*,2.0,*,*,Available,Reliable,Disregarded,*,*,*,*,*,*
1096472,*,50.0,*,*,Available,Unreliable,Adopted,*,*,*,*,*,*
1096472,*,2.0,*,*,Available,Unreliable,Disregarded,*,*,*,*,*,*
1096472,*,2.0,*,*,Unavailable,Reliable,Adopted,*,*,*,*,*,*
1096472,*,2.0,*,*,Unavailable,Reliable,Disregarded,*,*,*,*,*,*
1096472,*,2.0,*,*,Unavailable,Unreliable,Adopted,*,*,*,*,*,*
1096472,*,2.0,*,*,Unavailable,Unreliable,Disregarded,*,*,*,*,*,*
1096472,*,*,97.0,*,*,*,*,Adopted,ManyFactoriesEst,Available,*,*,*
1096472,*,*,2.0,*,*,*,*,Adopted,ManyFactoriesEst,NotAvailable,*,*,*
1096472,*,*,50.0,*,*,*,*,Adopted,FewFactoriesEst,Available,*,*,*
1096472,*,*,1.0,*,*,*,*,Adopted,FewFactoriesEst,NotAvailable,*,*,*
1096472,*,*,50.0,*,*,*,*,Disregarded,ManyFactoriesEst,Available,*,*,*
1096472,*,*,2.0,*,*,*,*,Disregarded,ManyFactoriesEst,NotAvailable,*,*,*
1096472,*,*,1.0,*,*,*,*,Disregarded,FewFactoriesEst,Available,*,*,*
1096472,*,*,1.0,*,*,*,*,Disregarded,FewFactoriesEst,NotAvailable,*,*,*
1096472,*,*,*,98.0,*,*,*,*,*,*,Available,Available,Adopted
1096472,*,*,*,50.0,*,*,*,*,*,*,Available,Available,NotAdopted
1096472,*,*,*,2.0,*,*,*,*,*,*,Available,Unavailable,Adopted
1096472,*,*,*,49.0,*,*,*,*,*,*,Available,Unavailable,NotAdopted
1096472,*,*,*,2.0,*,*,*,*,*,*,Unavailable,Available,Adopted
1096472,*,*,*,2.0,*,*,*,*,*,*,Unavailable,Available,NotAdopted
1096472,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Unavailable,Adopted
1096472,*,*,*,2.0,*,*,*,*,*,*,Unavailable,Unavailable,NotAdopted
