plot #,irrigation type,irrigation type 2,soil,jute,jute 2,Inoc,Bare_1,Rock_1,Lichen_1,Moss_1,%Bare_1,% cyano_1,%lichen,%moss,%LS_1,%TotalBiocrust_1,Bare_2,Rock_2,Cyano_2,Lichen_2,Bare fabric_2,Moss_2,%Bare_1 2,% cyano_1 2,%lichen 2,%moss 2,%LS_1 2,%TotalBiocrust_1 2,Biocrustpower2,Column 44 1,Column 44 2,Column 44 3,Column 44 4,Plant_2,% plant,Average of LBug_g,Average of TBug_g,Average of Gug_g,tot chl a (665+750),Row Labels,Average of LBmg_L,Average of TBmg_L,Average of LBug,Average of LBug_g 2,Average of TBug_g 2,Average of Gug,Average of Gug_g 2,Average of Gmg_L,Average of TBug,USEtotal plant (including dead),ArcSinHsqrtTotalplant,USEtotal native plant,ArcSinHsqrtNativePlantCov,Square Root[tot...l native plant],total exotic plant,Dead exotic plant,Dead exotic plant 2,USESum[DeadandLive exotic plant],ArcSinHsqrtTotalNNcov,Residual total exotic plant,Square Root[Res...l exotic plant],Residual %TotalBiocrust_1 2,Pearson Residual
11,Hoop,Hoop,sand,J,jute,C,22,3,,,88,0,0,0,0,0,18,1,0,0,0,0,72,0,0,0,0,0,0,,,,,6,0,,,,7.45,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
12,Hoop,Hoop,sand,no,no jute,C,24,1,,,96,0,0,0,0,0,24,1,0,0,0.5,0,96,0,0,0,0,0,0,,,,,0,0,,,,1.74,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
13,Hoop,Hoop,sand,J,jute,B,21,2,2,,84,0,8,0,8,8,7,1,9,5,0,1,28,36,20,4,24,60,3600,,,,,2,12,,,,34.18,,,,,,,,,,,12,0.3398313641,5,0.2217841272,2.2360679775,5,2,2,7,0.2615817849,-6.75,,11,912.4
14,Hoop,Hoop,native,J,jute,B,20,2,3,0.5,80,0,12,2,14,14,11,5,3,4,0,0.5,44,12,16,2,18,30,900,,,,,2,12.5,,,,19.50,,,,,,,,,,,12.5,0.3465735903,7.5,0.2705486397,2.7386127875,5,,0,5,0.2217841272,-9.95,,-28.6,-3093.2
15,Hoop,Hoop,sand,J,jute,B,24,1,0.5,0.5,96,0,2,2,4,4,7,1,14,1,0,1,28,56,4,4,8,64,4096,,,,,1,5,,,,33.06,,,,,,,,,,,5,0.2217841272,2.5,0.1574623783,1.5811388301,2.5,,0,2.5,0.1574623783,-9.25,,15,1408.4
16,Hoop,Hoop,sand,J,jute,B,21,2,2,,84,0,8,0,8,8,10,3,9,0.5,0,0,40,36,2,0,2,38,1444,,,,,3,16,,,,22.95,,,,,,,,,,,16,0.3900353198,7,0.2615817849,2.6457513111,9,,0,9,0.2956730476,-2.75,,-11,-1243.6
17,Hoop,Hoop,sand,J,jute,B,21,3,1,0.5,84,0,4,2,6,6,10,1,13,0.5,0,1,40,52,2,4,6,58,3364,,,,,0,18,,,,31.85,,,,,,,,,,,18,0.4124686048,15,0.3782164554,3.8729833462,3,,0,3,0.1723505421,-8.75,,9,676.4
18,Hoop,Hoop,native,J,jute,B,16,5,4,0.5,64,0,16,2,18,18,4,8,8,4,0,1,16,32,16,4,20,52,2704,,,,,0,17,667.7574883,789.7086681,1201.277157,31.16,18,8.479403,20.7807,45.671934,667.7574883,789.7086681,83.20835,1201.277157,14.21058333,55.9625,17,0.4014409856,9.5,0.3035380816,3.0822070015,7.5,,0,7.5,0.2705486397,-7.45,,-6.6,-1289.2
19,Hoop,Hoop,native,no,no jute,B,18,5,2,0.5,72,0,8,2,10,10,0,6,15,2,0,2,0,60,8,8,16,76,5776,,,,,0,48.6,,,,41.60,,,,,,,,,,,48.6,0.6503195297,25.1,0.482105181,5.00999002,23.5,,0,23.5,0.4675465658,7,2.6457513111,6.8,836
20,Hoop,Hoop,sand,J,jute,B,18,5,2,,72,0,8,0,8,8,14,6,1,1,0,0.5,56,4,4,2,6,10,100,,,,,3,18,,,,5.87,,,,,,,,,,,18,0.4124686048,4,0.1986901103,2,14,,0,14,0.3659433539,2.25,1.5,-39,-2587.6
21,Hoop,Hoop,sand,J,jute,C,23,2,,,92,0,0,0,0,0,13,0,0,0,0,0,52,0,0,0,0,0,0,,,,,12,0,,,,17.43,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
22,Hoop,Hoop,sand,J,jute,B,20,4,1,0.5,80,0,4,2,6,6,9,1,10,1,0,0.5,36,40,4,2,6,46,2116,,,,,4,42.6,,,,21.66,,,,,,,,,,,42.6,0.6134756232,6.6,0.2541594751,2.5690465157,36,,0,36,0.5688248987,24.25,4.9244289009,-3,-571.6
23,Hoop,Hoop,native,J,jute,B,18,5,2,0.5,72,0,8,2,10,10,4,0,17,3,0,1,16,68,12,4,16,84,7056,,,,,0,21,,,,74.14,,,,,,,,,,,21,0.4435682544,15,0.3782164554,3.8729833462,6,,0,6,0.2425633511,-8.95,,25.4,3062.8
24,Hoop,Hoop,native,no,no jute,B,22,1,2,0.5,88,0,8,2,10,10,3,1,18,3,0.5,0.5,12,72,12,2,14,86,7396,,,,,0,24.5,,,,53.79,,,,,,,,,,,24.5,0.4767125907,15.5,0.384179949,3.937003937,9,,0,9,0.2956730476,-7.5,,16.8,2456
25,Hoop,Hoop,native,no,no jute,B,16,5,4,0.5,64,0,16,2,18,18,6,1,14,2,0,2,24,56,8,8,16,72,5184,,,,,0,50,,,,39.62,,,,,,,,,,,50,0.6584789485,28,0.5071314761,5.2915026221,22,,0,22,0.4533518025,5.5,2.3452078799,2.8,244
26,Hoop,Hoop,native,J,jute,B,15,5,5,0.5,60,0,20,2,22,22,0,4,16,3,0,2,0,64,12,8,20,84,7056,,,,,0.5,33.5,,,,23.44,,,,,,,,,,,33.5,0.550554196,16.5,0.3957874822,4.0620192023,17,,0,17,0.4014409856,2.05,1.4317821063,25.4,3062.8
27,Hoop,Hoop,sand,J,jute,B,21,,4,0.5,84,0,16,2,18,18,7,1,10,2,0,0.5,28,40,8,2,10,50,2500,,,,,5,15,,,,24.91,,,,,,,,,,,15,0.3782164554,5,0.2217841272,2.2360679775,10,,0,10,0.3111812519,-1.75,,1,-187.6
28,Hoop,Hoop,native,no,no jute,B,21,3,1,0.5,84,0,4,2,6,6,5,0,13,2,5,0.5,20,52,8,2,10,62,3844,,,,,0,21,,,,19.35,,,,,,,,,,,21,0.4435682544,10,0.3111812519,3.1622776602,11,,0,11,0.3258646419,-5.5,,-7.2,-1096
29,Hoop,Hoop,sand,no,no jute,B,22,2,1,0.5,88,0,4,2,6,6,12,0,10,2,0,1,48,40,8,4,12,52,2704,,,,,0,35,,,,33.12,,,,,,,,,,,35,0.5616154913,27,0.4986870541,5.1961524227,8,,0,8,0.2792011083,-3.2,,17.2,1336.8
30,Hoop,Hoop,native,J,jute,B,23,2,0.5,0.5,92,0,2,2,4,4,6,2,11,3,0,1,24,44,12,4,16,60,3600,,,,,2,22,202.5622911,259.4146982,387.4048821,19.45,30,8.710069333,21.52686667,47.055932,202.5622911,259.4146982,91.92445,387.4048821,15.66326667,60.4395,22,0.4533518025,10,0.3111812519,3.1622776602,12,,0,12,0.3398313641,-2.95,,1.4,-393.2
31,Hoop,Hoop,sand,no,no jute,B,20,2,3,,80,0,12,0,12,12,14,0,10,0,0,1,56,40,0,4,4,44,1936,,,,,0,23.5,,,,39.01,,,,,,,,,,,23.5,0.4675465658,20.5,0.4385737039,4.5276925691,3,,0,3,0.1723505421,-8.2,,9.2,568.8
32,Hoop,Hoop,native,J,jute,B,21,4,0.5,,84,0,2,0,2,2,4,6,12,0.5,0,0.5,16,48,2,2,4,52,2704,,,,,3,7,123.0535344,263.4104266,299.099246,21.47,32,5.118265,20.54328333,25.505106,123.0535344,263.4104266,61.92485,299.099246,10.66333333,54.538,7,0.2615817849,4,0.1986901103,2,3,,0,3,0.1723505421,-11.95,,-6.6,-1289.2
33,Hoop,Hoop,native,J,jute,B,14,8,3,0.5,56,0,12,2,14,14,1,2,17,1,0,2,4,68,4,8,12,80,6400,,,,,2,9.5,197.7514627,210.7462889,369.5545809,29.19,33,8.083975,19.18661667,43.299366,197.7514627,210.7462889,81.38405,369.5545809,13.90653333,46.398,9.5,0.3035380816,9.5,0.3035380816,3.0822070015,0,,0,0,0,-14.95,,21.4,2406.8
34,Hoop,Hoop,native,J,jute,B,16,5,4,,64,0,16,0,16,16,0,3,19,2,0,1,0,76,8,4,12,88,7744,,,,,0.5,17,,,,37.02,,,,,,,,,,,17,0.4014409856,14,0.3659433539,3.7416573868,3,,0,3,0.1723505421,-11.95,,29.4,3750.8
35,Hoop,Hoop,native,J,jute,C,21,4,,,84,0,0,0,0,0,17,3,1,0,0,0,68,4,0,0,0,4,16,,,,,4,0,,,,13.42,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
36,Hoop,Hoop,sand,J,jute,B,18,4,3,,72,0,12,0,12,12,6,0,15,2,0,2,24,60,8,8,16,76,5776,,,,,0,8.5,,,,61.22,,,,,,,,,,,8.5,0.2875677616,5.5,0.2324225418,2.3452078799,3,,0,3,0.1723505421,-8.75,,27,3088.4
37,Quesadilla,Quesadilla,native,J,jute,B,15,3,7,,60,0,28,0,28,28,0,0,22,2,0,1,0,88,8,4,12,100,10000,,,,,0,57.5,,,,48.34,,,,,,,,,,,57.5,0.6997640329,18.5,0.4178503047,4.3011626335,39,,0,39,0.5897194692,18.7,4.3243496621,15,2699.6
38,Quesadilla,Quesadilla,native,no,no jute,B,19,2,4,,76,0,16,0,16,16,0,0,20,4,0,1,0,80,16,4,20,100,10000,,,,,0,72.5,,,,53.92,,,,,,,,,,,72.5,0.7723565589,24.5,0.4767125907,4.9497474683,48,,0,48,0.6467748264,11,3.3166247904,4.4,840.8
39,Quesadilla,Quesadilla,native,no,no jute,B,19,4,2,,76,0,8,0,8,8,1,1,17,6,0,0.5,4,68,24,2,26,94,8836,,,,,0,63,,,,43.72,,,,,,,,,,,63,0.7277611097,28,0.5071314761,5.2915026221,35,,0,35,0.5616154913,-2,,-1.6,-323.2
40,Quesadilla,Quesadilla,native,J,jute,C,19,6,,,76,0,0,0,0,0,8,16,0,0,0,0,32,0,0,0,0,0,0,,,,,1,0,,,,5.25,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
41,Quesadilla,Quesadilla,native,no,no jute,C,14,11,,,56,0,0,0,0,0,14,11,0,0,0.5,0,56,0,0,0,0,0,0,,,,,0,0,,,,18.69,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
42,Quesadilla,Quesadilla,sand,J,jute,B,20,3,2,0.5,80,0,8,2,10,10,11,0,9,3,0,2,44,36,12,8,20,56,3136,,,,,0,47.5,,,,34.54,,,,,,,,,,,47.5,0.6437984247,15.5,0.384179949,3.937003937,32,,0,32,0.5391786241,2.3,1.5165750888,-36,-5500.8
43,Quesadilla,Quesadilla,native,J,jute,B,18,4,3,0.5,72,0,12,2,14,14,2,1,16,2,0,3,8,64,8,12,20,84,7056,,,,,1,32,335.9429483,319.2343922,434.7672069,21.56,43,12.69730167,22.68003333,70.979326,335.9429483,319.2343922,91.92445,434.7672069,15.66326667,67.3585,32,0.5391786241,14,0.3659433539,3.7416573868,18,,0,18,0.4124686048,-2.3,,-1,-244.4
44,Quesadilla,Quesadilla,sand,J,jute,B,21,,4,0.5,84,0,16,2,18,18,0,0,22,3,0,0.5,0,88,12,2,14,102,10404,,,,,0,47.5,,,,57.91,,,,,,,,,,,47.5,0.6437984247,20.5,0.4385737039,4.5276925691,27,,0,27,0.4986870541,-2.7,,10,1767.2
45,Quesadilla,Quesadilla,native,J,jute,B,24,,1,0.5,96,0,4,2,6,6,2,1,21,1,0,0.5,8,84,4,2,6,90,8100,,,,,0,59,,,,54.82,,,,,,,,,,,59,0.7075758824,18,0.4124686048,4.2426406871,41,,0,41,0.6030838597,20.7,4.5497252664,5,799.6
46,Quesadilla,Quesadilla,native,J,jute,B,18,5,2,,72,0,8,0,8,8,2,2,18,1,0,2,8,72,4,8,12,84,7056,,,,,0,48,,,,65.38,,,,,,,,,,,48,0.6467748264,26,0.4900508145,5.0990195136,22,,0,22,0.4533518025,1.7,1.303840481,-1,-244.4
47,Quesadilla,Quesadilla,sand,J,jute,C,25,,,,100,0,0,0,0,0,22,0,0,0,0,0,88,0,0,0,0,0,0,,,,,3,0,,,,8.96,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
48,Quesadilla,Quesadilla,sand,no,no jute,B,16,4,5,,64,0,20,0,20,20,1,0,21,2,0,1,4,84,8,4,12,96,9216,,,,,0,58,,,,22.41,,,,,,,,,,,58,0.7023833057,11,0.3258646419,3.3166247904,47,,0,47,0.6408012404,15.8,3.9749213829,2.4,446.4
49,Quesadilla,Quesadilla,sand,J,jute,B,20,3,2,,80,0,8,0,8,8,1,0,21,3,0,0.5,4,84,12,2,14,98,9604,,,,,0,61,,,,29.88,,,,,,,,,,,61,0.7177825826,28,0.5071314761,5.2915026221,33,,0,33,0.5467982932,3.3,1.8165902125,6,967.2
50,Quesadilla,Quesadilla,native,J,jute,B,20,,5,,80,0,20,0,20,20,1,3,18,3,0,0.5,4,72,12,2,14,86,7396,,,,,0,45.5,369.9384332,458.9721269,600.2576919,34.97,50,14.27901367,28.1067,80.469598,369.9384332,458.9721269,130.23475,600.2576919,22.04831667,99.9185,45.5,0.6316816324,23.5,0.4675465658,4.8476798574,22,,0,22,0.4533518025,1.7,1.303840481,1,95.6
51,Quesadilla,Quesadilla,native,J,jute,B,18,4,3,0.5,72,0,12,2,14,14,2,1,17,3,0,2,8,68,12,8,20,88,7744,,,,,0,31,161.4978928,225.9083477,334.1966567,28.52,51,6.502263,19.32228333,33.809094,161.4978928,225.9083477,70.03285,334.1966567,12.01466667,47.212,31,0.5314095637,20,0.4335073632,4.472135955,11,,0,11,0.3258646419,-9.3,,3,443.6
52,Quesadilla,Quesadilla,native,J,jute,B,20,4,1,0.5,80,0,4,2,6,6,6,3,13,3,0,0.5,24,52,12,2,14,66,4356,,,,,0,43,,,,26.03,,,,,,,,,,,43,0.6160338883,27,0.4986870541,5.1961524227,16,,0,16,0.3900353198,-4.3,,-19,-2944.4
53,Quesadilla,Quesadilla,native,J,jute,C,15,9,1,,60,0,4,0,4,4,20,1,1,0,0,0,80,4,0,0,0,4,16,,,,,3,0,,,,12.35,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
54,Quesadilla,Quesadilla,sand,no,no jute,B,21,4,,0.5,84,0,0,2,2,2,2,1,18,4,0,0.5,8,72,16,2,18,90,8100,,,,,0,45.5,,,,50.98,,,,,,,,,,,45.5,0.6316816324,14.5,0.3721395169,3.8078865529,31,,0,31,0.5314095637,-0.2,,-3.6,-669.6
55,Quesadilla,Quesadilla,sand,J,jute,C,23,2,,,92,0,0,0,0,0,24,0,0,0,0,0,96,0,0,0,0,0,0,,,,,1,0,,,,10.99,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
56,Quesadilla,Quesadilla,sand,J,jute,B,20,1,4,0.5,80,0,16,2,18,18,1,0,20,3,0,1,4,80,12,4,16,96,9216,,,,,0,17,,,,39.69,,,,,,,,,,,17,0.4014409856,12,0.3398313641,3.4641016151,5,,0,5,0.2217841272,-24.7,,4,579.2
57,Quesadilla,Quesadilla,native,J,jute,B,20,2,3,0.5,80,0,12,2,14,14,1,5,16,2,0,1,4,64,8,4,12,76,5776,,,,,0,39,,,,40.68,,,,,,,,,,,39,0.5897194692,14,0.3659433539,3.7416573868,25,,0,25,0.4812118251,4.7,2.1679483389,-9,-1524.4
58,Quesadilla,Quesadilla,native,no,no jute,B,12,8,5,,48,0,20,0,20,20,2,1,16,5,0,1,8,64,20,4,24,88,7744,,,,,0,58,,,,35.94,,,,,,,,,,,58,0.7023833057,32,0.5391786241,5.6568542495,26,,0,26,0.4900508145,-11,,-7.6,-1415.2
59,Quesadilla,Quesadilla,sand,no,no jute,B,19,3,3,0.5,76,0,12,2,14,14,3,0,20,2,0,0.5,12,80,8,2,10,90,8100,,,,,0,63,,,,36.80,,,,,,,,,,,63,0.7277611097,33,0.5467982932,5.7445626465,30,,0,30,0.5234839575,-1.2,,-3.6,-669.6
60,Quesadilla,Quesadilla,sand,J,jute,B,14,5,6,0.5,56,0,24,2,26,26,0,1,23,1,0,0.5,0,92,4,2,6,98,9604,,,,,0,51,,,,18.97,,,,,,,,,,,51,0.6642143414,19,0.4231485673,4.3588989435,32,,0,32,0.5391786241,2.3,1.5165750888,6,967.2
61,Quesadilla,Quesadilla,sand,J,jute,B,18,2,5,0.5,72,0,20,2,22,22,0,0,23,1,1,0,0,92,4,0,4,96,9216,,,,,0,44,,,,19.51,,,,,,,,,,,44,0.6223625037,17,0.4014409856,4.1231056256,27,,0,27,0.4986870541,-2.7,,4,579.2
62,Quesadilla,Quesadilla,native,no,no jute,B,17,5,3,0.5,68,0,12,2,14,14,0,0,24,1,0.5,0,0,96,4,0,4,100,10000,,,,,0,55,,,,20.08,,,,,,,,,,,55,0.6864295721,21,0.4435682544,4.582575695,34,,0,34,0.5542751979,-3,,4.4,840.8
63,Quesadilla,Quesadilla,sand,J,jute,B,20,2,3,,80,0,12,0,12,12,0,0,23,2,0.5,0,0,92,8,0,8,100,10000,,,,,0,48,,,,18.26,,,,,,,,,,,48,0.6467748264,11,0.3258646419,3.3166247904,35,2,2,37,0.5759087589,5.3,2.3021728866,8,1363.2
64,Quesadilla,Quesadilla,native,J,jute,B,15,5,5,,60,0,20,0,20,20,2,2,20,1,0.5,0,8,80,4,0,4,84,7056,,,,,0,21,493.8324247,736.479876,896.511957,11.95,64,17.870818,36.82328333,102.020424,493.8324247,736.479876,184.55835,896.511957,31.10225,152.218,21,0.4435682544,19,0.4231485673,4.3588989435,2,,0,2,0.1409541445,-18.3,,-1,-244.4
65,Quesadilla,Quesadilla,sand,J,jute,B,20,3,2,0.5,80,0,8,2,10,10,4,0,20,0.5,0.5,0,16,80,2,0,2,82,6724,,,,,0,72.5,,,,53.38,,,,,,,,,,,72.5,0.7723565589,26.5,0.494393571,5.1478150705,46,,0,46,0.634743189,16.3,4.0373258476,-10,-1912.8
66,Quesadilla,Quesadilla,sand,J,jute,B,19,3,3,,76,0,12,0,12,12,0,0,23,2,0.5,0,0,92,8,0,8,100,10000,,,,,0,55.5,,,,37.32,,,,,,,,,,,55.5,0.6891289245,20.5,0.4385737039,4.5276925691,35,,0,35,0.5616154913,5.3,2.3021728866,8,1363.2
67,Quesadilla,Quesadilla,sand,no,no jute,B,22,2,1,,88,0,4,0,4,4,0,0,21,3,1,0,0,84,12,0,12,96,9216,,,,,0,35,,,,33.65,,,,,,,,,,,35,0.5616154913,12,0.3398313641,3.4641016151,23,,0,23,0.4628762919,-8.2,,2.4,446.4
68,Quesadilla,Quesadilla,native,no,no jute,B,15,6,4,,60,0,16,0,16,16,0,0,22,2,1,0,0,88,8,0,8,96,9216,,,,,0,90,,,,37.03,,,,,,,,,,,90,0.844617775,48,0.6467748264,6.9282032303,42,,0,42,0.6096088195,5,2.2360679775,0.4,56.8
69,Quesadilla,Quesadilla,sand,no,no jute,B,20,1,4,0.5,80,0,16,2,18,18,0,0,22,2,1,0,0,88,8,0,8,96,9216,,,,,0,47,,,,25.57,,,,,,,,,,,47,0.6408012404,22,0.4533518025,4.6904157598,25,,0,25,0.4812118251,-6.2,,2.4,446.4
70,Quesadilla,Quesadilla,sand,J,jute,B,21,1,3,0.5,84,0,12,2,14,14,1,0,20,3,1,0,4,80,12,0,12,92,8464,,,,,0,55,,,,30.50,,,,,,,,,,,55,0.6864295721,30,0.5234839575,5.4772255751,25,,0,25,0.4812118251,-4.7,,2.842171e-14,-172.8
71,Quesadilla,Quesadilla,native,J,jute,B,16,3,6,0.5,64,0,24,2,26,26,0,2,22,1,0.5,0,0,88,4,0,4,92,8464,,,,,0,25.5,333.537228,235.5411868,422.2527405,37.81,71,13.68587167,20.33978333,76.910746,333.537228,235.5411868,97.60005,422.2527405,16.6092,53.317,25.5,0.4856573874,18.5,0.4178503047,4.3011626335,7,,0,7,0.2615817849,-13.3,,7,1163.6
72,Quesadilla,Quesadilla,sand,no,no jute,C,24,1,,,96,0,0,0,0,0,25,0,0,0,0,0,100,0,0,0,0,0,0,,,,,0,0,,,,1.99,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
73,GH,Greenhouse,native,no,no jute,C,12,13,,,48,0,0,0,0,0,19,2,4,,,,76,16,0,0,0,16,256,,,,,,0,,,,25.39,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
74,GH,Greenhouse,sand,J,jute,B,16,6,3,,64,0,12,0,12,12,0.5,2,15,3,,5,2,60,12,20,32,92,8464,,,,,0.5,3,,,,38.95,,,,,,,,,,,3,0.1723505421,1.5,0.1221703494,1.2247448714,1.5,,0,1.5,0.1221703494,0.05,0.2236067977,-1.42109e-14,-116
75,GH,Greenhouse,sand,J,jute,B,13,6,5,1,52,0,20,4,24,24,1,2,18,2,,7,4,72,8,28,36,108,11664,,,,,0.5,3,,,,38.51,,,,,,,,,,,3,0.1723505421,2,0.1409541445,1.4142135624,1,,0,1,0.0998340789,-0.45,,16,3084
76,GH,Greenhouse,native,J,jute,C,11,14,,,44,0,0,0,0,0,14,1,10,0.5,,,56,40,2,0,2,42,1764,,,,,,0,,,,117.53,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
77,GH,Greenhouse,native,no,no jute,B,11,6,7,1,44,0,28,4,32,32,0.5,1,18,2,,4,2,72,8,16,24,96,9216,,,,,0.5,3,,,,69.15,,,,,,,,,,,3,0.1723505421,2,0.1409541445,1.4142135624,1,,0,1,0.0998340789,-0.6,,10.4,1840
78,GH,Greenhouse,sand,J,jute,B,16,9,0.5,,64,0,2,0,2,2,0.5,0.5,14,1,,10,2,56,4,40,44,100,10000,,,,,0.5,3.5,,,,52.51,,,,,,,,,,,3.5,0.1860083911,2,0.1409541445,1.4142135624,1.5,,0,1.5,0.1221703494,0.05,0.2236067977,8,1420
79,GH,Greenhouse,sand,no,no jute,B,14,8,3,,56,0,12,0,12,12,1,0.5,20,2,,2,4,80,8,8,16,96,9216,,,,,0.5,2.5,,,,50.53,,,,,,,,,,,2.5,0.1574623783,1,0.0998340789,1,1.5,,0,1.5,0.1221703494,-0.1,,3.2,561.6
80,GH,Greenhouse,native,no,no jute,B,10,6,9,,40,0,36,0,36,36,2,4,14,4,,1,8,56,16,4,20,76,5776,,,,,0.5,4,,,,47.46,,,,,,,,,,,4,0.1986901103,2.5,0.1574623783,1.5811388301,1.5,,0,1.5,0.1221703494,-0.1,,-9.6,-1600
81,GH,Greenhouse,native,no,no jute,B,14,6,5,,56,0,20,0,20,20,2,1,16,1,,5,8,64,4,20,24,88,7744,,,,,0.5,3.5,,,,58.46,,,,,,,,,,,3.5,0.1860083911,2,0.1409541445,1.4142135624,1.5,,0,1.5,0.1221703494,-0.1,,2.4,368
82,GH,Greenhouse,sand,no,no jute,B,18,5,2,,72,0,8,0,8,8,0.5,1,17,0.5,,7,2,68,2,28,30,98,9604,,,,,0.5,4,,,,32.05,,,,,,,,,,,4,0.1986901103,1.5,0.1221703494,1.2247448714,2.5,,0,2.5,0.1574623783,0.9,0.9486832981,5.2,949.6
83,GH,Greenhouse,sand,no,no jute,B,17,5,3,,68,0,12,0,12,12,0.5,0.5,19,2,,4,2,76,8,16,24,100,10000,,,,,0.5,4,,,,35.06,,,,,,,,,,,4,0.1986901103,2,0.1409541445,1.4142135624,2,,0,2,0.1409541445,0.4,0.632455532,7.2,1345.6
