respond_id,collector_id,start_date,end_date,ip_address,consent,eagle_reference,age18,attempt_us,attempt_ca,find_out,find_out_other,see,first_time,date_first,location,number_of_attempts,leave_home_code,home_code,observation_duration,private_vehicle,rental_vehicle,plane,train,other_transport,carpool,number_passengers,primary_purpose,overnight,n_nights,accomodation_friend,accomodation_hotel,accomodation_campground,accomodation_airbnb,accomodation_vrbo,accomodation_none,accomodation_other,accomodation_location,eat,dine_fast_food,dine_fast_casual,dine_sit_down,dine_other,number_dine_out,list_life,list_country,list_state,list_province,list_county,list_ebird,list_idk,list_none,list_other,motivation_photography,motivation_rarity,motivation_vagrant,motivation_life_list,motivation_unlikely,motivation_other,birding_experience,birding_time,bird_organization,gas_cost,gas_cost_new,airfare_cost,airfare_cost_new,meal_cost,meal_cost_new,lodging_cost,lodging_cost_new,donation5,donation25,donation50,donation75,donation100,donation200,age,gender,gender_other,race,marital_status,marital_status_other,hourly_wage,highest_education,highest_education_other,employment_status,twitch_frequency,other_birding,other_nature,other_nature_01,other_nature_02,other_nature_03,puffin_tour,revisit,ebird,other_database,other_database_name,twitter,facebook,n_birders_visit1,n_birders_visit2,n_birders_visit3,comments
13303789897,414399709,2022-02-02T16:28:04Z,2022-02-02T16:35:04Z,76.23.222.125,"I agree, start questionnaire",I understand,Yes,Yes,No,Other (please specify),text message,Yes,No,31-Dec-21,"Georgetown, Maine and Boothbay, Maine",Three or more,Yes,4069,90,Private vehicle,NA,NA,NA,NA,No,2,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Brought own snacks but ate main meals out,NA,NA,Sit down,NA,3,Life list,NA,State list,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It's a Steller's Friggin Sea-Eagle!,Expert birder (can identify >300 bird species without a field guide),35,Yes,$40 ,40.00,NA,,$100 ,100.00,NA,,Yes,Yes,Yes,Yes,No,No,35-44,Man,NA,White or Caucasian,Married,NA,Business owner,Bachelor's degree or equivalent,NA,Self-employed,>10 times,Yes,Yes,additional birding,dog-walking,photography,No,Likely,No,No,NA,No,Yes,75,100,100,https://www.freeportwildbirdsupply.com/product-page/steller-s-sea-eagle-ornament
13302832965,414399709,2022-02-02T09:56:04Z,2022-02-02T10:12:56Z,108.20.234.11,"I agree, start questionnaire",I understand,Yes,Yes,No,Facebook page,NA,Yes,Yes,16-Jan-22,"Boothbay Harbor, ME",Two,Yes,1460,91,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,Na,Brought own snacks but ate main meals out,Fast food,Fast Casual,NA,NA,2,Life list,NA,NA,NA,NA,I only keep lists on eBird,NA,NA,Yard and patch lists,NA,NA,NA,Adding a species to your life list,NA,NA,Expert birder (can identify >300 bird species without a field guide),9,Yes,100,100.00,Na,,80,80.00,0,0.00,Yes,Yes,Yes,No,No,No,45-54,Man,NA,White or Caucasian,Married,NA,55,Bachelor's degree or equivalent,NA,Employed - full time,4-7 times,Yes,Yes,Hiking,NA,NA,No,Very likely,Yes,No,Na,No,Yes,100,50,NA,NA
13300976011,414399709,2022-02-01T15:21:28Z,2022-02-01T15:37:46Z,184.153.192.152,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,No,I did not see the eagle,NA,"Pemaquid, S. Bristol, Boothbay, 5 Islands, Spruce Point, Maine  Aquarium, Barrett's Park,",One,Yes,13601,0,Private vehicle,NA,NA,NA,NA,No,NA,Yes,Yes,4,NA,NA,NA,AirBnB,NA,NA,NA,4544,Packed food for all meals,NA,NA,NA,NA,0,Life list,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",NA,Unlikely you would encounter the bird again,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),20,Yes,100,100.00,NA,,75,75.00,550,550.00,Yes,Yes,No,No,No,No,55-64,Woman,NA,White or Caucasian,Married,NA,NA,Bachelor's degree or equivalent,NA,Retired,"Less than once a year, on average",Yes,Yes,Snowshoeing,Hiking,NA,No,Very likely,No,No,NA,No,No,10,NA,NA,"I submitted observations of birds to eBird, but they were not of the Steller's eagle; as far as the questions regardinga""donation"" To view the eagle, I don't even know how an organization would manage that in this situation...better to have worded it if one would consider donating to a bird group/organization as a result of the experience....I knew it was like looking for a needle in a haystack, but took the chance....I love Maine, and was willing to travel the 8 hours it took to add 5 other species to my life list! Maybe you should have also asked how far one traveled to see the bird"
13300619666,414399709,2022-02-01T12:55:07Z,2022-02-01T13:26:16Z,73.149.30.236,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,Yes,Yes,"January 23,2022","Bar Harbor, ME",One,Yes,1803,60,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,na,Both: made meals and ate out,NA,NA,Sit down,NA,1,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,NA,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",NA,NA,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),50,Yes,100,100.00,na,,65,65.00,na,,Yes,No,No,No,No,No,55-64,Woman,NA,White or Caucasian,Married,NA,na,Master's degree or equivalent,NA,Retired,4-7 times,Yes,No,na,NA,NA,No,Likely,Yes,No,na,No,No,100,NA,NA,NA
13300213994,414399709,2022-02-01T08:36:18Z,2022-02-01T10:39:55Z,74.75.116.77,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,No,I did not see the eagle,NA,"Boothbay Harbor, ME",One,Yes,4609,180,Private vehicle,NA,NA,NA,NA,Yes,4,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Both: made meals and ate out,NA,NA,NA,take-out,2,Life list,Country list,State list,Province list,County list,NA,NA,NA,year list,NA,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",NA,NA,This was a special trip I led for my business.,Expert birder (can identify >300 bird species without a field guide),48 years,Yes,50,50.00,NA,,25,25.00,0,0.00,Yes,Yes,No,No,No,No,55-64,Man,NA,White or Caucasian,Married,NA,35,Master's degree or equivalent,NA,Self-employed,"Less than once a year, on average",Yes,No,NA,NA,NA,No,Neither likely nor unlikely,Yes,No,NA,No,No,50,NA,NA,"I have been birding since I was 10 and am passionate about birds. I have made a career out of studying birds, teaching bird-related classes, leading bird tours, and writing about birds. Still, I always struggle with the idea of traveling far to see a rarity, thinking about the carbon footprint. My trip to see the Steller's Sea-Eagle was organized as a trip for my business at time of year when I have little business. Even though we did not see the eagle, we had a wonderful day of birding, including the social aspect of meeting birders from away, as well as bumping into friends there."
13299394141,414399709,2022-02-01T03:48:47Z,2022-02-01T04:03:16Z,68.1.167.177,"I agree, start questionnaire",I understand,Yes,Yes,No,Local birding group,NA,Yes,Yes,23-Jan-22,"Boothbay, Maine",One,Yes,2879,20,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Brought own snacks but ate main meals out,NA,NA,Sit down,NA,1,Life list,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarity of the species,NA,NA,NA,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),15 Years,Yes,$65.00 ,65.00,NA,,$25.00 ,25.00,0,0.00,Yes,Yes,No,No,No,No,65+,Man,NA,White or Caucasian,Married,NA,Retired,Bachelor's degree or equivalent,NA,Retired,1-3 times,Yes,No,NA,NA,NA,No,Likely,No,No,NA,No,Yes,50,NA,NA,NA
13298722183,414399709,2022-01-31T16:51:54Z,2022-01-31T18:28:27Z,98.118.168.183,"I agree, start questionnaire",I understand,Yes,Yes,No,Facebook page,NA,Yes,Yes,14-Jan-22,"Boothbay Harbor, Maine  04570",One,Yes,14075,60,Private vehicle,NA,NA,NA,NA,Yes,2,Yes,Yes,2,NA,Hotel/Motel/Inn,NA,NA,NA,NA,NA,4011,Brought own snacks but ate main meals out,NA,NA,Sit down,NA,5,Life list,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Expert birder (can identify >300 bird species without a field guide),55,Yes,58.26,58.26,NA,,50,50.00,250,250.00,Yes,Yes,Yes,Yes,Yes,Yes,65+,Man,NA,White or Caucasian,Married,NA,50,Master's degree or equivalent,NA,Self-employed,4-7 times,Yes,No,NA,NA,NA,No,Likely,Yes,No,NA,No,No,30,25,NA,NA
13298665778,414399709,2022-01-31T17:16:30Z,2022-01-31T17:37:18Z,99.68.244.21,"I agree, start questionnaire",I understand,Yes,Yes,No,Facebook page,NA,Yes,Yes,Jan-1-2022,maine,One,Yes,44077,60,Private vehicle,NA,NA,NA,NA,Yes,2,Yes,Yes,2,NA,NA,NA,AirBnB,NA,NA,NA,4548,Primarily ate out (dine-in and/or take-out),NA,NA,Sit down,NA,1,Life list,Country list,State list,NA,County list,I only keep lists on eBird,NA,NA,NA,NA,Rarity of the species,NA,Adding a species to your life list,Unlikely you would encounter the bird again,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),8,Yes,100,100.00,na,,$150 ,150.00,$500 ,500.00,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Woman,NA,White or Caucasian,Single,NA,$45 ,Bachelor's degree or equivalent,NA,Employed - full time,>10 times,Yes,Yes,Reed Park,Rockland to view the barnacle goose,Oslon house for photography,No,Very likely,Yes,No,NA,No,Yes,50,NA,NA,wildlife watching far surpasses hunting 5 to 1 in terms of popularity - gov agencies would be wise to modernize funding by capitalizing on the majority of consumers rather than a dwindling special interest group which has resulted in little to no adequate funding for natural areas
13298682192,414399709,2022-01-31T17:26:33Z,2022-01-31T17:36:40Z,64.67.70.51,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,Yes,Yes,21-Jan-22,4558,One,Yes,19520,180,NA,Rental vehicle,NA,NA,NA,No,N/a,No,Yes,1,NA,Hotel/Motel/Inn,NA,NA,NA,NA,NA,"Camden, me",Brought own snacks but ate main meals out,NA,NA,Sit down,NA,2,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,Rarity of the species,NA,NA,NA,NA,Beginner birder (can identify <100 bird species without a field guide),10,No,150,150.00,Na,,100,100.00,400,400.00,Yes,Yes,Yes,Yes,Yes,No,35-44,Woman,NA,White or Caucasian,Single,NA,50$,Master's degree or equivalent,NA,Employed - full time,"Less than once a year, on average",Yes,No,Na,Na,Na,No,Very likely,No,No,Na,No,No,30,NA,NA,NA
13298387025,414399709,2022-01-31T15:04:03Z,2022-01-31T15:44:46Z,75.69.51.73,"I agree, start questionnaire",I understand,Yes,Yes,No,Facebook page,NA,Yes,Yes,20-Dec-21,"Somerset, MA",One,Yes,2649,168,Private vehicle,NA,NA,NA,NA,No,0,Yes,No,NA,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Packed food for all meals,NA,NA,NA,NA,0,Life list,Country list,State list,NA,County list,NA,NA,NA,Town and local patches,NA,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,NA,Expert birder (can identify >300 bird species without a field guide),26 years,Yes,$20.00 ,20.00,NA,,NA,,NA,,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Woman,NA,White or Caucasian,Married,NA,$34.00 ,High School,NA,Employed - part time,4-7 times,No,No,NA,NA,NA,NA,Unlikely,Yes,No,NA,No,Yes,200,NA,NA,NA
13298116502,414399709,2022-01-31T13:05:39Z,2022-01-31T13:18:09Z,72.74.198.25,"I agree, start questionnaire",I understand,Yes,Yes,No,Friend,NA,Yes,Yes,16-Jan-21,"Boothbay Harbor, Maine",One,Yes,2769,180,Private vehicle,NA,NA,NA,NA,Yes,1,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Primarily ate out (dine-in and/or take-out),NA,Fast Casual,NA,NA,2,Life list,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unlikely you would encounter the bird again,NA,Beginner birder (can identify <100 bird species without a field guide),1,No,80,80.00,NA,,40,40.00,0,0.00,Yes,No,No,No,No,No,25-34,Woman,NA,White or Caucasian,Single,NA,NA,High School,NA,Unemployed,"Less than once a year, on average",Yes,No,NA,NA,NA,No,Likely,No,No,NA,No,No,50-70,NA,NA,Thank you for taking the time to do this study!! I believe engaging the youth in nature conservation programs is the most promising route forward for us!! Good luck
13297789556,414399709,2022-01-31T10:57:39Z,2022-01-31T11:08:47Z,66.30.230.2,"I agree, start questionnaire",I understand,Yes,Yes,No,Friend,NA,Yes,Yes,Jan-16-2022,4538,One,Yes,3903,90,Private vehicle,NA,NA,NA,NA,Yes,2,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Packed food for all meals,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,Rarity of the species,NA,NA,NA,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),28,Yes,18,18.00,NA,,NA,,NA,,Yes,Yes,Yes,No,No,No,25-34,Woman,NA,White or Caucasian,Married,NA,46,Master's degree or equivalent,NA,Employed - full time,"Less than once a year, on average",No,Yes,hiked in woods with dog,NA,NA,No,Somewhat likely,No,No,NA,No,No,40,NA,NA,NA
13297794332,414399709,2022-01-31T11:01:19Z,2022-01-31T11:07:24Z,74.71.244.235,"I agree, start questionnaire",I understand,Yes,Yes,No,Friend,NA,Yes,Yes,15-Jan-21,"Boothbay harbor, ME",One,Yes,10025,75,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,Yes,2,NA,NA,NA,AirBnB,NA,NA,NA,"Boothbay harbor, ME",Primarily ate out (dine-in and/or take-out),Fast food,NA,Sit down,NA,4,Life list,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarity of the species,NA,Adding a species to your life list,Unlikely you would encounter the bird again,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),10,Yes,40,40.00,Na,,150,150.00,300,300.00,Yes,Yes,Yes,Yes,Yes,No,35-44,Woman,NA,White or Caucasian,Other (please specify),Separated,70,Master's degree or equivalent,NA,Employed - full time,1-3 times,Yes,No,NA,NA,NA,No,Very likely,No,No,NA,Yes,No,75,NA,NA,NA
13297487607,414399709,2022-01-31T09:05:34Z,2022-01-31T09:18:07Z,24.104.59.74,"I agree, start questionnaire",I understand,Yes,Yes,No,eBird,NA,Yes,Yes,20-Dec-21,2779,Three or more,Yes,1474,19,Private vehicle,NA,NA,NA,NA,No,N/A,Yes,No,N/A,NA,NA,NA,NA,NA,I did not use accommodations,NA,N/A,Primarily ate out (dine-in and/or take-out),NA,NA,Sit down,NA,3,Life list,NA,NA,NA,NA,NA,NA,NA,Yard,NA,Rarity of the species,NA,NA,NA,NA,Expert birder (can identify >300 bird species without a field guide),10,Yes,100,100.00,N/A,,150,150.00,N/A,,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Man,NA,White or Caucasian,Married,NA,85,Master's degree or equivalent,NA,Employed - full time,>10 times,No,No,N/A,N/A,N/A,No,Very likely,Yes,No,N/A,No,No,120,75,50,N/A
