respondent_ID,IP_Address,bad_response,first_date,date_text,location_attempt,how_many_trips,leave_home,home_zip,minutes_observed,travel_mode_1,travel_mode_2,travel_mode_3,travel_mode_4,travel_mode_5,carpool,carpool_count,primary_purpose,overnight,overnight_count,accomodation_1,accomodation_2,accomodation_3,accomodation_4,accomodation_5,accomodation_6,accomodation_7,accomodation_location,food,dining_type_1,dining_type_2,dining_type_3,dining_type_4,dine_out_count,bird_list_1,bird_list_2,bird_list_3,bird_list_4,bird_list_5,bird_list_6,bird_list_7,bird_list_8,bird_list_9,motivation_1,motivation_2,motivation_3,motivation_4,motivation_5,motivation_6,birding_experience,years_birding,bird_org,gas_expense,airfare_expense,meal_expense,accomodation_expense,donation_5,donation_25,donation_50,donation_75,donation_100,donation_200,age,gender_1,gender_2,race,marital_status_1,marital_status_2,hourly_wage,education_1,education_2,employment_status,vagrant_travel_freq,other_birding,other_natural,natural_activities_1,natural_activities_2,natural_activities_3,puffin,revist,ebird,other_database,which_other_database,twitter,facebook,how_many_other_birders_1,how_many_other_birders_2,how_many_other_birders_3
13305587384,129.130.19.170,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13295294043,24.184.186.112,,1/15/2022,Jan-15-2022,"Boothbay Harbor, Maine",Three or more,Yes,11237,30,Private vehicle,,,,,Yes,3,Yes,Yes,3,,Hotel/Motel/Inn,,,,,,"Bath, Maine, USA",Both: made meals and ate out,,,Sit down,,3,Life list,,State list,,,I only keep lists on eBird,,,,,,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),1,No,0,NA,150,320,Yes,Yes,Yes,No,No,No,18-24,Non-binary / non-conforming,,White or Caucasian,Single,,25,Bachelor's degree or equivalent,,Employed - part time,>10 times,Yes,No,,,,No,Somewhat likely,Yes,No,,No,Yes,50,100,100
13304198205,73.234.252.230,,23-Jan-22,Jan-23-2022,"Pemaquid Harbor, Maine",Two,Yes,4530,240,Private vehicle,,,,,Yes,3,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,,0,,,,,,,,I don't keep bird lists,,,,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,,,Beginner birder (can identify <100 bird species without a field guide),NA,No,0,NA,0,0,No,No,No,No,No,No,65+,Woman,,White or Caucasian,Married,,NA,Master's degree or equivalent,,Retired,"Less than once a, on average",Yes,Yes,Hiking,,,No,Very likely,No,No,,No,No,25,15,
13303789897,76.23.222.125,,31-Dec-21,Dec-31-2021,"Georgetown, Maine",Three or more,Yes,4069,90,Private vehicle,,,,,No,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Brought own snacks but ate main meals out,,,Sit down,,3,Life list,,State list,,,,,,,,,,,,It's a Steller's Friggin Sea-Eagle!,Expert birder (can identify >300 bird species without a field guide),35,Yes,40,NA,100,NA,Yes,Yes,Yes,Yes,No,No,35-44,Man,,White or Caucasian,Married,,NA,Bachelor's degree or equivalent,,Self-employed,>10 times,Yes,Yes,additional birding,dog-walking,photography,No,Likely,No,No,NA,No,Yes,75,100,100
13302832965,108.20.234.11,,16-Jan-22,Jan-16-2022,"Boothbay Harbor, Maine",Two,Yes,1460,91,Private vehicle,,,,,Yes,3,Yes,No,0,,,,,,I did not use accommodations,,NA,Brought own snacks but ate main meals out,Fast food,Fast Casual,,,2,Life list,,,,,I only keep lists on eBird,,,Yard and patch lists,,,,Adding a species to your life list,,,Expert birder (can identify >300 bird species without a field guide),9,Yes,100,Na,80,0,Yes,Yes,Yes,No,No,No,45-54,Man,,White or Caucasian,Married,,55,Bachelor's degree or equivalent,,Employed - full time,4-7 times,Yes,Yes,Hiking,,,No,Very likely,Yes,No,Na,No,Yes,100,50,
13300976011,184.153.192.152,,,Jan-00-1900,"Pemaquid Harbor, Maine",One,Yes,13601,0,Private vehicle,,,,,No,NA,Yes,Yes,4,,,,AirBnB,,,,4544,Packed food for all meals,,,,,0,Life list,,,,,,,,,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),20,Yes,100,NA,75,550,Yes,Yes,No,No,No,No,55-64,Woman,,White or Caucasian,Married,,NA,Bachelor's degree or equivalent,,Retired,"Less than once a, on average",Yes,Yes,Snowshoeing ,Hiking,,No,Very likely,No,No,,No,No,10,,
13300619666,73.149.30.236,,23-Jan-22,Jan-23-2022,"Bar Harbor, Maine",One,Yes,1803,60,Private vehicle,,,,,Yes,3,Yes,No,0,,,,,,I did not use accommodations,,NA,Both: made meals and ate out,,,Sit down,,1,,,,,,,,I don't keep bird lists,,,,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),50,Yes,100,na,65,na,Yes,No,No,No,No,No,55-64,Woman,,White or Caucasian,Married,,na,Master's degree or equivalent,,Retired,4-7 times,Yes,No,na,,,No,Likely,Yes,No,na,No,No,100,,
13300213994,74.75.116.77,,,Jan-00-1900,"Boothbay Harbor, Maine",One,Yes,4609,180,Private vehicle,,,,,Yes,4,Yes,No,0,,,,,,I did not use accommodations,,NA,Both: made meals and ate out,,,,take-out,2,Life list,Country list,State list,Province list,County list,,,,year list,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,,This was a special trip I led for my business.,Expert birder (can identify >300 bird species without a field guide),48,Yes,50,NA,25,0,Yes,Yes,No,No,No,No,55-64,Man,,White or Caucasian,Married,,35,Master's degree or equivalent,,Self-employed,"Less than once a, on average",Yes,No,,,,No,Neither likely nor unlikely,Yes,No,,No,No,50,,
13299792850,64.222.137.142,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13299394141,68.1.167.177,,23-Jan-22,Jan-23-2022,"Boothbay Harbor, Maine",One,Yes,2879,20,Private vehicle,,,,,Yes,3,Yes,No,0,,,,,,I did not use accommodations,,NA,Brought own snacks but ate main meals out,,,Sit down,,1,Life list,,,,,,,,,,Rarity of the species,,,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),15,Yes,65,NA,25,0,Yes,Yes,No,No,No,No,65+,Man,,White or Caucasian,Married,,NA,Bachelor's degree or equivalent,,Retired,1-3 times,Yes,No,,,,No,Likely,No,No,,No,Yes,50,,
13298957561,184.153.149.239,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13298722183,98.118.168.183,,14-Jan-22,Jan-14-2022,"Boothbay Harbor, Maine",One,Yes,14075,60,Private vehicle,,,,,Yes,2,Yes,Yes,2,,Hotel/Motel/Inn,,,,,,4011,Brought own snacks but ate main meals out,,,Sit down,,5,Life list,,,,,,,,,,,,,,,Expert birder (can identify >300 bird species without a field guide),55,Yes,58.26,NA,50,250,Yes,Yes,Yes,Yes,Yes,Yes,65+,Man,,White or Caucasian,Married,,50,Master's degree or equivalent,,Self-employed,4-7 times,Yes,No,,,,No,Likely,Yes,No,,No,No,30,25,
13298665778,99.68.244.21,,1-Jan-22,Jan-01-2022,maine,One,Yes,44077,60,Private vehicle,,,,,Yes,2,Yes,Yes,2,,,,AirBnB,,,,4548,Primarily ate out (dine-in and/or take-out),,,Sit down,,1,Life list,Country list,State list,,County list,I only keep lists on eBird,,,,,Rarity of the species,,Adding a species to your life list,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),8,Yes,100,na,150,500,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Woman,,White or Caucasian,Single,,45,Bachelor's degree or equivalent,,Employed - full time,>10 times,Yes,Yes,Reed Park,Rockland to view the barnacle goose,Oslon house for photography,No,Very likely,Yes,No,,No,Yes,50,,
13298682192,64.67.70.51,,21-Jan-22,Jan-21-2022,4558,One,Yes,19520,180,,Rental vehicle,,,,No,NA,No,Yes,1,,Hotel/Motel/Inn,,,,,,"Camden, Maine, USA",Brought own snacks but ate main meals out,,,Sit down,,2,,,,,,,,I don't keep bird lists,,,Rarity of the species,,,,,Beginner birder (can identify <100 bird species without a field guide),10,No,150,Na,100,400,Yes,Yes,Yes,Yes,Yes,No,35-44,Woman,,White or Caucasian,Single,,50,Master's degree or equivalent,,Employed - full time,"Less than once a, on average",Yes,No,Na,Na,Na,No,Very likely,No,No,Na,No,No,30,,
13298387025,75.69.51.73,,20-Dec-21,Dec-20-2021,"Somerset, Massachusetts",One,Yes,2649,168,Private vehicle,,,,,No,0,Yes,No,NA,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,,0,Life list,Country list,State list,,County list,,,,Town and local patches,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,,Expert birder (can identify >300 bird species without a field guide),26,Yes,20,,,,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Woman,,White or Caucasian,Married,,34,High School,,Employed - part time,4-7 times,No,No,,,,,Unlikely,Yes,No,,No,Yes,200,,
13298116502,72.74.198.25,,16-Jan-22,Jan-16-2022,"Boothbay Harbor, Maine",One,Yes,2769,180,Private vehicle,,,,,Yes,1,Yes,No,0,,,,,,I did not use accommodations,,NA,Primarily ate out (dine-in and/or take-out),,Fast Casual,,,2,Life list,,,,,,,,,,,,,Unlikely you would encounter the bird again,,Beginner birder (can identify <100 bird species without a field guide),1,No,80,NA,40,0,Yes,No,No,No,No,No,25-34,Woman,,White or Caucasian,Single,,NA,High School,,Unemployed,"Less than once a, on average",Yes,No,,,,No,Likely,No,No,NA,No,No,60,,
13297789556,66.30.230.2,,Jan-16-2022,Jan-16-2022,4538,One,Yes,3903,90,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,,0,,,,,,,,I don't keep bird lists,,,Rarity of the species,,,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),28,Yes,18,NA,NA,NA,Yes,Yes,Yes,No,No,No,25-34,Woman,,White or Caucasian,Married,,46,Master's degree or equivalent,,Employed - full time,"Less than once a, on average",No,Yes,hiked in woods with dog,,,No,Somewhat likely,No,No,NA,No,No,40,,
13297794332,74.71.244.235,,15-Jan-22,Jan-15-2022,"Boothbay Harbor, Maine",One,Yes,10025,75,Private vehicle,,,,,Yes,3,Yes,Yes,2,,,,AirBnB,,,,"Boothbay Harbor, Maine, USA",Primarily ate out (dine-in and/or take-out),Fast food,,Sit down,,4,Life list,,,,,,,,,,Rarity of the species,,Adding a species to your life list,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),10,Yes,40,Na,150,300,Yes,Yes,Yes,Yes,Yes,No,35-44,Woman,,White or Caucasian,Other (please specify),Separated ,70,Master's degree or equivalent,,Employed - full time,1-3 times,Yes,No,,,,No,Very likely,No,No,,Yes,No,75,,
13297487607,24.104.59.74,,20-Dec-21,Dec-20-2021,2779,Three or more,Yes,1474,19,Private vehicle,,,,,No,NA,Yes,No,NA,,,,,,I did not use accommodations,,NA,Primarily ate out (dine-in and/or take-out),,,Sit down,,3,Life list,,,,,,,,Yard ,,Rarity of the species,,,,,Expert birder (can identify >300 bird species without a field guide),10,Yes,100,N/A,150,N/A,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Man,,White or Caucasian,Married,,85,Master's degree or equivalent,,Employed - full time,>10 times,No,No,N/A,N/A,N/A,No,Very likely,Yes,No,N/A,No,No,120,75,50
13297268952,216.220.244.39,,,Jan-00-1900,"Boothbay Harbor, Maine",One,Yes,4222,90,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Primarily ate out (dine-in and/or take-out),,,Sit down,,1,,,,,,,,I don't keep bird lists,,,,,,Unlikely you would encounter the bird again,,Beginner birder (can identify <100 bird species without a field guide),5,Yes,75,NA,25,NA,Yes,No,No,No,No,No,55-64,Woman,,White or Caucasian,Married,,NA,Doctoral degree or equivalent,,Retired,"Less than once a, on average",Yes,Yes,Hiked,,,No,Very likely,No,No,,No,No,20,,
13297242942,73.143.35.73,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13296738329,99.111.119.28,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13296513581,24.61.158.1,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13296500585,73.119.105.38,,16-Jan-22,Jan-16-2022,"Boothbay Harbor, Maine",One,Yes,4287,20,Private vehicle,,,,,No,NA,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,N/A,0,Life list,,,,,,,,,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,,Beginner birder (can identify <100 bird species without a field guide),2,No,30,N/A,0,0,Yes,Yes,No,No,No,No,25-34,Woman,,White or Caucasian,Married,,36,Master's degree or equivalent,,Employed - full time,"Less than once a, on average",Yes,Yes,Hike in Harpswell,,,No,Very likely,No,No,N/A,No,Yes,40,,
13296489312,71.254.11.28,,1-Jan-22,Jan-01-2022,"Georgetown, Maine",One,Yes,4915,120,Private vehicle,,,,,Yes,3,Yes,No,0,,,,,,I did not use accommodations,,NA,Primarily ate out (dine-in and/or take-out),,Fast Casual,,,2,,,,,,,,I don't keep bird lists,,,,,,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),5,No,25,na,100,0,No,No,No,No,No,No,35-44,Woman,,White or Caucasian,Single,,20,Bachelor's degree or equivalent,,Employed - full time,1-3 times,No,No,,,na,No,Likely,No,No,na,No,Yes,100,,
13296428773,73.249.37.232,,31-Dec-21,Dec-31-2021,"Georgetown, Maine",Three or more,Yes,4530,120,Private vehicle,,,,,No,NA,Yes,No,NA,Friend/relative's home,,,,,,"My parents live in Bath, ME. I was with them for the holiday.",4530,Both: made meals and ate out,,Fast Casual,,,2,Life list,Country list,State list,Province list,County list,I only keep lists on eBird,,,,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,Socialization with other birding friends,Intermediate birder (can identify >100 but <300 bird species without a field guide),5,Yes,20,NA,20,0,Yes,Yes,Yes,Yes,Yes,No,18-24,Man,,White or Caucasian,Single,,23,Bachelor's degree or equivalent,,Employed - full time,>10 times,Yes,Yes,"General naturalist stuff, botany, etc.",,,No,Very likely,Yes,No,,Yes,Yes,200,200,50
13296394317,66.30.228.220,,13-Jan-22,Jan-13-2022,"Boothbay Harbor, Maine",One,Yes,3904,15,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Brought own snacks but ate main meals out,,,Sit down,,1,,,,,,,I don't know what a bird list is,,,,,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,,,Beginner birder (can identify <100 bird species without a field guide),5,No,20,NA,20,NA,Yes,No,No,No,No,No,25-34,Woman,,White or Caucasian,Single,,15,Master's degree or equivalent,,Student,"Less than once a, on average",Yes,Yes,Hiking,Surfing,,No,Likely,No,No,,No,No,4,,
13296365191,68.114.55.115,,,Jan-00-1900,"Boothbay Harbor, Maine",Two,Yes,6331,,Private vehicle,,,,,No,NA,Yes,Yes,2,,Hotel/Motel/Inn,,,,,,4553,Primarily ate out (dine-in and/or take-out),,,Sit down,,4,Life list,,,,,,,,,,Rarity of the species,,,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),5,Yes,75,Na,150,450,Yes,Yes,Yes,Yes,Yes,Yes,65+,Man,,White or Caucasian,Married,,NA,Bachelor's degree or equivalent,,Retired,1-3 times,Yes,Yes,Hiking ,,,No,Very likely,No,No,,No,No,40,30,
13296370476,32.210.3.145,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13296369807,69.123.109.203,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13296346120,184.153.151.65,,23-Jan-22,Jan-23-2022,"Pemaquid Harbor, Maine",One,Yes,4428,20,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,,,,,,,,,,I don't keep bird lists,,,Rarity of the species,,,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),20,No,0,NA,0,0,Yes,No,No,No,No,No,65+,Woman,,White or Caucasian,Single,,NA,Master's degree or equivalent,,Retired,1-3 times,Yes,No,,,,No,Somewhat likely,No,No,,No,Yes,50,,
13296289225,73.69.72.74,,16-Jan-22,Jan-16-2022,"Boothbay Harbor, Maine",One,Yes,4011,60,Private vehicle,,,,,No,NA,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,NA,0,,,,,,,,,Year list,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),20,Yes,6 dollars,NA,0,0,Yes,Yes,Yes,Yes,Yes,Yes,45-54,Woman,,White or Caucasian,Married,,15,Bachelor's degree or equivalent,,Employed - part time,1-3 times,No,No,,,,No,Likely,No,No,,No,No,100,,
13296253343,174.23.8.181,,,Jan-00-1900,,,,,,,,,,,NA,NA,No,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13296225198,98.4.128.194,,,Jan-00-1900,"Boothbay Harbor, Maine",One,Yes,4401,0,Private vehicle,,,,,Yes,1,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,,,,,,,,,,I don't keep bird lists,,Wildlife photography,,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,,,I am not a birder (can identify a few species in my yard),NA,No,15,Na,0,O,Yes,Yes,No,No,No,No,55-64,Woman,,White or Caucasian,Married,,35,Master's degree or equivalent,,Employed - full time,4-7 times,Yes,No,,,,No,Likely,No,No,,,,,,
13296185606,174.242.73.251,,15-Jan-22,Jan-15-2022,"Boothbay Harbor, Maine",Three or more,Yes,4553,45,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,,0,Life list,,,,,,,,,,Rarity of the species,,,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),40,Yes,35,NA,0,0,Yes,Yes,Yes,Yes,Yes,No,55-64,Woman,,White or Caucasian,Married,,NA,Bachelor's degree or equivalent,,Retired,"Less than once a, on average",Yes,Yes,Birding other species ,,,No,Likely,No,No,NA,No,Yes,50,100,250
13296112270,184.153.144.51,,13-Jan-22,Jan-13-2022,"Boothbay Harbor, Maine",One,Yes,4429,120,Private vehicle,,,,,Yes,2,Yes,Yes,1,,Hotel/Motel/Inn,,,,,,4011,Brought own snacks but ate main meals out,,Fast Casual,,,2,,,,,,,,I don't keep bird lists,,,Rarity of the species,,,,,Intermediate birder (can identify >100 but <300 bird species without a field guide),20,Yes,50,NA,30,120,Yes,Yes,No,No,No,No,65+,Woman,,White or Caucasian,Married,,NA,Master's degree or equivalent,,Retired,4-7 times,Yes,Yes,hiking,photography,,No,Very likely,No,No,,No,No,50,,
13296111764,71.233.229.182,,23-Jan-22,Jan-23-2022,"Bristol, Maine ",One,Yes,3244,65,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Packed food for all meals,,,,NA,0,,,,,,,,I don't keep bird lists,,,Rarity of the species,,,,,Beginner birder (can identify <100 bird species without a field guide),4,No,50,NA,0,0,No,No,No,No,No,No,55-64,Woman,,White or Caucasian,Single,,18,Bachelor's degree or equivalent,,Employed - full time,>10 times,Yes,No,0,,,No,Somewhat likely,No,No,Na,No,Yes,40,50,75
