respond_id,consent,age18,attempt_us,attempt_ca,gas_cost_new,airfare_cost_new,meal_cost_new,lodging_cost_new,age,gender,gender_other,race,marital_status,marital_status_other,employment_status,date_text,location_attempt,home_zip,minutes_observed,accomodation_location,carpool,carpool_count,overnight,overnight_count,hourly_wage,years_birding,how_many_other_birders_1,how_many_other_birders_2,how_many_other_birders_3,location_attempt_sep,respond_id_count,attempt_lat,attempt_lng,home_lat,home_lng,travel_time_sec,travel_dist_meter
13289179255,"I agree, start questionnaire",Yes,Yes,No,100,NA,100,0,45-54,Woman,NA,White or Caucasian,Single,NA,Self-employed,Jan-15-2022,4575,02481,160,4575,No,0,Yes,3,500,0,0,100,0,04575,1,43.849,-69.643,42.32,-71.26,10539,284231
13289180335,"I agree, start questionnaire",Yes,Yes,No,50,NA,30,0,55-64,Man,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,"Boothbay Harbor, Maine",01930,180,NA,Yes,2,No,0,NA,6,100,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.63,-70.69,10234,261831
13289188067,"I agree, start questionnaire",Yes,Yes,No,40,NA,50,110,18-24,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-00-1900,"Boothbay Harbor, Maine",06511,0,4072,No,0,Yes,1,15,5,150,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.31,-72.94,17261,474191
13289192822,"I agree, start questionnaire",Yes,Yes,No,50,NA,NA,NA,35-44,Non-binary / non-conforming,NA,White or Caucasian,Married,NA,Employed - full time,Jan-00-1900,"Boothbay Harbor, Maine",04612,360,NA,Yes,2,No,0,NA,4,250,100,150,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.25,-68.38,10301,194789
13289199735,"I agree, start questionnaire",Yes,Yes,No,15,550,225,150,55-64,Man,NA,White or Caucasian,Single,NA,Self-employed,Jan-22-2022,"Boothbay Harbor, Maine",21117,360,"Boothbay Harbor, Maine, USA",Yes,3,Yes,2,75,7,200,400,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,39.43,-76.8,32428,917710
13289209637,"I agree, start questionnaire",Yes,Yes,No,55,NA,10,NA,25-34,Man,NA,White or Caucasian,Single,NA,Student,Jan-16-2022,"Boothbay Harbor, Maine",06340,30,NA,No,NA,No,0,12,10,200,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.35,-72.04,15993,435860
13289229530,"I agree, start questionnaire",Yes,Yes,No,10,NA,100,0,35-44,Woman,NA,White or Caucasian,Married,NA,Employed - part time,Jan-23-2022,4538,04576,20,NA,Yes,3,No,0,28,10,4,0,100,04538,1,43.85,-69.63,43.82,-69.67,678,8104
13289232386,"I agree, start questionnaire",Yes,Yes,No,45,300,30,0,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-14-2022,"Boothbay Harbor, Maine",08854,90,NA,No,NA,No,0,63,4,40,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.55,-74.46,23760,651440
13289259218,"I agree, start questionnaire",Yes,Yes,No,30,NA,0,0,25-34,Man,NA,White or Caucasian,Single,NA,Employed - full time,Dec-20-2021,"Dighton, Massachusetts",01453,53,NA,No,0,No,0,25,1.5,15,200,30,"Dighton, Massachusetts, USA",1,NA,NA,42.52,-71.77,58838,1747141
13289267241,"I agree, start questionnaire",Yes,Yes,No,90,NA,35,0,35-44,Woman,NA,White or Caucasian,Married,NA,Self-employed,Dec-31-2021,"Georgetown, Maine",04631,90,"Pownal, Maine, USA",Yes,2,Yes,1,25,12,150,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,44.92,-67.02,4869,104482
13289289649,"I agree, start questionnaire",Yes,Yes,No,150,NA,15,0,25-34,Man,NA,White or Caucasian,Single,NA,Employed - part time,Jan-02-2022,"Five Islands, Maine",02155,180,NA,No,0,No,0,16,11,65,100,NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,42.42,-71.11,9023,245748
13289292542,"I agree, start questionnaire",Yes,Yes,No,10,NA,40,0,65+,Woman,NA,White or Caucasian,Married,NA,Retired,Jan-08-2022,"Boothbay Harbor, Maine",04011,60,NA,Yes,2,No,NA,NA,20,30,100,200,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,43.9,-70,2963,54951
13289295716,"I agree, start questionnaire",Yes,Yes,No,40,NA,0,0,55-64,Woman,NA,White or Caucasian,Single,NA,Employed - part time,Dec-31-2021,"Georgetown, Maine",04096,120,NA,Yes,2,No,0,30,13,300,40,200,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,43.79,-70.16,11080,289810
13289295902,"I agree, start questionnaire",Yes,Yes,No,100,NA,0,0,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-16-2022,"Boothbay Harbor, Maine",05354,30,NA,No,0,No,0,28,37,200,150,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.78,-72.51,14573,376075
13289298215,"I agree, start questionnaire",Yes,Yes,No,40,NA,0,0,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Dec-31-2021,"Five Islands, Maine",23231,45,NA,Yes,2,No,0,100,25,100,NA,NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,37.4,-77.3,39572,1134285
13289302167,"I agree, start questionnaire",Yes,Yes,No,250,NA,80,450,45-54,Woman,NA,White or Caucasian,Married,NA,Employed - full time,Jan-16-2022,"Boothbay Harbor, Maine",19072,2000,"Edgecomb, Maine, USA",Yes,2,Yes,3,NA,10,50,170,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.02,-75.26,27399,757689
13289314613,"I agree, start questionnaire",Yes,Yes,No,140,NA,140,200,55-64,Man,NA,White or Caucasian,Married,NA,Employed - full time,Jan-22-2022,4558,08826,45,4011,Yes,4,Yes,2,100,6,60,200,NA,04558,1,43.9,-69.53,40.71,-74.9,25654,718386
13289372681,"I agree, start questionnaire",Yes,Yes,No,10,NA,30,NA,35-44,Man,NA,Multiracial or Biracial,Married,NA,Employed - full time,Dec-31-2021,4548,04901,120,NA,Yes,2,No,NA,40,14,100,NA,NA,04548,1,43.82,-69.74,44.6,-69.6,4428,115223
13289373410,"I agree, start questionnaire",Yes,Yes,No,20,NA,40,0,25-34,Woman,NA,White or Caucasian,Single,NA,Employed - full time,Jan-16-2022,"Boothbay Harbor, Maine",04252,45,NA,Yes,2,No,0,22,0,50,50,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.03,-70.06,3696,67947
13289385805,"I agree, start questionnaire",Yes,Yes,No,100,NA,50,120,18-24,Man,NA,White or Caucasian,Single,NA,Employed - part time,Jan-00-1900,"Boothbay Harbor, Maine",02360,200,"Boothbay Harbor, Maine, USA",No,NA,Yes,1,20,2,50,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.9,-70.6,13216,341019
13289425903,"I agree, start questionnaire",Yes,Yes,No,50,NA,50,NA,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-01-2022,"Georgetown, Maine",02139,60,NA,No,NA,No,0,45,8,200,25,200,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,42.36,-71.1,17743,478990
13289426456,"I agree, start questionnaire",Yes,Yes,No,300,NA,100,130,65+,Woman,NA,White or Caucasian,Married,NA,Retired,Jan-16-2022,"Boothbay Harbor, Maine",49103,20,"Brunswick, Maine, USA",Yes,2,Yes,1,NA,33,150,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.95,-86.37,58663,1723976
13289438069,"I agree, start questionnaire",Yes,Yes,No,150,0,400,300,45-54,Woman,NA,White or Caucasian,Single,NA,Employed - full time,Jan-22-2022,"New Harbor, Maine",01027,3,4102,No,1,Yes,2,30,40,200,NA,NA,"New Harbor, Maine, USA",1,43.8742496,-69.4919912,42.3,-72.7,15893,427312
13289442490,"I agree, start questionnaire",Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-02-2022,"Georgetown, Maine",04038,15,NA,Yes,3,No,NA,NA,5,NA,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,43.7,-70.5,12540,322507
13289449420,"I agree, start questionnaire",Yes,Yes,No,90,NA,75,NA,35-44,Man,NA,White or Caucasian,Single,NA,Employed - part time,Jan-12-2022,"Boothbay Harbor, Maine",49643,180,NA,No,NA,Yes,3,15,30,200,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.6,-85.8,58657,1703400
13289460370,"I agree, start questionnaire",Yes,Yes,No,50,NA,0,0,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-00-1900,"Freetown, Massachusetts",01742,240,NA,No,NA,No,0,Na,9,12,NA,NA,"Freetown, Massachusetts, USA",1,41.7738949,-71.0913231,42.46,-71.36,3541,94529
13289470247,"I agree, start questionnaire",Yes,Yes,No,60,200,200,350,45-54,Woman,NA,White or Caucasian,Single,NA,Employed - full time,Jan-08-2022,"Boothbay Harbor, Maine",49103,15,4578,Yes,2,Yes,3,20,15,30,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.95,-86.37,58663,1723976
13289479377,"I agree, start questionnaire",Yes,Yes,No,60,NA,20,0,25-34,Woman,NA,Multiracial or Biracial,Single,NA,Employed - full time,Jan-22-2022,"Bristol, Maine",06375,120,4530,No,NA,Yes,1,27,20,150,NA,NA,"Bristol, Maine, USA",1,43.6364757,-70.3124515,41.4,-72.14,11368,332626
13289489563,"I agree, start questionnaire",Yes,Yes,No,135,NA,60,70,25-34,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-08-2022,"Boothbay Harbor, Maine",10025,100,"Freeport, Maine, USA",Yes,1 (2 on return trip),Yes,1,25,29,75,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.8,-73.97,21390,587582
13289494795,"I agree, start questionnaire",Yes,Yes,No,100,185,100,300,25-34,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-16-2022,4544,21217,150,4538,No,0,Yes,2,52,0.75,125,NA,NA,04544,1,43.84,-69.59,39.31,-76.64,32369,908477
13289518637,"I agree, start questionnaire",Yes,Yes,No,150,NA,200,0,25-34,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-08-2022,"Boothbay Harbor, Maine",08210,75,4860,Yes,4,Yes,3,30,25,70,50,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,39.1,-74.8,29067,824205
13289536431,"I agree, start questionnaire",Yes,Yes,No,80,NA,60,90,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,02715; 02725; 04548,01510,0,4011,No,NA,Yes,1,NA,10,200,200,200,02715,3,41.82,-71.15,42.41,-71.69,4385,97187
13289536431,"I agree, start questionnaire",Yes,Yes,No,80,NA,60,90,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,02715; 02725; 04548,01510,0,4011,No,NA,Yes,1,NA,10,200,200,200, 02725,3,NA,NA,42.41,-71.69,58648,1735972
13289536431,"I agree, start questionnaire",Yes,Yes,No,80,NA,60,90,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,02715; 02725; 04548,01510,0,4011,No,NA,Yes,1,NA,10,200,200,200, 04548,3,NA,NA,42.41,-71.69,58624,1735975
13289551367,"I agree, start questionnaire",Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec-31-2021,"Georgetown, Maine",04901,90,NA,Yes,2,No,0,NA,NA,NA,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,44.6,-69.6,7329,180518
13289556712,"I agree, start questionnaire",Yes,Yes,No,40,450,300,450,35-44,Woman,NA,White or Caucasian,Single,NA,Employed - full time,Jan-24-2022,4575,32073,600,4538,No,NA,Yes,3,30,2,25,25,25,04575,1,43.849,-69.643,30.16,-81.75,71194,2116450
13289562535,"I agree, start questionnaire",Yes,Yes,No,95,NA,250,280,25-34,Woman,NA,White or Caucasian,Single,NA,Employed - full time,Jan-22-2022,"Bristol, Maine",06401,140,"Portsmouth, New Hampshire, USA; Boothbay Harbor, Maine, USA",Yes,2,Yes,2,22,3,300,NA,NA,"Bristol, Maine, USA",1,43.6364757,-70.3124515,41.34,-73.07,13373,385206
13289568538,"I agree, start questionnaire",Yes,Yes,No,100,280,100,170,25-34,Man,NA,White or Caucasian,Married,NA,Employed - full time,Jan-15-2022,"Bath, Maine",19380,280,"Bath, Maine, USA",Yes,2,Yes,3,85,25,60,400,100,"Bath, Maine, USA",1,NA,NA,40,-75.6,44517,1298621
13289599999,"I agree, start questionnaire",Yes,Yes,No,0,230,150,170,35-44,Woman,NA,Hispanic or Latino,Single,NA,Employed - full time,Jan-22-2022,"Boothbay Harbor, Maine",30083,40,"Boothbay Harbor, Maine, USA; Townsend, MA",Yes,3,Yes,3,45,17,150,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,33.79,-84.2,68165,1970646
13289607520,"I agree, start questionnaire",Yes,Yes,No,80,NA,150,215,55-64,Man,NA,White or Caucasian,Married,NA,Employed - full time,Jan-14-2022,"Boothbay Harbor, Maine",11218,25,"Boothbay Harbor, Maine, USA",No,NA,Yes,2,75,6,40,60,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.65,-73.98,22536,605073
13289611479,"I agree, start questionnaire",Yes,Yes,No,80,NA,100,300,65+,Woman,NA,White or Caucasian,Single,NA,Retired,Jan-23-2022,Maine,11375,107,4556,No,NA,Yes,2,NA,20,60,NA,NA,"Maine, USA",1,45.8162859,-68.8593921,40.72,-73.85,29650,840493
13289673593,"I agree, start questionnaire",Yes,Yes,No,60,NA,40,0,18-24,Man,NA,White or Caucasian,Single,NA,Employed - full time,Dec-31-2021,4548,08724,120,4103,Yes,3,Yes,1,16.5,7,400,300,NA,04548,1,43.82,-69.74,40.1,-74.11,23858,670833
13289683593,"I agree, start questionnaire",Yes,Yes,No,30,NA,100,0,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-21-2022,"Boothbay Harbor, Maine",11226,80,4860,Yes,4,Yes,3,NA,25,60,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.65,-73.96,22852,606773
13289696479,"I agree, start questionnaire",Yes,Yes,No,50,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,Jan-00-1900,Massachusetts and Maine,01719,800,"Wiscasset, Maine, USA",No,NA,Yes,1,NA,15,NA,NA,NA,"Massachusetts, USA and Maine, USA",1,NA,NA,42.49,-71.52,58948,1754196
13289708368,"I agree, start questionnaire",Yes,Yes,No,20,NA,0,0,35-44,Man,NA,White or Caucasian,Single,NA,Employed - full time,Dec-31-2021,"Georgetown, Maine",04103,60,NA,No,NA,No,0,40,32,30,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,43.69,-70.29,11669,303643
13289715746,"I agree, start questionnaire",Yes,Yes,No,65,680,80,245,65+,Man,NA,White or Caucasian,Single,NA,Retired,Jan-13-2022,"Southport, Maine",48322,63,4530,No,0,Yes,5,NA,9,25,120,NA,"Southport, Maine, USA",1,NA,NA,42.54,-83.38,40851,1231834
13289724136,"I agree, start questionnaire",Yes,Yes,No,0,NA,150,89,55-64,Woman,NA,White or Caucasian,Other (please specify),widow,Retired,Jan-13-2022,"Boothbay Harbor, Maine",10562,45,4011,Yes,3,Yes,1,0,12,40,20,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.19,-73.82,20178,551797
13289725190,"I agree, start questionnaire",Yes,Yes,No,0,NA,0,0,65+,Woman,NA,White or Caucasian,Married,NA,Retired,Jan-22-2022,4554,04554,30,NA,No,NA,No,NA,0,65,200,NA,NA,04554,1,43.87,-69.51,43.87,-69.51,0,0
13289735616,"I agree, start questionnaire",Yes,Yes,No,40,NA,20,NA,25-34,Woman,NA,White or Caucasian,Single,NA,Student,Jan-15-2022,"Boothbay Harbor, Maine",04468,180,NA,No,0,No,0,11,8,70,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,45,-68.7,9834,258319
13289744283,"I agree, start questionnaire",Yes,Yes,No,20,NA,10,0,45-54,Woman,NA,White or Caucasian,Married,NA,Employed - part time,Dec-20-2021,"Dighton, Massachusetts",02360,360,NA,No,NA,No,0,21,29,250,NA,NA,"Dighton, Massachusetts, USA",1,NA,NA,41.9,-70.6,61551,1820700
13289751436,"I agree, start questionnaire",Yes,Yes,No,35,NA,60,200,25-34,Man,NA,White or Caucasian,Married,NA,Employed - full time,Jan-15-2022,"Boothbay Harbor, Maine",14850,240,"Boothbay Harbor, Maine, USA",Yes,3,Yes,2,26,28,150,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.4,-76.5,28675,784868
13289753710,"I agree, start questionnaire",Yes,Yes,No,30,NA,0,0,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-13-2022,"Boothbay Harbor, Maine",01940,120,NA,Yes,2,No,0,0,10,60,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.54,-71.03,9384,241811
13289754099,"I agree, start questionnaire",Yes,Yes,No,50,NA,NA,NA,25-34,Man,NA,White or Caucasian,Married,NA,Employed - full time,Jan-01-2022,"Georgetown, Maine",01035,300,NA,No,NA,No,NA,15,10,200,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,42.36,-72.59,22471,601305
13289758716,"I agree, start questionnaire",Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-00-1900,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0
13289765223,"I agree, start questionnaire",Yes,Yes,No,30,NA,50,0,45-54,Woman,NA,White or Caucasian,Married,NA,Employed - full time,Jan-00-1900,"Boothbay Harbor, Maine",03833,NA,NA,Yes,2,No,NA,45,30,30,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,43,-71,7871,202834
13289770603,"I agree, start questionnaire",Yes,Yes,No,30,NA,20,100,25-34,Man,NA,White or Caucasian,Single,NA,Employed - full time,Dec-31-2021,"Five Islands, Maine",07070,120,"Portland, Maine, USA",No,1,Yes,1,48,7,100,NA,NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,40.82,-74.1,21140,595801
13289794638,"I agree, start questionnaire",Yes,Yes,No,50,NA,20,0,18-24,Woman,NA,White or Caucasian,Single,NA,Employed - part time,Jan-00-1900,NA,NA,60,NA,Yes,2,No,0,15,5,100,NA,NA,NA,1,NA,NA,NA,NA,0,0
13289838670,"I agree, start questionnaire",Yes,Yes,No,20,NA,0,0,35-44,Woman,NA,White or Caucasian,Married,NA,Self-employed,Dec-31-2021,"Five Islands, Maine",04005,120,NA,Yes,4,No,0,NA,9,150,NA,NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,43.5,-70.5,4475,104100
13289857934,"I agree, start questionnaire",Yes,Yes,No,946,NA,415,950,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,"Boothbay Harbor, Maine",44883,1770,"Brunswick, Maine, USA",No,NA,Yes,9,NA,52,45,120,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.1,-83.2,49570,1429238
13289885682,"I agree, start questionnaire",Yes,Yes,No,125,NA,80,300,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-23-2022,"Lincoln County, Maine",19320,15,"Boothbay Harbor, Maine, USA",Yes,2,Yes,2,NA,45,200,NA,NA,"Lincoln County, Maine, USA",1,NA,NA,40,-75.8,60505,1769569
13289895792,"I agree, start questionnaire",Yes,Yes,No,150,1100,350,450,55-64,Woman,NA,White or Caucasian,Single,NA,Retired,Jan-01-2022,"Bristol, Massachusetts; Five Islands, Maine",31522,20,02741; 04101,No,NA,Yes,4,NA,32,75,300,NA,"Bristol, Massachusetts, USA",2,41.8804021,-71.0560124,31.2,-81.4,58754,1747297
13289895792,"I agree, start questionnaire",Yes,Yes,No,150,1100,350,450,55-64,Woman,NA,White or Caucasian,Single,NA,Retired,Jan-01-2022,"Bristol, Massachusetts; Five Islands, Maine",31522,20,02741; 04101,No,NA,Yes,4,NA,32,75,300,NA," Five Islands, Maine, USA",2,43.8239716,-69.7111565,31.2,-81.4,66791,1982792
13289915226,"I agree, start questionnaire",Yes,Yes,No,250,NA,200,250,35-44,Man,NA,White or Caucasian,Single,NA,Self-employed,Jan-01-2022,"Georgetown, Maine",37033,120,"Georgetown, Maine, USA",Yes,2,Yes,4,40,20,100,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,35.7,-87.6,81032,2354103
13289921217,"I agree, start questionnaire",Yes,Yes,No,85,NA,50,NA,25-34,Woman,NA,White or Caucasian,Married,NA,Employed - full time,Jan-24-2022,"Boothbay Harbor, Maine",06360,60,"Wiscasset, Maine, USA",Yes,2,Yes,1,32,10,55,45,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.55,-72.09,14746,408218
13289931893,"I agree, start questionnaire",Yes,Yes,No,50,NA,15,0,25-34,Man,NA,White or Caucasian,Single,NA,Student,Jan-12-2022,"Boothbay Harbor, Maine",04901,30,NA,Yes,3,No,0,10,4,15,70,30,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.6,-69.6,4775,98888
13289935394,"I agree, start questionnaire",Yes,Yes,No,80,NA,50,175,NA,NA,NA,NA,NA,NA,NA,Jan-23-2022,"Boothbay Harbor, Maine",16803,120,"Newburgh New York, USA; Boothbay Harbor, Maine, USA",Yes,2,Yes,3,NA,2.5,NA,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.81,-77.89,33637,957565
13289944117,"I agree, start questionnaire",Yes,Yes,No,40,NA,15,NA,35-44,Woman,NA,White or Caucasian,Other (please specify),Engaged,Unemployed,Jan-01-2022,4548,02445,30,NA,No,2,No,0,0,4,250,NA,NA,04548,1,43.82,-69.74,42.32,-71.13,9852,246917
13289967264,"I agree, start questionnaire",Yes,No,Yes,47.2,NA,20,NA,18-24,Man,NA,White or Caucasian,Single,NA,Student,Nov-03-2021,"Windsor, Nova Scotia",B4A2C,90,NA,No,NA,No,0,15.77,4,25,NA,NA,"Windsor, Nova Scotia",1,44.9974773,-64.1377138,45.419811,-75.708185,51180,1474697
13289971893,"I agree, start questionnaire",Yes,Yes,No,10,NA,5,0,25-34,Man,NA,White or Caucasian,Single,NA,Employed - part time,Jan-15-2022,4538,03801,1,NA,Yes,3,No,0,19.5,3,100,NA,NA,04538,1,43.85,-69.63,43.07,-70.8,7147,179801
13289973405,"I agree, start questionnaire",Yes,Yes,No,50,NA,200,200,25-34,Man,NA,White or Caucasian,Married,NA,Employed - full time,Jan-15-2022,"Boothbay Harbor, Maine",03104,30,4553,No,NA,Yes,1,57,3,30,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,43.02,-71.44,9401,246558
13289994322,"I agree, start questionnaire",Yes,Yes,No,150,NA,350,350,35-44,Woman,NA,White or Caucasian,Married,NA,Employed - full time,Jan-16-2022,"Boothbay Harbor, Maine",06880,45,"Newcastle, Maine, USA",Yes,2,Yes,2,90,28,80,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.14,-73.34,18431,512328
13290030842,"I agree, start questionnaire",Yes,Yes,No,100,NA,15,0,25-34,Man,NA,White or Caucasian,Married,NA,Student,Dec-31-2021,"Five Islands, Maine",10025,90,"Cambridge, Massachusetts, USA",Yes,2,No,0,13,20,150,NA,NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,40.8,-73.97,20317,569262
