S/Transect,Quadra,SpCode,DKH,code,Base stems,Basal area (sq cm),Hmin,Hmax,CanDepth,Crwn D1,Crwn D2,CrwnDiam,slope,Soiltex,Elev (m),Trcov (%),Shcov (%),Hcov (%),Bare (%),CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,CanVol 
L1,L113,ACACTO,5.8,M,M,26.41,1.03,2.17,1.14,3.13,2.93,3.03,2,5,1681,1,3,80,20,7.21,7.2,0.01,5.47
L1,L113,ACACTO,3.7,,b,10.75,1.03,2.17,1.14,3.13,2.93,3.03,2,5,1681,1,3,80,20,7.21,7.2,0.01,5.47
L1,L113,ACACTO,2.5,,b,4.91,1.03,2.17,1.14,3.13,2.93,3.03,2,5,1681,1,3,80,20,7.21,7.2,0.01,5.47
L1,L114,ACACME,15.1,M,M,178.99,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,13.8,,b,149.50,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,8,,b,50.24,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,8,,b,50.24,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,10.5,,b,86.55,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,9.5,,b,70.85,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,11.4,,b,102.02,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,10.9,,b,93.27,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,9.3,,b,67.89,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,8.4,,b,55.39,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L114,ACACME,3.5,,b,9.62,1.6,5.15,3.55,9.5,7.6,8.55,3,1,1677,1,0,90,10,57.39,56.68,0.71,134.23
L1,L115,ACACME,4.5,,b,15.90,1.18,2.41,1.23,3.82,4.2,4.01,2,1,1675,4,6,90,10,12.62,12.59,0.03,10.32
L1,L115,ACACME,5,,b,19.63,1.18,2.41,1.23,3.82,4.2,4.01,2,1,1675,4,6,90,10,12.62,12.59,0.03,10.32
L1,L115,ACACME,3.5,,b,9.62,1.18,2.41,1.23,3.82,4.2,4.01,2,1,1675,4,6,90,10,12.62,12.59,0.03,10.32
L1,L115,ACACME,5.6,M,M,24.62,1.01,2.62,1.61,3.59,3,3.3,2,1,1675,4,6,90,10,8.52,8.45,0.07,9.09
L1,L115,ACACME,3.4,,b,9.07,1.01,2.62,1.61,3.59,3,3.3,2,1,1675,4,6,90,10,8.52,8.45,0.07,9.09
L1,L115,ACACME,2.5,,b,4.91,1.01,2.62,1.61,3.59,3,3.3,2,1,1675,4,6,90,10,8.52,8.45,0.07,9.09
L1,L115,ACACME,2.6,,b,5.31,1.01,2.62,1.61,3.59,3,3.3,2,1,1675,4,6,90,10,8.52,8.45,0.07,9.09
L1,L115,ACACME,14.1,M,M,156.07,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,6.1,,b,29.21,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,5.1,,b,20.42,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,3.9,,b,11.94,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,12.1,,b,114.93,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,4.8,,b,18.09,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,4.6,,b,16.61,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,6,,b,28.26,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,3.9,,b,11.94,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,4.3,,b,14.51,1.22,5.15,3.93,6,5.46,5.73,2,1,1675,4,6,90,10,25.77,25.72,0.06,67.42
L1,L115,ACACME,7,M,M,38.47,1.18,2.41,1.23,3.82,4.2,4.01,2,1,1675,4,6,90,10,12.62,12.59,0.03,10.32
L1,L116,ACACET,23.4,M,M,429.83,1.05,5.34,4.29,6.98,5.17,6.08,3,1,1675,4,3,70,30,28.97,28.33,0.64,80.93
L1,L116,ACACET,17.6,,b,243.16,1.05,5.34,4.29,6.98,5.17,6.08,3,1,1675,4,3,70,30,28.97,28.33,0.64,80.93
L1,L116,ACACET,13.6,,b,145.19,1.05,5.34,4.29,6.98,5.17,6.08,3,1,1675,4,3,70,30,28.97,28.33,0.64,80.93
L1,L116,ACACET,8,,b,50.24,1.05,5.34,4.29,6.98,5.17,6.08,3,1,1675,4,3,70,30,28.97,28.33,0.64,80.93
L1,L116,ACACME,15.6,M,M,191.04,1.46,5.73,4.27,5.28,5.1,5.19,3,1,1675,4,3,70,30,21.14,21.14,0.01,60.2
L1,L116,ACACME,5.3,,b,22.05,1.46,5.73,4.27,5.28,5.1,5.19,3,1,1675,4,3,70,30,21.14,21.14,0.01,60.2
L1,L116,ACACME,7.4,,b,42.99,1.46,5.73,4.27,5.28,5.1,5.19,3,1,1675,4,3,70,30,21.14,21.14,0.01,60.2
L1,L116,ACACME,6.3,,b,31.16,1.46,5.73,4.27,5.28,5.1,5.19,3,1,1675,4,3,70,30,21.14,21.14,0.01,60.2
L1,L116,ACACME,6.4,M,M,32.15,0.8,1.92,1.12,2.5,1.23,1.87,3,1,1675,4,3,70,30,2.73,2.41,0.32,1.8
L1,L116,ACACME,3.9,,b,11.94,0.8,1.92,1.12,2.5,1.23,1.87,3,1,1675,4,3,70,30,2.73,2.41,0.32,1.8
L1,L116,ACACME,5.3,,b,22.05,0.8,1.92,1.12,2.5,1.23,1.87,3,1,1675,4,3,70,30,2.73,2.41,0.32,1.8
L1,L117,ACACME,22.3,M,M,390.37,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L117,ACACME,14.2,,b,158.29,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L117,ACACME,6.1,,b,29.21,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L117,ACACME,6.7,,b,35.24,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L117,ACACME,8.3,,b,54.08,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L117,ACACME,5.3,,b,22.05,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L117,ACACME,11.6,,b,105.63,0.82,4.36,3.54,5.2,4.1,4.65,3,1,1687,1,2,90,10,16.97,16.74,0.24,39.49
L1,L118,ACACME,6.7,M,M,35.24,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,3.4,,b,9.07,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,5.2,,b,21.23,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,6,,b,28.26,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,4.3,,b,14.51,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,6.5,,b,33.17,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,4.7,,b,17.34,1.04,3.14,2.1,4.52,4.36,4.44,3,1,1672,4,1,90,10,15.48,15.47,0.01,21.66
L1,L118,ACACME,6.7,M,M,35.24,0.86,3.11,2.25,3.86,4.5,4.18,3,1,1672,4,1,90,10,13.72,13.64,0.08,20.45
L1,L118,ACACME,6.2,,b,30.18,0.86,3.11,2.25,3.86,4.5,4.18,3,1,1672,4,1,90,10,13.72,13.64,0.08,20.45
L1,L118,ACACME,5.2,,b,21.23,0.86,3.11,2.25,3.86,4.5,4.18,3,1,1672,4,1,90,10,13.72,13.64,0.08,20.45
L1,L118,ACACME,4,,b,12.56,0.86,3.11,2.25,3.86,4.5,4.18,3,1,1672,4,1,90,10,13.72,13.64,0.08,20.45
L1,L118,ACACME,2.7,,b,5.72,0.86,3.11,2.25,3.86,4.5,4.18,3,1,1672,4,1,90,10,13.72,13.64,0.08,20.45
L1,L118,ACACME,8.6,M,M,58.06,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,6.3,,b,31.16,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,3.2,,b,8.04,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,6.4,,b,32.15,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,8.2,,b,52.78,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,6,,b,28.26,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,4.6,,b,16.61,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,6.4,,b,32.15,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,5.6,,b,24.62,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,7.3,,b,41.83,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,8.2,,b,52.78,1.17,3.38,2.21,5.2,5.87,5.54,3,1,1672,4,1,90,10,24.05,23.96,0.09,35.37
L1,L118,ACACME,8.4,M,M,55.39,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,5.3,,b,22.05,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,6.5,,b,33.17,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,5.2,,b,21.23,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,7,,b,38.47,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,5.4,,b,22.89,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,5.7,,b,25.50,1.28,3.51,2.23,5.73,5.85,5.79,3,1,1672,4,1,90,10,26.32,26.31,0,39.05
L1,L118,ACACME,4,,b,12.56,1.28,2.2,0.92,2.72,3.74,3.23,3,1,1672,4,1,90,10,8.19,7.99,0.2,4.87
L1,L119,ACACME,8.2,M,M,52.78,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,11.1,,b,96.72,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,10,,b,78.50,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,6.4,,b,32.15,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,8.3,,b,54.08,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,7,,b,38.47,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,4,,b,12.56,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,6.9,,b,37.37,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,8.4,,b,55.39,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,5.3,,b,22.05,1.64,4.69,3.05,6.72,6.85,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.47
L1,L119,ACACME,11.1,M,M,96.72,1.64,4.7,3.06,6.85,6.72,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.6
L1,L119,ACACME,8.2,,b,52.78,1.64,4.7,3.06,6.85,6.72,6.79,3,1,1678,5,1,95,5,36.14,36.14,0,73.6
