"Acacia brevispica biomass (y=48.739x-41.179, r = 0.24)",,,,,,,,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,slope,Soiltex,Elev (m),Trcov (%),Shcov (%),Hcov (%),Bare (%),CanArea     = ?D1D2/4 ,CanVol ,Biomass 
M1,M102,ACACBR,2.1,,b,3.46185,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,61.1729
M1,M102,ACACBR,2.2,,b,3.7994,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,66.0468
M1,M102,ACACBR,1.5,,b,1.76625,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,31.9295
M1,M102,ACACBR,1.5,,b,1.76625,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,31.9295
M1,M102,ACACBR,1.3,,b,1.32665,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,22.1817
M1,M102,ACACBR,1.7,,b,2.26865,0.6,2.1,1.5,1.15,2,4,1665,50,10,100,0,1.02,1.02,41.6773
M1,M102,ACACBR,3.4,M,M,9.0746,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,124.5336
M1,M102,ACACBR,2.9,,b,6.60185,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,100.1641
M1,M102,ACACBR,1.9,,b,2.83385,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,51.4251
M1,M102,ACACBR,1,,b,0.785,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,7.56
M1,M102,ACACBR,1.5,,b,1.76625,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,31.9295
M1,M102,ACACBR,1.4,,b,1.5386,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,27.0556
M1,M102,ACACBR,1.7,,b,2.26865,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,41.6773
M1,M102,ACACBR,1.7,,b,2.26865,0.72,1.6,0.88,1.55,2,4,1665,50,10,100,0,1.87,1.1,41.6773
M1,M103,ACACBR,2.6,M,M,5.3066,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,85.5424
M1,M103,ACACBR,1.7,,b,2.26865,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,41.6773
M1,M103,ACACBR,1.7,,b,2.26865,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,41.6773
M1,M103,ACACBR,1,,b,0.785,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,7.56
M1,M103,ACACBR,2.3,,b,4.15265,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,70.9207
M1,M103,ACACBR,1.4,,b,1.5386,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,27.0556
M1,M103,ACACBR,1,,b,0.785,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,7.56
M1,M103,ACACBR,1.2,,b,1.1304,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,17.3078
M1,M103,ACACBR,1.6,,b,2.0096,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,36.8034
M1,M103,ACACBR,1.5,,b,1.76625,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,31.9295
M1,M103,ACACBR,1.5,,b,1.76625,0.5,2.42,1.92,1.35,2,5,1665,73,40,100,0,1.41,1.81,31.9295
M1,M103,ACACBR,1.7,M,M,2.26865,0.7,1.9,1.2,0.6,2,5,1665,73,40,100,0,0.28,0.23,41.6773
M1,M103,ACACBR,1.5,,b,1.76625,0.7,1.9,1.2,0.6,2,5,1665,73,40,100,0,0.28,0.23,31.9295
M1,M103,ACACBR,1.3,,b,1.32665,0.7,1.9,1.2,0.6,2,5,1665,73,40,100,0,0.28,0.23,22.1817
M1,M103,ACACBR,1.3,,b,1.32665,0.7,1.9,1.2,0.6,2,5,1665,73,40,100,0,0.28,0.23,22.1817
M1,M103,ACACBR,1.2,,b,1.1304,0.7,1.9,1.2,0.6,2,5,1665,73,40,100,0,0.28,0.23,17.3078
M1,M103,ACACBR,1.1,,b,0.94985,0.7,1.9,1.2,0.6,2,5,1665,73,40,100,0,0.28,0.23,12.4339
M1,M103,ACACBR,3.1,M,M,7.54385,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,109.9119
M1,M103,ACACBR,2.6,,b,5.3066,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,85.5424
M1,M103,ACACBR,1.6,,b,2.0096,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,36.8034
M1,M103,ACACBR,1.9,,b,2.83385,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,51.4251
M1,M103,ACACBR,2.2,,b,3.7994,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,66.0468
M1,M103,ACACBR,1.3,,b,1.32665,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,22.1817
M1,M103,ACACBR,1.6,,b,2.0096,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,36.8034
M1,M103,ACACBR,1.5,,b,1.76625,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,31.9295
M1,M103,ACACBR,1.4,,b,1.5386,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,27.0556
M1,M103,ACACBR,1.1,,b,0.94985,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,12.4339
M1,M103,ACACBR,1.4,,b,1.5386,0.84,2.16,1.32,1.05,2,5,1665,73,40,100,0,0.82,0.72,27.0556
M1,M103,ACACBR,2,M,M,3.14,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,56.299
M1,M103,ACACBR,1.9,,b,2.83385,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,51.4251
M1,M103,ACACBR,1.1,,b,0.94985,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,12.4339
M1,M103,ACACBR,1.5,,b,1.76625,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,31.9295
M1,M103,ACACBR,1.1,,b,0.94985,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,12.4339
M1,M103,ACACBR,1.9,,b,2.83385,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,51.4251
M1,M103,ACACBR,1,,b,0.785,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,7.56
M1,M103,ACACBR,1,,b,0.785,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,7.56
M1,M103,ACACBR,1,,b,0.785,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,7.56
M1,M103,ACACBR,1.1,,b,0.94985,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,12.4339
M1,M103,ACACBR,1,,b,0.785,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,7.56
M1,M103,ACACBR,1,,b,0.785,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,7.56
M1,M103,ACACBR,1.8,M,M,2.5434,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,46.5512
M1,M103,ACACBR,1.6,,b,2.0096,0.52,2.83,2.31,1.05,2,5,1665,73,40,100,0,0.69,1.07,36.8034
M1,M103,ACACBR,1.1,,b,0.94985,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,12.4339
M1,M103,ACACBR,1.8,,b,2.5434,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,46.5512
M1,M103,ACACBR,1.5,,b,1.76625,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,31.9295
M1,M103,ACACBR,1.6,,b,2.0096,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,36.8034
M1,M103,ACACBR,1.4,,b,1.5386,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,27.0556
M1,M103,ACACBR,1.5,,b,1.76625,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,31.9295
M1,M103,ACACBR,1,,b,0.785,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,7.56
M1,M103,ACACBR,1.4,,b,1.5386,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,27.0556
M1,M103,ACACBR,1.3,,b,1.32665,0.7,2.91,2.21,1.3,2,5,1665,73,40,100,0,1.33,1.95,22.1817
M1,M103,ACACBR,2,M,M,3.14,0.63,2.41,1.78,1.1,2,5,1665,73,40,100,0,0.88,1.04,56.299
M1,M103,ACACBR,1.7,,b,2.26865,0.63,2.41,1.78,1.1,2,5,1665,73,40,100,0,0.88,1.04,41.6773
M1,M103,ACACBR,1.5,,b,1.76625,0.63,2.41,1.78,1.1,2,5,1665,73,40,100,0,0.88,1.04,31.9295
M1,M103,ACACBR,1.5,,b,1.76625,0.63,2.41,1.78,1.1,2,5,1665,73,40,100,0,0.88,1.04,31.9295
M1,M103,ACACBR,1.1,,b,0.94985,0.63,2.41,1.78,1.1,2,5,1665,73,40,100,0,0.88,1.04,12.4339
M1,M103,ACACBR,3.2,M,M,8.0384,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,114.7858
M1,M103,ACACBR,2.1,,b,3.46185,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,61.1729
M1,M103,ACACBR,1.9,,b,2.83385,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,51.4251
M1,M103,ACACBR,1.9,,b,2.83385,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,51.4251
M1,M103,ACACBR,2.3,,b,4.15265,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,70.9207
M1,M103,ACACBR,1.7,,b,2.26865,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,41.6773
M1,M103,ACACBR,1.6,,b,2.0096,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,36.8034
M1,M103,ACACBR,1.6,,b,2.0096,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,36.8034
M1,M103,ACACBR,1.2,,b,1.1304,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,17.3078
M1,M103,ACACBR,2.1,,b,3.46185,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,61.1729
M1,M103,ACACBR,1.8,,b,2.5434,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,46.5512
M1,M103,ACACBR,1.9,,b,2.83385,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,51.4251
M1,M103,ACACBR,1.7,,b,2.26865,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,41.6773
M1,M103,ACACBR,1.8,,b,2.5434,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,46.5512
M1,M103,ACACBR,2.9,,b,6.60185,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,100.1641
M1,M103,ACACBR,2.1,,b,3.46185,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,61.1729
M1,M103,ACACBR,1.3,,b,1.32665,0.65,4.2,3.55,2.4,2,5,1665,73,40,100,0,4.45,10.53,22.1817
M1,M103,ACACBR,2,M,M,3.14,0.6,2.14,1.54,1.25,2,5,1665,73,40,100,0,1.22,1.26,56.299
M1,M103,ACACBR,1.6,,b,2.0096,0.6,2.14,1.54,1.25,2,5,1665,73,40,100,0,1.22,1.26,36.8034
M1,M103,ACACBR,1.5,,b,1.76625,0.6,2.14,1.54,1.25,2,5,1665,73,40,100,0,1.22,1.26,31.9295
M1,M103,ACACBR,2,,b,3.14,0.6,2.14,1.54,1.25,2,5,1665,73,40,100,0,1.22,1.26,56.299
M1,M103,ACACBR,2,,b,3.14,0.6,2.14,1.54,1.25,2,5,1665,73,40,100,0,1.22,1.26,56.299
M1,M103,ACACBR,2.6,M,M,5.3066,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,85.5424
M1,M103,ACACBR,1.4,,b,1.5386,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,27.0556
M1,M103,ACACBR,1.3,,b,1.32665,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,22.1817
M1,M103,ACACBR,1,,b,0.785,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,7.56
M1,M103,ACACBR,1.4,,b,1.5386,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,27.0556
M1,M103,ACACBR,1,,b,0.785,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,7.56
M1,M103,ACACBR,1.2,,b,1.1304,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,17.3078
M1,M103,ACACBR,1,,b,0.785,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,7.56
M1,M103,ACACBR,1.1,,b,0.94985,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,12.4339
M1,M103,ACACBR,1.8,,b,2.5434,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,46.5512
M1,M103,ACACBR,2.3,,b,4.15265,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,70.9207
M1,M103,ACACBR,1.5,,b,1.76625,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,31.9295
M1,M103,ACACBR,2,,b,3.14,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,56.299
M1,M103,ACACBR,1.2,,b,1.1304,0.49,2.21,1.72,1.18,2,5,1665,73,40,100,0,1.08,1.24,17.3078
M1,M103,ACACBR,1.6,M,M,2.0096,0.5,2.1,1.6,1.15,2,5,1665,73,40,100,0,0.94,1,36.8034
M1,M103,ACACBR,1.6,,b,2.0096,0.5,2.1,1.6,1.15,2,5,1665,73,40,100,0,0.94,1,36.8034
M1,M103,ACACBR,1.5,,b,1.76625,0.5,2.1,1.6,1.15,2,5,1665,73,40,100,0,0.94,1,31.9295
M1,M103,ACACBR,1.8,M,M,2.5434,0.7,2.78,2.08,2.3,2,5,1665,73,40,100,0,4.14,5.75,46.5512
M1,M103,ACACBR,1.8,,b,2.5434,0.7,2.78,2.08,2.3,2,5,1665,73,40,100,0,4.14,5.75,46.5512
M1,M103,ACACBR,1,,b,0.785,0.7,2.78,2.08,2.3,2,5,1665,73,40,100,0,4.14,5.75,7.56
M1,M103,ACACBR,2.7,M,M,5.72265,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,90.4163
M1,M103,ACACBR,1.7,,b,2.26865,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,41.6773
M1,M103,ACACBR,1.4,,b,1.5386,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,27.0556
M1,M103,ACACBR,1.7,,b,2.26865,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,41.6773
M1,M103,ACACBR,1.8,,b,2.5434,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,46.5512
M1,M103,ACACBR,1.3,,b,1.32665,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,22.1817
M1,M103,ACACBR,1.3,,b,1.32665,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,22.1817
M1,M103,ACACBR,1.5,,b,1.76625,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,31.9295
M1,M103,ACACBR,1.4,,b,1.5386,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,27.0556
M1,M103,ACACBR,1.6,,b,2.0096,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,36.8034
M1,M103,ACACBR,1.2,,b,1.1304,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,17.3078
M1,M103,ACACBR,1.5,,b,1.76625,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,31.9295
M1,M103,ACACBR,1,,b,0.785,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,7.56
M1,M103,ACACBR,1.4,,b,1.5386,0.75,2.23,1.48,0.75,2,5,1665,73,40,100,0,0.42,0.42,27.0556
M1,M103,ACACBR,2,M,M,3.14,0.5,2.23,1.73,0.85,2,5,1665,73,40,100,0,0.55,0.63,56.299
M1,M103,ACACBR,1.4,,b,1.5386,0.5,2.23,1.73,0.85,2,5,1665,73,40,100,0,0.55,0.63,27.0556
M1,M103,ACACBR,1.5,,b,1.76625,0.5,2.23,1.73,0.85,2,5,1665,73,40,100,0,0.55,0.63,31.9295
M1,M103,ACACBR,1.6,,b,2.0096,0.5,2.23,1.73,0.85,2,5,1665,73,40,100,0,0.55,0.63,36.8034
M1,M103,ACACBR,1.3,,b,1.32665,0.5,2.23,1.73,0.85,2,5,1665,73,40,100,0,0.55,0.63,22.1817
M1,M103,ACACBR,2.2,M,M,3.7994,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,66.0468
M1,M103,ACACBR,2.1,,b,3.46185,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,61.1729
M1,M103,ACACBR,1.4,,b,1.5386,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,27.0556
M1,M103,ACACBR,1.9,,b,2.83385,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,51.4251
M1,M103,ACACBR,1.8,,b,2.5434,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,46.5512
M1,M103,ACACBR,2,,b,3.14,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,56.299
M1,M103,ACACBR,1.6,,b,2.0096,0.6,1.88,1.28,0.9,2,5,1665,73,40,100,0,0.63,0.54,36.8034
M1,M103,ACACBR,2.2,M,M,3.7994,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,66.0468
M1,M103,ACACBR,1.7,,b,2.26865,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,41.6773
M1,M103,ACACBR,1.8,,b,2.5434,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,46.5512
M1,M103,ACACBR,2,,b,3.14,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,56.299
M1,M103,ACACBR,2,,b,3.14,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,56.299
M1,M103,ACACBR,1.8,,b,2.5434,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,46.5512
M1,M103,ACACBR,1.1,,b,0.94985,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,12.4339
M1,M103,ACACBR,2.2,,b,3.7994,0.5,2.43,1.93,1.65,2,5,1665,73,40,100,0,2.12,2.73,66.0468
M1,M103,ACACBR,3,M,M,7.065,0.6,2.37,1.77,1.8,2,5,1665,73,40,100,0,2.47,2.92,105.038
M1,M103,ACACBR,2,,b,3.14,0.6,2.37,1.77,1.8,2,5,1665,73,40,100,0,2.47,2.92,56.299
M1,M103,ACACBR,1.6,,b,2.0096,0.6,2.37,1.77,1.8,2,5,1665,73,40,100,0,2.47,2.92,36.8034
M1,M103,ACACBR,1.7,,b,2.26865,0.6,2.37,1.77,1.8,2,5,1665,73,40,100,0,2.47,2.92,41.6773
M1,M103,ACACBR,1.6,,b,2.0096,0.6,2.37,1.77,1.8,2,5,1665,73,40,100,0,2.47,2.92,36.8034
M1,M103,ACACBR,1,,b,0.785,0.6,2.37,1.77,1.8,2,5,1665,73,40,100,0,2.47,2.92,7.56
