Acacia etbaica biomas (y=53.506x -103.47 ; r2 = 0.68),,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,slope,CanArea     = ?D1D2/4 ,CanVol ,Biomass
L1,L125,ACACET,10.2,M,M,81.6714,0.9,3.84,2.94,3.02,2,7.05,13.81,442.2912
L1,L125,ACACET,5.7,M,M,25.50465,1.06,2.74,1.68,2.29,2,4.1,4.59,201.5142
L1,L125,ACACET,5.7,M,M,25.50465,0.92,3.07,2.15,2.88,2,6.49,9.3,201.5142
L1,L125,ACACET,3.3,,b,8.54865,0.92,3.07,2.15,2.88,2,6.49,9.3,73.0998
L1,L125,ACACET,6.9,M,M,37.37385,0.9,2.99,2.09,3.6,2,10.12,14.11,265.7214
L1,L125,ACACET,3.6,,b,10.1736,0.9,2.99,2.09,3.6,2,10.12,14.11,89.1516
L1,L125,ACACET,6.9,,b,37.37385,0.9,2.99,2.09,3.6,2,10.12,14.11,265.7214
L1,L125,ACACET,6,M,M,28.26,1.01,3.11,2.1,3.05,2,7.3,10.22,217.566
L1,L125,ACACET,5.3,,b,22.05065,1.01,3.11,2.1,3.05,2,7.3,10.22,180.1118
L1,L125,ACACET,5.2,,b,21.2264,1.01,3.11,2.1,3.05,2,7.3,10.22,174.7612
L1,L125,ACACET,10.9,M,M,93.26585,0.6,3.14,2.54,2.06,2,3.24,5.49,479.7454
L1,L125,ACACET,7.2,,b,40.6944,0.6,3.14,2.54,2.06,2,3.24,5.49,281.7732
L1,L125,ACACET,7.8,,b,47.7594,0.6,3.14,2.54,2.06,2,3.24,5.49,313.8768
L1,L125,ACACET,7.3,M,M,41.83265,0.74,3.08,2.34,2.53,2,4.95,7.72,287.1238
L1,L125,ACACET,12.9,M,M,130.63185,1,4.45,3.45,3.8,2,11.14,25.62,586.7574
L1,L125,ACACET,9.9,,b,76.93785,1,4.45,3.45,3.8,2,11.14,25.62,426.2394
L1,L125,ACACET,5.9,,b,27.32585,1,4.45,3.45,3.8,2,11.14,25.62,212.2154
L1,L129,ACACET,11.7,M,M,107.45865,1,3.57,2.57,3.96,2,12.31,21.07,522.5502
L1,L129,ACACET,4.2,,b,13.8474,1,3.57,2.57,3.96,2,12.31,21.07,121.2552
L1,L132,ACACET,10.1,M,M,80.07785,1.22,3.41,2.19,2.96,2,6.86,10.04,436.9406
L1,L132,ACACET,9.1,,b,65.00585,1.22,3.41,2.19,2.96,2,6.86,10.04,383.4346
L1,L132,ACACET,6.9,,b,37.37385,1.22,3.41,2.19,2.96,2,6.86,10.04,265.7214
L1,L132,ACACET,5.4,,b,22.8906,1.22,3.41,2.19,2.96,2,6.86,10.04,185.4624
L1,L134,ACACET,3.7,M,M,10.74665,0.83,1.92,1.09,2.1,2,3.41,2.48,94.5022
L1,L134,ACACET,2.8,,b,6.1544,0.83,1.92,1.09,2.1,2,3.41,2.48,46.3468
L1,L134,ACACET,2.4,,b,4.5216,0.83,1.92,1.09,2.1,2,3.41,2.48,24.9444
L1,L134,ACACET,10.6,M,M,88.2026,0.8,3.69,2.89,4.88,2,17.76,34.25,463.6936
L1,L134,ACACET,7.5,,b,44.15625,0.8,3.69,2.89,4.88,2,17.76,34.25,297.825
L1,L134,ACACET,7.6,,b,45.3416,0.8,3.69,2.89,4.88,2,17.76,34.25,303.1756
L1,L134,ACACET,3.5,,b,9.61625,0.8,3.69,2.89,4.88,2,17.76,34.25,83.801
L1,L135,ACACET,8.1,M,M,51.50385,0.8,3.35,2.55,3.29,2,7.93,13.48,329.9286
L1,L135,ACACET,6.3,,b,31.15665,0.8,3.35,2.55,3.29,2,7.93,13.48,233.6178
L1,L139,ACACET,1.6,M,M,2.0096,0.2,0.8,0.6,1,2,0.79,0.31,-17.8604
L1,L139,ACACET,1.4,,b,1.5386,0.2,0.8,0.6,1,2,0.79,0.31,-28.5616
L1,L139,ACACET,1.2,,b,1.1304,0.2,0.8,0.6,1,2,0.79,0.31,-39.2628
L1,L139,ACACET,1.3,,b,1.32665,0.2,0.8,0.6,1,2,0.79,0.31,-33.9122
L1,L139,ACACET,1.3,,b,1.32665,0.2,0.8,0.6,1,2,0.79,0.31,-33.9122
L1,L143,ACACET,5,M,M,19.625,1.15,3.32,2.17,2.14,1,3.52,5.1,164.06
L1,L143,ACACET,3.8,,b,11.3354,1.15,3.32,2.17,2.14,1,3.52,5.1,99.8528
L1,L143,ACACET,2.7,,b,5.72265,1.15,3.32,2.17,2.14,1,3.52,5.1,40.9962
L1,L143,ACACET,1.6,,b,2.0096,1.15,3.32,2.17,2.14,1,3.52,5.1,-17.8604
L1,L143,ACACET,3,,b,7.065,1.15,3.32,2.17,2.14,1,3.52,5.1,57.048
L1,L143,ACACET,4.5,,b,15.89625,1.15,3.32,2.17,2.14,1,3.52,5.1,137.307
L1,L144,ACACET,5.5,M,M,23.74625,0.55,3.18,2.63,2.43,1,4.54,7.97,190.813
L1,L144,ACACET,3.9,,b,11.93985,0.55,3.18,2.63,2.43,1,4.54,7.97,105.2034
L1,L144,ACACET,4.6,,b,16.6106,0.55,3.18,2.63,2.43,1,4.54,7.97,142.6576
L1,L144,ACACET,1.2,,b,1.1304,0.55,3.18,2.63,2.43,1,4.54,7.97,-39.2628
L1,L145,ACACET,2.2,M,M,3.7994,0.11,1.09,0.98,1.38,1,1.47,0.96,14.2432
L1,L145,ACACET,1.5,,b,1.76625,0.11,1.09,0.98,1.38,1,1.47,0.96,-23.211
L1,L145,ACACET,1.2,,b,1.1304,0.11,1.09,0.98,1.38,1,1.47,0.96,-39.2628
L1,L145,ACACET,1.3,,b,1.32665,0.11,1.09,0.98,1.38,1,1.47,0.96,-33.9122
L1,L146,ACACET,5.2,M,M,21.2264,0.36,3.1,2.74,2.34,1,4.11,7.51,174.7612
L1,L146,ACACET,2.1,,b,3.46185,0.36,3.1,2.74,2.34,1,4.11,7.51,8.8926
L1,L146,ACACET,2.5,,b,4.90625,0.36,3.1,2.74,2.34,1,4.11,7.51,30.295
L1,L148,ACACET,6.1,M,M,29.20985,0.4,2.57,2.17,2.94,1,6.78,9.82,222.9166
L1,L148,ACACET,3.1,,b,7.54385,0.4,2.57,2.17,2.94,1,6.78,9.82,62.3986
L1,L148,ACACET,2,,b,3.14,0.4,2.57,2.17,2.94,1,6.78,9.82,3.542
L1,L148,ACACET,3.5,,b,9.61625,0.4,2.57,2.17,2.94,1,6.78,9.82,83.801
L1,L155,ACACET,12.7,M,M,126.61265,1.5,3.13,1.63,4.74,2,17.51,19.03,576.0562
L1,L155,ACACET,11.1,,b,96.71985,1.5,3.13,1.63,4.74,2,17.51,19.03,490.4466
L1,L155,ACACET,4.5,,b,15.89625,1.5,3.13,1.63,4.74,2,17.51,19.03,137.307
L1,L155,ACACET,8.8,,b,60.7904,1.5,3.13,1.63,4.74,2,17.51,19.03,367.3828
L1,L155,ACACET,5.5,,b,23.74625,1.5,3.13,1.63,4.74,2,17.51,19.03,190.813
L1,L155,ACACET,5.4,,b,22.8906,1.5,3.13,1.63,4.74,2,17.51,19.03,185.4624
L1,L156,ACACET,10.4,M,M,84.9056,1.1,2.93,1.83,1.89,2,2.78,3.4,452.9924
L1,L157,ACACET,7.3,M,M,41.83265,0.4,2.56,2.16,2.77,2,6,8.64,287.1238
L1,L157,ACACET,6.1,,b,29.20985,0.4,2.56,2.16,2.77,2,6,8.64,222.9166
L1,L158,ACACET,13.7,M,M,147.33665,0.9,3.67,2.77,4.1,3,13.13,24.25,629.5622
L1,L158,ACACET,19.9,M,M,310.86785,0.2,4.23,4.03,5.72,3,24.89,66.88,961.2994
L1,L159,ACACET,8.5,M,M,56.71625,0.51,2.23,1.72,2.85,3,6.29,7.21,351.331
L1,L159,ACACET,3.5,,b,9.61625,0.51,2.23,1.72,2.85,3,6.29,7.21,83.801
L1,L161,ACACET,2.1,M,M,3.46185,0.52,1.13,0.61,2.07,2,3.26,1.33,8.8926
L1,L161,ACACET,2,,b,3.14,0.52,1.13,0.61,2.07,2,3.26,1.33,3.542
L1,L161,ACACET,3,M,M,7.065,0.53,1.64,1.11,1.81,2,2.55,1.89,57.048
L1,L162,ACACET,5.2,M,M,21.2264,0.6,2.28,1.68,2.07,2,3.35,3.75,174.7612
L1,L162,ACACET,1.8,,b,2.5434,0.6,2.28,1.68,2.07,2,3.35,3.75,-7.1592
L1,L162,ACACET,8.2,M,M,52.7834,2.22,3.12,0.9,2.98,2,6.86,4.12,335.2792
L1,L162,ACACET,13.5,M,M,143.06625,1.17,3.63,2.46,2.64,2,5.45,8.93,618.861
L1,L163,ACACET,2.3,M,M,4.15265,0.59,1.22,0.63,0.59,2,0.26,0.11,19.5938
L1,L163,ACACET,2.5,M,M,4.90625,0.63,1.22,0.59,1.31,2,1.31,0.52,30.295
L1,L163,ACACET,1.5,,b,1.76625,0.63,1.22,0.59,1.31,2,1.31,0.52,-23.211
L1,L163,ACACET,3.6,M,M,10.1736,0.2,1.51,1.31,1.31,2,1.32,1.15,89.1516
L1,L163,ACACET,2.4,,b,4.5216,0.2,1.51,1.31,1.31,2,1.32,1.15,24.9444
L1,L165,ACACET,3.6,M,M,10.1736,0.48,1.22,0.74,2.22,2,3.84,1.89,89.1516
L1,L165,ACACET,1.9,,b,2.83385,0.48,1.22,0.74,2.22,2,3.84,1.89,-1.8086
L1,L165,ACACET,6.5,M,M,33.16625,0.98,1.8,0.82,1.93,2,2.84,1.55,244.319
L1,L165,ACACET,3.2,M,M,8.0384,0.5,1.12,0.62,0.66,2,0.32,0.13,67.7492
L1,L165,ACACET,3,,b,7.065,0.5,1.12,0.62,0.66,2,0.32,0.13,57.048
L1,L165,ACACET,2.7,M,M,5.72265,0.22,1.15,0.93,1.74,2,2.35,1.46,40.9962
L1,L165,ACACET,2.5,,b,4.90625,0.22,1.15,0.93,1.74,2,2.35,1.46,30.295
L1,L165,ACACET,12.4,M,M,120.7016,0.3,3.38,3.08,2.68,2,5.6,11.5,560.0044
L1,L165,ACACET,9.9,M,M,76.93785,0.69,4.38,3.69,5.03,2,19.77,48.62,426.2394
L1,L165,ACACET,9.8,,b,75.3914,0.69,4.38,3.69,5.03,2,19.77,48.62,420.8888
L1,L166,ACACET,7.8,M,M,47.7594,0.66,2.79,2.13,4.64,2,16.21,23.01,313.8768
L1,L168,ACACET,3.6,M,M,10.1736,0.5,1.64,1.14,3.39,2,8.97,6.82,89.1516
L1,L168,ACACET,2.9,,b,6.60185,0.5,1.64,1.14,3.39,2,8.97,6.82,51.6974
L1,L168,ACACET,2.7,M,M,5.72265,0.46,1.51,1.05,1.52,2,1.74,1.22,40.9962
L1,L173,ACACET,2.5,M,M,4.90625,0.2,1.22,1.02,1.45,2,1.61,1.09,30.295
L1,L173,ACACET,2.4,,b,4.5216,0.2,1.22,1.02,1.45,2,1.61,1.09,24.9444
L1,L173,ACACET,1.7,,b,2.26865,0.2,1.22,1.02,1.45,2,1.61,1.09,-12.5098
L1,L174,ACACET,2.8,M,M,6.1544,0.7,1.55,0.85,1.64,2,2.11,1.2,46.3468
L1,L174,ACACET,2.6,,b,5.3066,0.7,1.55,0.85,1.64,2,2.11,1.2,35.6456
L1,L174,ACACET,2.3,,b,4.15265,0.7,1.55,0.85,1.64,2,2.11,1.2,19.5938
L1,L174,ACACET,2.9,M,M,6.60185,0.86,1.22,0.36,1.16,2,1.05,0.25,51.6974
L1,L174,ACACET,2,,b,3.14,0.86,1.22,0.36,1.16,2,1.05,0.25,3.542
L1,L174,ACACET,2.1,,b,3.46185,0.86,1.22,0.36,1.16,2,1.05,0.25,8.8926
L1,L174,ACACET,5.3,M,M,22.05065,0.6,2.35,1.75,1.9,2,2.8,3.27,180.1118
L1,L175,ACACET,4.4,M,M,15.1976,0.8,2.45,1.65,2.36,2,4.35,4.79,131.9564
L1,L175,ACACET,2.7,,b,5.72265,0.8,2.45,1.65,2.36,2,4.35,4.79,40.9962
L1,L175,ACACET,3.2,,b,8.0384,0.8,2.45,1.65,2.36,2,4.35,4.79,67.7492
L1,L175,ACACET,5,M,M,19.625,0.8,2.64,1.84,2.24,2,3.91,4.8,164.06
L1,L175,ACACET,1.5,,b,1.76625,0.8,2.64,1.84,2.24,2,3.91,4.8,-23.211
L1,L175,ACACET,3.1,,b,7.54385,0.8,2.64,1.84,2.24,2,3.91,4.8,62.3986
L1,L175,ACACET,1.3,,b,1.32665,0.8,2.64,1.84,2.24,2,3.91,4.8,-33.9122
L1,L175,ACACET,2.4,,b,4.5216,0.8,2.64,1.84,2.24,2,3.91,4.8,24.9444
L1,L175,ACACET,5.1,M,M,20.41785,0.9,2.4,1.5,2.45,2,4.71,4.71,169.4106
L1,L175,ACACET,1.9,,b,2.83385,0.9,2.4,1.5,2.45,2,4.71,4.71,-1.8086
L1,L175,ACACET,3.5,,b,9.61625,0.9,2.4,1.5,2.45,2,4.71,4.71,83.801
L1,L175,ACACET,1.5,,b,1.76625,0.9,2.4,1.5,2.45,2,4.71,4.71,-23.211
L1,L175,ACACET,2.1,,b,3.46185,0.9,2.4,1.5,2.45,2,4.71,4.71,8.8926
L1,L175,ACACET,1.5,,b,1.76625,0.9,2.4,1.5,2.45,2,4.71,4.71,-23.211
L1,L175,ACACET,4,,b,12.56,0.9,2.4,1.5,2.45,2,4.71,4.71,110.554
L1,L175,ACACET,5.5,M,M,23.74625,0.5,2.56,2.06,2.18,2,3.72,5.11,190.813
L1,L175,ACACET,2.7,,b,5.72265,0.5,2.56,2.06,2.18,2,3.72,5.11,40.9962
L1,L175,ACACET,4.3,,b,14.51465,0.5,2.56,2.06,2.18,2,3.72,5.11,126.6058
L1,L175,ACACET,7.8,M,M,47.7594,0.9,3.43,2.53,2.6,2,5.29,8.92,313.8768
L1,L175,ACACET,6.5,M,M,33.16625,0.7,3.04,2.34,2.57,2,5.18,8.07,244.319
L1,L175,ACACET,2.3,,b,4.15265,0.7,3.04,2.34,2.57,2,5.18,8.07,19.5938
L1,L175,ACACET,2.4,M,M,4.5216,0.9,1.88,0.98,1.76,2,2.41,1.58,24.9444
L1,L175,ACACET,2.2,,b,3.7994,0.9,1.88,0.98,1.76,2,2.41,1.58,14.2432
L1,L175,ACACET,1.4,,b,1.5386,0.9,1.88,0.98,1.76,2,2.41,1.58,-28.5616
L1,L175,ACACET,2.1,,b,3.46185,0.9,1.88,0.98,1.76,2,2.41,1.58,8.8926
L1,L175,ACACET,4.5,M,M,15.89625,0.8,2.26,1.46,2.44,2,4.64,4.52,137.307
L1,L175,ACACET,3.9,,b,11.93985,0.8,2.26,1.46,2.44,2,4.64,4.52,105.2034
L1,L175,ACACET,2.4,,b,4.5216,0.8,2.26,1.46,2.44,2,4.64,4.52,24.9444
L1,L175,ACACET,3.5,M,M,9.61625,0.75,1.97,1.22,1.97,2,3.03,2.46,83.801
L1,L175,ACACET,2.2,,b,3.7994,0.75,1.97,1.22,1.97,2,3.03,2.46,14.2432
L1,L175,ACACET,2.3,,b,4.15265,0.75,1.97,1.22,1.97,2,3.03,2.46,19.5938
L1,L175,ACACET,2.7,,b,5.72265,0.75,1.97,1.22,1.97,2,3.03,2.46,40.9962
L1,L175,ACACET,3.7,M,M,10.74665,1.1,4.22,3.12,2.1,2,3.43,7.14,94.5022
L1,L175,ACACET,4.1,,b,13.19585,1.1,4.22,3.12,2.1,2,3.43,7.14,115.9046
L1,L175,ACACET,3.3,M,M,8.54865,0.5,1.95,1.45,1.51,2,1.71,1.66,73.0998
L1,L175,ACACET,1.4,,b,1.5386,0.5,1.95,1.45,1.51,2,1.71,1.66,-28.5616
L1,L175,ACACET,3.1,,b,7.54385,0.5,1.95,1.45,1.51,2,1.71,1.66,62.3986
L1,L175,ACACET,5.5,M,M,23.74625,0.5,2.2,1.7,1.97,2,3.04,3.45,190.813
L1,L175,ACACET,2.1,,b,3.46185,0.5,2.2,1.7,1.97,2,3.04,3.45,8.8926
L1,L175,ACACET,2,,b,3.14,0.5,2.2,1.7,1.97,2,3.04,3.45,3.542
L1,L175,ACACET,2.3,,b,4.15265,0.5,2.2,1.7,1.97,2,3.04,3.45,19.5938
L1,L175,ACACET,2,,b,3.14,0.5,2.2,1.7,1.97,2,3.04,3.45,3.542
L1,L175,ACACET,2.9,M,M,6.60185,0.6,1.98,1.38,2.4,2,4.51,4.15,51.6974
L1,L175,ACACET,2.7,,b,5.72265,0.6,1.98,1.38,2.4,2,4.51,4.15,40.9962
L1,L175,ACACET,2.5,,b,4.90625,0.6,1.98,1.38,2.4,2,4.51,4.15,30.295
L1,L175,ACACET,2.3,,b,4.15265,0.6,1.98,1.38,2.4,2,4.51,4.15,19.5938
L1,L175,ACACET,9.8,M,M,75.3914,0.7,3.52,2.82,3.34,2,8.75,16.46,420.8888
L1,L175,ACACET,5.5,M,M,23.74625,0.87,2.49,1.62,2.84,2,6.25,6.75,190.813
L1,L175,ACACET,2.3,,b,4.15265,0.87,2.49,1.62,2.84,2,6.25,6.75,19.5938
L1,L175,ACACET,6.5,M,M,33.16625,0.5,3.18,2.68,3.33,2,8.7,15.55,244.319
L1,L175,ACACET,6.3,,b,31.15665,0.5,3.18,2.68,3.33,2,8.7,15.55,233.6178
L1,L175,ACACET,2.9,,b,6.60185,0.5,3.18,2.68,3.33,2,8.7,15.55,51.6974
L2,L220,ACACET,10.2,M,M,81.6714,0.88,5.12,4.24,5.19,3,21.08,59.61,442.2912
L2,L220,ACACET,9.9,,b,76.93785,0.88,5.12,4.24,5.19,3,21.08,59.61,426.2394
L2,L220,ACACET,8.3,,b,54.07865,0.88,5.12,4.24,5.19,3,21.08,59.61,340.6298
L2,L220,ACACET,6.4,,b,32.1536,0.88,5.12,4.24,5.19,3,21.08,59.61,238.9684
L2,L220,ACACET,7.4,,b,42.9866,0.88,5.12,4.24,5.19,3,21.08,59.61,292.4744
L2,L220,ACACET,14,M,M,153.86,0.93,3.41,2.48,5.05,3,18.79,31.13,645.614
L2,L220,ACACET,8.4,,b,55.3896,0.93,3.41,2.48,5.05,3,18.79,31.13,345.9804
L2,L220,ACACET,10.2,,b,81.6714,0.93,3.41,2.48,5.05,3,18.79,31.13,442.2912
L2,L221,ACACET,9.4,M,M,69.3626,1.14,2.9,1.76,3.28,3,8.42,9.85,399.4864
L2,L221,ACACET,5.4,,b,22.8906,1.14,2.9,1.76,3.28,3,8.42,9.85,185.4624
L2,L221,ACACET,7.3,,b,41.83265,1.14,2.9,1.76,3.28,3,8.42,9.85,287.1238
L2,L221,ACACET,9.4,M,M,69.3626,1.1,3.29,2.19,2.39,3,4.48,6.55,399.4864
L2,L221,ACACET,8.7,,b,59.41665,1.1,3.29,2.19,2.39,3,4.48,6.55,362.0322
L2,L221,ACACET,5.1,,b,20.41785,1.1,3.29,2.19,2.39,3,4.48,6.55,169.4106
L2,L221,ACACET,8.9,,b,62.17985,1.1,3.29,2.19,2.39,3,4.48,6.55,372.7334
L2,L221,ACACET,9.8,M,M,75.3914,3.69,5,1.31,3.84,3,11.17,9.76,420.8888
L2,L221,ACACET,6.1,,b,29.20985,3.69,5,1.31,3.84,3,11.17,9.76,222.9166
L2,L221,ACACET,14,M,M,153.86,3.48,5,1.52,3.47,3,9.38,9.53,645.614
L2,L221,ACACET,13.1,M,M,134.71385,1.22,4.3,3.08,3.29,3,8.45,17.35,597.4586
L2,L221,ACACET,10.3,,b,83.28065,1.22,4.3,3.08,3.29,3,8.45,17.35,447.6418
L2,L221,ACACET,7.7,,b,46.54265,1.22,4.3,3.08,3.29,3,8.45,17.35,308.5262
L2,L228,ACACET,3.5,M,M,9.61625,0.7,1.62,0.92,2.42,1,4.57,2.8,83.801
L2,L228,ACACET,2.5,,b,4.90625,0.7,1.62,0.92,2.42,1,4.57,2.8,30.295
L2,L228,ACACET,1.5,,b,1.76625,0.7,1.62,0.92,2.42,1,4.57,2.8,-23.211
L2,L228,ACACET,8,M,M,50.24,0.9,3.39,2.49,2.8,1,6.04,10.02,324.578
L2,L228,ACACET,7.4,,b,42.9866,0.9,3.39,2.49,2.8,1,6.04,10.02,292.4744
L2,L229,ACACET,8.3,M,M,54.07865,0.78,3.38,2.6,2.86,1,6.31,10.93,340.6298
L2,L229,ACACET,5.7,,b,25.50465,0.78,3.38,2.6,2.86,1,6.31,10.93,201.5142
L2,L229,ACACET,11.6,M,M,105.6296,0.93,3.56,2.63,3.13,1,7.67,13.44,517.1996
L2,L229,ACACET,3.2,M,M,8.0384,0.82,2.13,1.31,2.5,1,4.74,4.14,67.7492
L2,L229,ACACET,1.5,,b,1.76625,0.82,2.13,1.31,2.5,1,4.74,4.14,-23.211
L2,L229,ACACET,1.8,,b,2.5434,0.82,2.13,1.31,2.5,1,4.74,4.14,-7.1592
L2,L229,ACACET,2.7,M,M,5.72265,0.6,1.59,0.99,1.72,1,2.31,1.53,40.9962
L2,L229,ACACET,1.5,,b,1.76625,0.6,1.59,0.99,1.72,1,2.31,1.53,-23.211
L2,L229,ACACET,1.7,,b,2.26865,0.6,1.59,0.99,1.72,1,2.31,1.53,-12.5098
L2,L230,ACACET,8.3,M,M,54.07865,0.74,3.41,2.67,2.76,2,5.69,10.12,340.6298
L2,L230,ACACET,3.2,,b,8.0384,0.74,3.41,2.67,2.76,2,5.69,10.12,67.7492
L2,L230,ACACET,3.7,M,M,10.74665,0.5,2.38,1.88,2.11,2,3.47,4.35,94.5022
L2,L230,ACACET,5.5,M,M,23.74625,0.7,1.27,0.57,2.12,2,3.51,1.33,190.813
L2,L230,ACACET,3,,b,7.065,0.7,1.27,0.57,2.12,2,3.51,1.33,57.048
L2,L230,ACACET,4,,b,12.56,0.7,1.27,0.57,2.12,2,3.51,1.33,110.554
L2,L230,ACACET,6.3,M,M,31.15665,1.1,3.38,2.28,1.65,2,2.1,3.19,233.6178
L2,L231,ACACET,10.1,M,M,80.07785,0.7,3.84,3.14,3.49,2,9.5,19.88,436.9406
L2,L231,ACACET,4.7,,b,17.34065,0.7,3.84,3.14,3.49,2,9.5,19.88,148.0082
L2,L231,ACACET,11.3,M,M,100.23665,1.93,4.51,2.58,3.38,2,8.94,15.37,501.1478
L2,L231,ACACET,4.7,M,M,17.34065,1,2.9,1.9,2.08,2,3.38,4.29,148.0082
L2,L231,ACACET,5.8,M,M,26.4074,1.2,2.28,1.08,2.75,2,5.93,4.27,206.8648
L2,L231,ACACET,9.5,M,M,70.84625,1,3.88,2.88,2.5,2,4.84,9.28,404.837
L2,L231,ACACET,6.3,M,M,31.15665,0.5,2.09,1.59,1.93,2,2.83,3,233.6178
L2,L231,ACACET,3.2,,b,8.0384,0.5,2.09,1.59,1.93,2,2.83,3,67.7492
L2,L231,ACACET,8.7,M,M,59.41665,0.67,2.28,1.61,2.16,2,3.66,3.93,362.0322
L2,L231,ACACET,6.6,,b,34.1946,0.67,2.28,1.61,2.16,2,3.66,3.93,249.6696
L2,L231,ACACET,9.1,M,M,65.00585,0.7,3.46,2.76,2.68,2,5.61,10.33,383.4346
L2,L231,ACACET,11.5,M,M,103.81625,1,2.36,1.36,2.39,2,4.48,4.07,511.849
L2,L231,ACACET,9.5,M,M,70.84625,1,3.63,2.63,2.95,2,6.78,11.89,404.837
L2,L231,ACACET,8.3,M,M,54.07865,0.9,4.33,3.43,3.29,2,8.47,19.36,340.6298
L2,L231,ACACET,10.5,M,M,86.54625,0.6,4.64,4.04,3.69,2,10.68,28.76,458.343
L2,L231,ACACET,9.9,M,M,76.93785,1.22,2.92,1.7,2.43,2,4.58,5.19,426.2394
L2,L233,ACACET,3.5,M,M,9.61625,0.65,1.59,0.94,2.43,2,4.58,2.87,83.801
L2,L233,ACACET,1.5,,b,1.76625,0.65,1.59,0.94,2.43,2,4.58,2.87,-23.211
L2,L233,ACACET,2.3,,b,4.15265,0.65,1.59,0.94,2.43,2,4.58,2.87,19.5938
L2,L233,ACACET,5.4,M,M,22.8906,0.88,2.09,1.21,2.4,2,4.52,3.65,185.4624
L2,L233,ACACET,3.7,,b,10.74665,0.88,2.09,1.21,2.4,2,4.52,3.65,94.5022
L2,L233,ACACET,15.7,M,M,193.49465,0.6,3.71,3.11,4.1,2,13.14,27.24,736.5742
L2,L233,ACACET,4.1,,b,13.19585,0.6,3.71,3.11,4.1,2,13.14,27.24,115.9046
L2,L233,ACACET,6.2,,b,30.1754,0.6,3.71,3.11,4.1,2,13.14,27.24,228.2672
L2,L233,ACACET,7.8,M,M,47.7594,1.22,3.09,1.87,3.64,2,10.33,12.87,313.8768
L2,L233,ACACET,4.7,M,M,17.34065,1.21,3.51,2.3,3,2,7.02,10.77,148.0082
L2,L233,ACACET,3.5,,b,9.61625,1.21,3.51,2.3,3,2,7.02,10.77,83.801
L2,L233,ACACET,3.4,,b,9.0746,1.21,3.51,2.3,3,2,7.02,10.77,78.4504
L2,L233,ACACET,2.2,,b,3.7994,1.21,3.51,2.3,3,2,7.02,10.77,14.2432
L2,L233,ACACET,3.2,M,M,8.0384,0.3,1.85,1.55,2.05,2,3.29,3.4,67.7492
L2,L233,ACACET,2.1,,b,3.46185,0.3,1.85,1.55,2.05,2,3.29,3.4,8.8926
