"Acacia mellifera biomass (y=131.76x -265.62, r=0.714)",,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CanArea     = ?D1D2/4 ,CanVol ,Biomass
L1,L115,ACACME,6.1,,b,29.20985,1.22,5.15,3.93,25.72,67.42,538.116
L1,L115,ACACME,5.1,,b,20.41785,1.22,5.15,3.93,25.72,67.42,406.356
L1,L115,ACACME,3.9,,b,11.93985,1.22,5.15,3.93,25.72,67.42,248.244
L1,L115,ACACME,12.1,,b,114.93185,1.22,5.15,3.93,25.72,67.42,1328.676
L1,L115,ACACME,4.8,,b,18.0864,1.22,5.15,3.93,25.72,67.42,366.828
L1,L115,ACACME,4.6,,b,16.6106,1.22,5.15,3.93,25.72,67.42,340.476
L1,L115,ACACME,6,,b,28.26,1.22,5.15,3.93,25.72,67.42,524.94
L1,L115,ACACME,3.9,,b,11.93985,1.22,5.15,3.93,25.72,67.42,248.244
L1,L115,ACACME,4.3,,b,14.51465,1.22,5.15,3.93,25.72,67.42,300.948
L1,L115,ACACME,7,M,M,38.465,1.18,2.41,1.23,12.59,10.32,656.7
L1,L116,ACACME,15.6,M,M,191.0376,1.46,5.73,4.27,21.14,60.2,1789.836
L1,L116,ACACME,5.3,,b,22.05065,1.46,5.73,4.27,21.14,60.2,432.708
L1,L116,ACACME,7.4,,b,42.9866,1.46,5.73,4.27,21.14,60.2,709.404
L1,L116,ACACME,6.3,,b,31.15665,1.46,5.73,4.27,21.14,60.2,564.468
L1,L116,ACACME,6.4,M,M,32.1536,0.8,1.92,1.12,2.41,1.8,577.644
L1,L116,ACACME,3.9,,b,11.93985,0.8,1.92,1.12,2.41,1.8,248.244
L1,L116,ACACME,5.3,,b,22.05065,0.8,1.92,1.12,2.41,1.8,432.708
L1,L117,ACACME,22.3,M,M,390.37265,0.82,4.36,3.54,16.74,39.49,2672.628
L1,L117,ACACME,14.2,,b,158.2874,0.82,4.36,3.54,16.74,39.49,1605.372
L1,L117,ACACME,6.1,,b,29.20985,0.82,4.36,3.54,16.74,39.49,538.116
L1,L117,ACACME,6.7,,b,35.23865,0.82,4.36,3.54,16.74,39.49,617.172
L1,L117,ACACME,8.3,,b,54.07865,0.82,4.36,3.54,16.74,39.49,827.988
L1,L117,ACACME,5.3,,b,22.05065,0.82,4.36,3.54,16.74,39.49,432.708
L1,L117,ACACME,11.6,,b,105.6296,0.82,4.36,3.54,16.74,39.49,1262.796
L1,L118,ACACME,6.7,M,M,35.23865,1.04,3.14,2.1,15.47,21.66,617.172
L1,L118,ACACME,3.4,,b,9.0746,1.04,3.14,2.1,15.47,21.66,182.364
L1,L118,ACACME,5.2,,b,21.2264,1.04,3.14,2.1,15.47,21.66,419.532
L1,L118,ACACME,6,,b,28.26,1.04,3.14,2.1,15.47,21.66,524.94
L1,L118,ACACME,4.3,,b,14.51465,1.04,3.14,2.1,15.47,21.66,300.948
L1,L118,ACACME,6.5,,b,33.16625,1.04,3.14,2.1,15.47,21.66,590.82
L1,L118,ACACME,4.7,,b,17.34065,1.04,3.14,2.1,15.47,21.66,353.652
L1,L118,ACACME,6.7,M,M,35.23865,0.86,3.11,2.25,13.64,20.45,617.172
L1,L118,ACACME,6.2,,b,30.1754,0.86,3.11,2.25,13.64,20.45,551.292
L1,L118,ACACME,5.2,,b,21.2264,0.86,3.11,2.25,13.64,20.45,419.532
L1,L118,ACACME,4,,b,12.56,0.86,3.11,2.25,13.64,20.45,261.42
L1,L118,ACACME,2.7,,b,5.72265,0.86,3.11,2.25,13.64,20.45,90.132
L1,L118,ACACME,8.6,M,M,58.0586,1.17,3.38,2.21,23.96,35.37,867.516
L1,L118,ACACME,6.3,,b,31.15665,1.17,3.38,2.21,23.96,35.37,564.468
L1,L118,ACACME,3.2,,b,8.0384,1.17,3.38,2.21,23.96,35.37,156.012
L1,L118,ACACME,6.4,,b,32.1536,1.17,3.38,2.21,23.96,35.37,577.644
L1,L118,ACACME,8.2,,b,52.7834,1.17,3.38,2.21,23.96,35.37,814.812
L1,L118,ACACME,6,,b,28.26,1.17,3.38,2.21,23.96,35.37,524.94
L1,L118,ACACME,4.6,,b,16.6106,1.17,3.38,2.21,23.96,35.37,340.476
L1,L118,ACACME,6.4,,b,32.1536,1.17,3.38,2.21,23.96,35.37,577.644
L1,L118,ACACME,5.6,,b,24.6176,1.17,3.38,2.21,23.96,35.37,472.236
L1,L118,ACACME,7.3,,b,41.83265,1.17,3.38,2.21,23.96,35.37,696.228
L1,L118,ACACME,8.2,,b,52.7834,1.17,3.38,2.21,23.96,35.37,814.812
L1,L118,ACACME,8.4,M,M,55.3896,1.28,3.51,2.23,26.31,39.05,841.164
L1,L118,ACACME,5.3,,b,22.05065,1.28,3.51,2.23,26.31,39.05,432.708
L1,L118,ACACME,6.5,,b,33.16625,1.28,3.51,2.23,26.31,39.05,590.82
L1,L118,ACACME,5.2,,b,21.2264,1.28,3.51,2.23,26.31,39.05,419.532
L1,L118,ACACME,7,,b,38.465,1.28,3.51,2.23,26.31,39.05,656.7
L1,L118,ACACME,5.4,,b,22.8906,1.28,3.51,2.23,26.31,39.05,445.884
L1,L118,ACACME,5.7,,b,25.50465,1.28,3.51,2.23,26.31,39.05,485.412
L1,L118,ACACME,4,,b,12.56,1.28,2.2,0.92,7.99,4.87,261.42
L1,L119,ACACME,8.2,M,M,52.7834,1.64,4.69,3.05,36.14,73.47,814.812
L1,L119,ACACME,11.1,,b,96.71985,1.64,4.69,3.05,36.14,73.47,1196.916
L1,L119,ACACME,10,,b,78.5,1.64,4.69,3.05,36.14,73.47,1051.98
L1,L119,ACACME,6.4,,b,32.1536,1.64,4.69,3.05,36.14,73.47,577.644
L1,L119,ACACME,8.3,,b,54.07865,1.64,4.69,3.05,36.14,73.47,827.988
L1,L119,ACACME,7,,b,38.465,1.64,4.69,3.05,36.14,73.47,656.7
L1,L119,ACACME,4,,b,12.56,1.64,4.69,3.05,36.14,73.47,261.42
L1,L119,ACACME,6.9,,b,37.37385,1.64,4.69,3.05,36.14,73.47,643.524
L1,L119,ACACME,8.4,,b,55.3896,1.64,4.69,3.05,36.14,73.47,841.164
L1,L119,ACACME,5.3,,b,22.05065,1.64,4.69,3.05,36.14,73.47,432.708
L1,L119,ACACME,11.1,M,M,96.71985,1.64,4.7,3.06,36.14,73.6,1196.916
L1,L119,ACACME,8.2,,b,52.7834,1.64,4.7,3.06,36.14,73.6,814.812
L1,L119,ACACME,10,,b,78.5,1.64,4.7,3.06,36.14,73.6,1051.98
L1,L119,ACACME,6.4,,b,32.1536,1.64,4.7,3.06,36.14,73.6,577.644
L1,L119,ACACME,8.3,,b,54.07865,1.64,4.7,3.06,36.14,73.6,827.988
L1,L119,ACACME,7,,b,38.465,1.64,4.7,3.06,36.14,73.6,656.7
L1,L119,ACACME,4,,b,12.56,1.64,4.7,3.06,36.14,73.6,261.42
L1,L119,ACACME,6.9,,b,37.37385,1.64,4.7,3.06,36.14,73.6,643.524
L1,L119,ACACME,8.4,,b,55.3896,1.64,4.7,3.06,36.14,73.6,841.164
L1,L119,ACACME,5.3,,b,22.05065,1.64,4.7,3.06,36.14,73.6,432.708
L1,L119,ACACME,7.9,M,M,48.99185,0.96,3.39,2.43,37.7,61,775.284
L1,L119,ACACME,6,,b,28.26,0.96,3.39,2.43,37.7,61,524.94
L1,L119,ACACME,7.1,,b,39.57185,0.96,3.39,2.43,37.7,61,669.876
L1,L119,ACACME,6.7,,b,35.23865,0.96,3.39,2.43,37.7,61,617.172
L1,L119,ACACME,7.9,,b,48.99185,0.96,3.39,2.43,37.7,61,775.284
L1,L119,ACACME,8.7,,b,59.41665,0.96,3.39,2.43,37.7,61,880.692
L1,L119,ACACME,6.4,,b,32.1536,0.96,3.39,2.43,37.7,61,577.644
L1,L119,ACACME,5.6,,b,24.6176,0.96,3.39,2.43,37.7,61,472.236
L1,L119,ACACME,4.3,,b,14.51465,0.96,3.39,2.43,37.7,61,300.948
L1,L119,ACACME,7.7,M,M,46.54265,1.32,4.24,2.92,20.98,40.81,748.932
L1,L119,ACACME,4.7,,b,17.34065,1.32,4.24,2.92,20.98,40.81,353.652
L1,L119,ACACME,4.3,,b,14.51465,1.32,4.24,2.92,20.98,40.81,300.948
L1,L119,ACACME,6.1,,b,29.20985,1.32,4.24,2.92,20.98,40.81,538.116
L1,L119,ACACME,6.5,,b,33.16625,1.32,4.24,2.92,20.98,40.81,590.82
L1,L119,ACACME,7,,b,38.465,1.32,4.24,2.92,20.98,40.81,656.7
L1,L119,ACACME,3.9,,b,11.93985,1.32,4.24,2.92,20.98,40.81,248.244
L1,L119,ACACME,5.5,,b,23.74625,1.32,4.24,2.92,20.98,40.81,459.06
L1,L119,ACACME,6.3,M,M,31.15665,0.94,2.87,1.93,18.88,24.24,564.468
L1,L119,ACACME,5.7,,b,25.50465,0.94,2.87,1.93,18.88,24.24,485.412
L1,L119,ACACME,5.5,,b,23.74625,0.94,2.87,1.93,18.88,24.24,459.06
L1,L119,ACACME,4.6,,b,16.6106,0.94,2.87,1.93,18.88,24.24,340.476
L1,L119,ACACME,3.6,,b,10.1736,0.94,2.87,1.93,18.88,24.24,208.716
L1,L119,ACACME,4.7,,b,17.34065,0.94,2.87,1.93,18.88,24.24,353.652
L1,L119,ACACME,5.5,M,M,23.74625,1.28,2.2,0.92,7.99,4.87,459.06
L1,L119,ACACME,4.3,,b,14.51465,1.28,2.2,0.92,7.99,4.87,300.948
L1,L119,ACACME,5.1,,b,20.41785,1.28,2.2,0.92,7.99,4.87,406.356
L1,L120,ACACME,10.6,M,M,88.2026,1.21,3.99,2.78,46.35,86.02,1131.036
L1,L120,ACACME,6.5,,b,33.16625,1.21,3.99,2.78,46.35,86.02,590.82
L1,L120,ACACME,5.2,,b,21.2264,1.21,3.99,2.78,46.35,86.02,419.532
L1,L120,ACACME,8.3,,b,54.07865,1.21,3.99,2.78,46.35,86.02,827.988
L1,L120,ACACME,4.5,,b,15.89625,1.21,3.99,2.78,46.35,86.02,327.3
L1,L120,ACACME,8.6,,b,58.0586,1.21,3.99,2.78,46.35,86.02,867.516
L1,L120,ACACME,8.7,,b,59.41665,1.21,3.99,2.78,46.35,86.02,880.692
L1,L120,ACACME,4.4,,b,15.1976,1.21,3.99,2.78,46.35,86.02,314.124
L1,L120,ACACME,7.3,M,M,41.83265,1.27,2.87,1.6,17.44,18.55,696.228
L1,L120,ACACME,7.7,,b,46.54265,1.27,2.87,1.6,17.44,18.55,748.932
L1,L120,ACACME,5.9,,b,27.32585,1.27,2.87,1.6,17.44,18.55,511.764
L1,L120,ACACME,5.2,,b,21.2264,1.27,2.87,1.6,17.44,18.55,419.532
L1,L120,ACACME,4.6,M,M,16.6106,1.2,3.14,1.94,10.39,13.44,340.476
L1,L120,ACACME,4.1,,b,13.19585,1.2,3.14,1.94,10.39,13.44,274.596
L1,L120,ACACME,4.1,,b,13.19585,1.2,3.14,1.94,10.39,13.44,274.596
L1,L120,ACACME,4.5,,b,15.89625,1.2,3.14,1.94,10.39,13.44,327.3
L1,L120,ACACME,4.4,,b,15.1976,1.2,3.14,1.94,10.39,13.44,314.124
L1,L120,ACACME,4.6,,b,16.6106,1.2,3.14,1.94,10.39,13.44,340.476
L1,L120,ACACME,7.6,M,M,45.3416,1.17,3.29,2.12,25.36,35.88,735.756
L1,L120,ACACME,4.1,,b,13.19585,1.17,3.29,2.12,25.36,35.88,274.596
L1,L120,ACACME,4.2,,b,13.8474,1.17,3.29,2.12,25.36,35.88,287.772
L1,L120,ACACME,5.4,,b,22.8906,1.17,3.29,2.12,25.36,35.88,445.884
L1,L120,ACACME,7.1,,b,39.57185,1.17,3.29,2.12,25.36,35.88,669.876
L1,L120,ACACME,4.1,,b,13.19585,1.17,3.29,2.12,25.36,35.88,274.596
L1,L120,ACACME,6.6,,b,34.1946,1.17,3.29,2.12,25.36,35.88,603.996
L1,L120,ACACME,5.3,,b,22.05065,1.17,3.29,2.12,25.36,35.88,432.708
L1,L120,ACACME,4,,b,12.56,1.17,3.29,2.12,25.36,35.88,261.42
L1,L120,ACACME,9.3,M,M,67.89465,0.79,3.35,2.56,39.03,66.71,959.748
L1,L120,ACACME,7,,b,38.465,0.79,3.35,2.56,39.03,66.71,656.7
L1,L120,ACACME,4.1,,b,13.19585,0.79,3.35,2.56,39.03,66.71,274.596
L1,L120,ACACME,5.5,,b,23.74625,0.79,3.35,2.56,39.03,66.71,459.06
L1,L120,ACACME,7.1,,b,39.57185,0.79,3.35,2.56,39.03,66.71,669.876
L1,L120,ACACME,10.9,,b,93.26585,0.79,3.35,2.56,39.03,66.71,1170.564
L1,L120,ACACME,7.9,,b,48.99185,0.79,3.35,2.56,39.03,66.71,775.284
L1,L120,ACACME,8.6,,b,58.0586,0.79,3.35,2.56,39.03,66.71,867.516
L1,L120,ACACME,8.6,,b,58.0586,0.79,3.35,2.56,39.03,66.71,867.516
L1,L120,ACACME,8.2,M,M,52.7834,1.18,2.59,1.41,7.69,7.24,814.812
L1,L120,ACACME,5.7,,b,25.50465,1.18,2.59,1.41,7.69,7.24,485.412
L1,L120,ACACME,5.6,,b,24.6176,1.18,2.59,1.41,7.69,7.24,472.236
L1,L120,ACACME,4.8,,b,18.0864,1.18,2.59,1.41,7.69,7.24,366.828
L1,L120,ACACME,4.6,,b,16.6106,1.18,2.59,1.41,7.69,7.24,340.476
L1,L120,ACACME,6,,b,28.26,1.18,2.59,1.41,7.69,7.24,524.94
L1,L121,ACACME,8.9,M,M,62.17985,0.8,4.24,3.44,46.88,107.44,907.044
L1,L121,ACACME,8.4,,b,55.3896,0.8,4.24,3.44,46.88,107.44,841.164
L1,L121,ACACME,7,,b,38.465,0.8,4.24,3.44,46.88,107.44,656.7
L1,L121,ACACME,7.5,,b,44.15625,0.8,4.24,3.44,46.88,107.44,722.58
L1,L121,ACACME,6.3,,b,31.15665,0.8,4.24,3.44,46.88,107.44,564.468
L1,L121,ACACME,8.4,,b,55.3896,0.8,4.24,3.44,46.88,107.44,841.164
L1,L121,ACACME,6.2,,b,30.1754,0.8,4.24,3.44,46.88,107.44,551.292
L1,L121,ACACME,7.1,,b,39.57185,0.8,4.24,3.44,46.88,107.44,669.876
L1,L121,ACACME,6.8,,b,36.2984,0.8,4.24,3.44,46.88,107.44,630.348
L1,L121,ACACME,6.9,,b,37.37385,0.8,4.24,3.44,46.88,107.44,643.524
L1,L121,ACACME,5,,b,19.625,0.8,4.24,3.44,46.88,107.44,393.18
L1,L121,ACACME,3.7,,b,10.74665,0.8,4.24,3.44,46.88,107.44,221.892
L1,L121,ACACME,6.4,M,M,32.1536,1.22,4.3,3.08,27.86,57.19,577.644
L1,L121,ACACME,6,,b,28.26,1.22,4.3,3.08,27.86,57.19,524.94
L1,L121,ACACME,7.2,,b,40.6944,1.22,4.3,3.08,27.86,57.19,683.052
L1,L121,ACACME,5.3,,b,22.05065,1.22,4.3,3.08,27.86,57.19,432.708
L1,L121,ACACME,5.7,,b,25.50465,1.22,4.3,3.08,27.86,57.19,485.412
L1,L121,ACACME,5.3,,b,22.05065,1.22,4.3,3.08,27.86,57.19,432.708
L1,L121,ACACME,5.5,,b,23.74625,1.22,4.3,3.08,27.86,57.19,459.06
L1,L121,ACACME,4.9,,b,18.84785,1.22,4.3,3.08,27.86,57.19,380.004
L1,L121,ACACME,3.5,,b,9.61625,1.22,4.3,3.08,27.86,57.19,195.54
L1,L121,ACACME,5.1,M,M,20.41785,0.36,2.99,2.63,17.48,30.63,406.356
L1,L121,ACACME,4.4,,b,15.1976,0.36,2.99,2.63,17.48,30.63,314.124
L1,L121,ACACME,4.7,,b,17.34065,0.36,2.99,2.63,17.48,30.63,353.652
L1,L121,ACACME,4.6,,b,16.6106,0.36,2.99,2.63,17.48,30.63,340.476
L1,L121,ACACME,12.7,M,M,126.61265,1.52,4.27,2.75,19.33,35.42,1407.732
L1,L121,ACACME,9.4,,b,69.3626,1.52,4.27,2.75,19.33,35.42,972.924
L1,L121,ACACME,7.5,,b,44.15625,1.52,4.27,2.75,19.33,35.42,722.58
L1,L121,ACACME,7.6,,b,45.3416,1.52,4.27,2.75,19.33,35.42,735.756
L1,L121,ACACME,9.1,,b,65.00585,1.52,4.27,2.75,19.33,35.42,933.396
L1,L121,ACACME,11.6,,b,105.6296,1.52,4.27,2.75,19.33,35.42,1262.796
L1,L121,ACACME,5.6,,b,24.6176,1.52,4.27,2.75,19.33,35.42,472.236
L1,L121,ACACME,9.7,,b,73.86065,1.52,4.27,2.75,19.33,35.42,1012.452
L1,L121,ACACME,7.5,,b,44.15625,1.52,4.27,2.75,19.33,35.42,722.58
L1,L121,ACACME,6.7,,b,35.23865,1.52,4.27,2.75,19.33,35.42,617.172
L1,L121,ACACME,7.1,,b,39.57185,1.52,4.27,2.75,19.33,35.42,669.876
L1,L123,ACACME,7.3,M,M,41.83265,0.93,3.38,2.45,15.01,24.51,696.228
L1,L123,ACACME,6.5,,b,33.16625,0.93,3.38,2.45,15.01,24.51,590.82
L1,L123,ACACME,7.4,,b,42.9866,0.93,3.38,2.45,15.01,24.51,709.404
L1,L123,ACACME,3.3,,b,8.54865,0.93,3.38,2.45,15.01,24.51,169.188
L1,L123,ACACME,3,,b,7.065,0.93,3.38,2.45,15.01,24.51,129.66
L1,L123,ACACME,3.2,M,M,8.0384,0.75,1.86,1.11,1.77,1.31,156.012
L1,L123,ACACME,3.9,M,M,11.93985,1.17,2.49,1.32,12.11,10.66,248.244
L1,L123,ACACME,3.5,,b,9.61625,0.36,2.5,2.14,12.11,17.28,195.54
L1,L123,ACACME,3.4,,b,9.0746,0.36,2.5,2.14,12.11,17.28,182.364
L1,L123,ACACME,6.2,M,M,30.1754,0.93,2.71,1.78,6.95,8.25,551.292
L1,L123,ACACME,7.3,M,M,41.83265,0.79,3.72,2.93,9.84,19.23,696.228
L1,L123,ACACME,5,,b,19.625,0.79,3.72,2.93,9.84,19.23,393.18
L1,L123,ACACME,5.5,,b,23.74625,0.79,3.72,2.93,9.84,19.23,459.06
L1,L123,ACACME,5.1,,b,20.41785,0.79,3.72,2.93,9.84,19.23,406.356
L1,L123,ACACME,4.3,,b,14.51465,0.79,3.72,2.93,9.84,19.23,300.948
L1,L123,ACACME,4.1,,b,13.19585,0.79,3.72,2.93,9.84,19.23,274.596
L1,L123,ACACME,5.7,M,M,25.50465,1.05,3.71,2.66,17.83,31.62,485.412
L1,L123,ACACME,5.3,,b,22.05065,1.05,3.71,2.66,17.83,31.62,432.708
L1,L123,ACACME,4.6,,b,16.6106,1.05,3.71,2.66,17.83,31.62,340.476
L1,L123,ACACME,5.6,M,M,24.6176,1.06,3.84,2.78,17.83,33.04,472.236
L1,L123,ACACME,4.7,,b,17.34065,1.06,3.84,2.78,17.83,33.04,353.652
L1,L123,ACACME,4.2,,b,13.8474,1.06,3.84,2.78,17.83,33.04,287.772
L1,L123,ACACME,5.7,,b,25.50465,1.06,3.84,2.78,17.83,33.04,485.412
L1,L123,ACACME,7.1,M,M,39.57185,0.66,3.41,2.75,15.72,28.82,669.876
L1,L123,ACACME,4.7,,b,17.34065,0.66,3.41,2.75,15.72,28.82,353.652
L1,L123,ACACME,4.5,,b,15.89625,0.66,3.41,2.75,15.72,28.82,327.3
L1,L123,ACACME,4.2,,b,13.8474,0.66,3.41,2.75,15.72,28.82,287.772
L1,L123,ACACME,5.5,M,M,23.74625,1.01,4.14,3.13,7.43,15.51,459.06
L1,L123,ACACME,4.7,,b,17.34065,1.01,4.14,3.13,7.43,15.51,353.652
L1,L123,ACACME,4.9,,b,18.84785,1.01,4.14,3.13,7.43,15.51,380.004
L1,L123,ACACME,4.1,,b,13.19585,1.01,4.14,3.13,7.43,15.51,274.596
L1,L124,ACACME,4.6,M,M,16.6106,1.52,4.14,2.62,8.85,15.46,340.476
L1,L124,ACACME,3.6,,b,10.1736,1.52,4.14,2.62,8.85,15.46,208.716
L1,L124,ACACME,3.8,M,M,11.3354,1.04,4.14,3.1,3.95,8.16,235.068
L1,L124,ACACME,5.4,,b,22.8906,1.04,4.14,3.1,3.95,8.16,445.884
L1,L124,ACACME,2.6,,b,5.3066,1.04,4.14,3.1,3.95,8.16,76.956
L1,L124,ACACME,6.1,M,M,29.20985,1.01,4.14,3.13,12.72,26.54,538.116
L1,L124,ACACME,4.1,,b,13.19585,1.01,4.14,3.13,12.72,26.54,274.596
L1,L124,ACACME,4.1,,b,13.19585,1.01,4.14,3.13,12.72,26.54,274.596
L1,L124,ACACME,6.2,,b,30.1754,1.01,4.14,3.13,12.72,26.54,551.292
L1,L124,ACACME,5.3,,b,22.05065,1.01,4.14,3.13,12.72,26.54,432.708
L1,L124,ACACME,3.7,,b,10.74665,1.01,4.14,3.13,12.72,26.54,221.892
L1,L124,ACACME,4.1,M,M,13.19585,2.37,4.14,1.77,6.81,8.04,274.596
L1,L124,ACACME,3.5,,b,9.61625,2.37,4.14,1.77,6.81,8.04,195.54
L1,L124,ACACME,5.9,,b,27.32585,2.37,4.14,1.77,6.81,8.04,511.764
L1,L124,ACACME,5,,b,19.625,2.37,4.14,1.77,6.81,8.04,393.18
L1,L124,ACACME,3.5,M,M,9.61625,1.83,4.14,2.31,16.03,24.69,195.54
L1,L124,ACACME,4.6,,b,16.6106,1.83,4.14,2.31,16.03,24.69,340.476
L1,L124,ACACME,2.9,,b,6.60185,1.83,4.14,2.31,16.03,24.69,116.484
L1,L124,ACACME,3.7,,b,10.74665,1.83,4.14,2.31,16.03,24.69,221.892
L1,L124,ACACME,3.3,,b,8.54865,1.83,4.14,2.31,16.03,24.69,169.188
L1,L124,ACACME,6.1,M,M,29.20985,1.79,4.14,2.35,4.21,6.59,538.116
L1,L124,ACACME,3.3,,b,8.54865,1.79,4.14,2.35,4.21,6.59,169.188
L1,L124,ACACME,4.7,,b,17.34065,1.79,4.14,2.35,4.21,6.59,353.652
