month,site,management,survey_point,vegetation_height,floral_species_richness,floral_percentage_cover,air_temperature,wind_speed,bumblebee_species_richness,bumblebee_abundance,butterfly_species_richness,butterfly_abundance,hoverfly_abundance,moth_abundance,hq_habitat_1km,hq_habitat_500m,wlf_density_1km,wlf_density_500m
august,A,cut,5,59,0,0,16.4,1.7,2,2,0,0,1,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,6,62,1,1,17.8,0.9,0,0,0,0,0,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,7,66,0,0,16.1,4.3,0,0,0,0,1,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,8,74,0,0,16.5,2.3,0,0,0,0,0,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,9,36,0,0,20.7,1.4,0,0,1,1,1,0,54.4,34.7,0.00913823,0.010767858
august,A,cut,10,38,0,0,19.9,1.6,0,0,0,0,0,0,54.4,34.7,0.00913823,0.010767858
august,B,cut,11,64,0,0,16.8,3.6,0,0,1,1,0,2,99.5,100,0.01049109,0.009029056
august,B,cut,12,21,0,0,15.8,2.1,0,0,0,0,0,1,99.5,100,0.01049109,0.009029056
august,B,cut,13,39,0,0,15.8,2.1,0,0,0,0,0,1,99.5,100,0.01049109,0.009029056
august,B,cut,14,36,1,2,17.8,3.2,0,0,0,0,1,0,99.5,100,0.01049109,0.009029056
august,B,cut,15,18,0,0,19.6,2.6,0,0,1,1,0,1,99.5,100,0.01049109,0.009029056
august,B,cut,16,32,1,1,19.4,1.8,0,0,1,1,1,1,99.5,100,0.01049109,0.009029056
august,B,cut,17,2,0,0,17.4,4.2,0,0,1,1,0,0,99.5,100,0.01049109,0.009029056
august,B,cut,18,37,0,0,17.7,1.3,0,0,0,0,0,1,99.5,100,0.01049109,0.009029056
august,B,cut,19,52,0,0,18.1,4.4,0,0,1,1,0,2,99.5,100,0.01049109,0.009029056
august,B,cut,20,28,0,0,19.1,4.6,0,0,0,0,0,0,99.5,100,0.01049109,0.009029056
august,C,cut,21,10,0,0,17.9,3.1,1,1,1,1,0,0,49,22,0.00713116,0.009509214
august,C,cut,22,11,1,50,18.9,0,0,0,0,0,0,0,49,22,0.00713116,0.009509214
august,C,cut,23,9,1,10,19.5,2.2,0,0,1,2,0,1,49,22,0.00713116,0.009509214
august,C,cut,24,74,3,5,20.9,1.7,3,5,1,1,2,1,49,22,0.00713116,0.009509214
august,C,cut,25,40,3,16,20.7,0.7,1,1,0,0,4,0,49,22,0.00713116,0.009509214
august,C,cut,26,65,2,35,20.4,2.6,1,2,2,2,0,0,49,22,0.00713116,0.009509214
august,C,cut,27,93,2,40,20.4,3.8,2,5,0,0,2,0,49,22,0.00713116,0.009509214
august,C,cut,28,110,1,1,21.3,1.9,1,1,2,2,4,0,49,22,0.00713116,0.009509214
august,C,cut,29,84,3,16,21.1,3.6,1,1,1,1,5,0,49,22,0.00713116,0.009509214
august,C,cut,30,70,2,3,21.2,1.9,0,0,2,2,1,3,49,22,0.00713116,0.009509214
august,D,cut,31,22,0,0,16.9,2.2,0,0,0,0,3,1,38.4,42.7,0.00736901,0.009526737
august,D,cut,32,27,1,1,17.4,0.9,0,0,0,0,2,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,33,43,0,0,18.3,0,0,0,0,0,0,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,34,34,1,10,17.4,0,0,0,0,0,4,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,35,25,1,20,18.5,2.4,0,0,0,0,0,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,36,21,0,0,18.8,1.1,0,0,0,0,1,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,37,24,0,0,17.5,2.3,1,2,0,0,2,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,38,30,0,0,19,1.6,0,0,0,0,0,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,39,15,0,0,19.1,0,0,0,0,0,0,0,38.4,42.7,0.00736901,0.009526737
august,D,cut,40,17,1,1,17.7,0,0,0,0,0,1,0,38.4,42.7,0.00736901,0.009526737
august,E,cut,41,38,1,10,15.7,2.2,0,0,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,42,70,0,0,16,2.6,0,0,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,43,36,1,60,16.3,3.9,1,1,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,44,46,0,0,16.3,2.3,0,0,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,45,62,3,40,15.6,3.5,1,1,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,46,54,0,0,16.5,1.8,1,1,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,47,22,1,40,16.8,2.6,1,2,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,48,48,0,0,17.4,0.8,0,0,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,49,29,3,35,18.3,0,1,4,1,1,2,0,36.1,28.8,0.01246919,0.012015911
august,E,cut,50,15,1,90,17.5,0.7,0,0,0,0,0,0,36.1,28.8,0.01246919,0.012015911
august,F,cut,51,65,1,1,25.3,4,0,0,1,2,1,1,49.8,42.3,0.00853738,0.008240911
august,F,cut,52,11,1,1,24.1,3.3,0,0,1,1,1,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,53,16,0,0,23.7,3.1,0,0,1,1,0,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,54,61,2,16,23.5,4.5,0,0,1,1,0,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,55,33,1,10,24.3,3.8,1,1,0,0,0,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,56,72,2,7,24.8,2.1,0,0,2,2,0,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,57,21,2,12,28.1,1.4,0,0,3,4,1,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,58,88,2,5,26.9,2.8,0,0,3,4,0,0,49.8,42.3,0.00853738,0.008240911
august,F,cut,59,46,2,3,24.2,1.4,0,0,2,4,1,1,49.8,42.3,0.00853738,0.008240911
august,F,cut,60,54,2,11,24.8,1.4,0,0,1,3,0,0,49.8,42.3,0.00853738,0.008240911
august,G,grazing,61,0,1,1,21.9,3.3,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,62,0,0,0,21.7,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,63,1,0,0,24.2,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,64,4,0,0,23.5,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,65,1,0,0,24.2,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,66,2,0,0,24.3,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,67,5,0,0,23.2,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,68,2,0,0,23.8,0,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,69,5,1,1,22.3,1.3,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,G,grazing,70,3,1,1,22.7,1.1,0,0,0,0,0,0,90.9,99.4,0.01264476,0.012737767
august,H,cut,71,64,0,0,16.4,2.8,0,0,0,0,2,0,18.3,31,0.00902662,0.009075512
august,H,cut,72,57,1,5,17.9,4.1,0,0,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,73,59,0,0,17.6,0.8,0,0,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,74,56,0,0,17.7,1.9,0,0,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,75,19,1,10,17.8,1.4,1,2,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,76,22,1,1,18.2,0,0,0,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,77,62,0,0,17.8,2.8,1,1,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,78,63,1,1,18.7,1.5,0,0,0,0,0,0,18.3,31,0.00902662,0.009075512
august,H,cut,79,60,0,0,19.1,0.9,0,0,0,0,2,0,18.3,31,0.00902662,0.009075512
august,H,cut,80,54,1,2,19.8,0.8,0,0,0,0,1,0,18.3,31,0.00902662,0.009075512
august,I,grazing,81,5,1,1,16.5,1.3,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,82,5,0,0,17.8,1.9,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,83,1,3,12,16,2,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,84,1,1,25,16.6,1.9,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,85,1,1,30,16.9,2.5,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,86,2,2,2,19.6,0.7,0,0,1,1,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,87,2,1,1,18.5,1.3,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,88,1,2,7,21.9,1.7,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,89,3,3,26,19.1,0,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,I,grazing,90,2,1,1,22.2,0,0,0,0,0,0,0,57.7,51.5,0.01299173,0.010969038
august,J,cut,141,5,0,0,19,1.7,0,0,0,0,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,142,3,0,0,17.3,5.6,0,0,0,0,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,143,9,0,0,18.3,1.1,0,0,0,0,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,144,3,0,0,17.6,1.9,0,0,0,0,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,145,14,0,0,21,0,0,0,1,1,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,146,2,0,0,21,0,0,0,1,2,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,147,7,0,0,20.5,2.3,0,0,0,0,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,148,6,0,0,21.6,1.9,0,0,1,1,0,0,98.6,95.7,0.01080354,0.011016961
august,J,cut,149,4,0,0,21.9,0,0,0,0,0,0,1,98.6,95.7,0.01080354,0.011016961
august,J,cut,150,6,0,0,22.4,1.1,0,0,0,0,0,0,98.6,95.7,0.01080354,0.011016961
august,L,cut,101,20,1,1,21.4,7.9,0,0,0,0,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,102,32,1,25,21.7,5.3,0,0,0,0,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,103,26,0,0,23.3,7.4,0,0,0,0,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,104,14,0,0,21.7,9.7,0,0,0,0,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,105,15,0,0,22.1,7.9,0,0,1,1,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,106,8,1,15,24.6,1.8,0,0,0,0,1,1,79.7,72.8,0.00951243,0.008258403
august,L,cut,107,13,1,10,24.7,1.6,0,0,1,1,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,108,19,0,0,24.6,1.4,0,0,0,0,0,0,79.7,72.8,0.00951243,0.008258403
august,L,cut,109,26,0,0,24.7,1.5,0,0,0,0,0,1,79.7,72.8,0.00951243,0.008258403
august,L,cut,110,27,1,5,24.3,3.2,0,0,0,0,0,0,79.7,72.8,0.00951243,0.008258403
august,M,cut,111,12,0,0,19.8,0,0,0,1,2,0,2,86.9,84.4,0.00925967,0.009409142
august,M,cut,112,16,1,30,20.1,0,0,0,0,0,0,0,86.9,84.4,0.00925967,0.009409142
august,M,cut,113,17,1,5,19.7,0,0,0,2,2,0,0,86.9,84.4,0.00925967,0.009409142
august,M,cut,114,5,1,5,18.3,2.6,0,0,0,0,0,0,86.9,84.4,0.00925967,0.009409142
august,M,cut,115,4,0,0,20.7,0,0,0,0,0,0,0,86.9,84.4,0.00925967,0.009409142
