"article_id","column","comment","category"
"10_1111_1365_2435_14194","data_availability_comment","Paper text: ""The raw reads were deposited into the NCBI Sequence Read Archive (SRA) database with Accession Number: PRJNA780219 (Zhang et al., 2022)."" repo_check found zero files for this paper -- it never located/checked this NCBI SRA deposit.","NCBI_GENBANK"
"10_1111_1365_2435_14670","data_availability_comment","Paper states ""Data to support the findings for this study and the metabolomics data produced are available from the Swedish National Data repository https://doi.org/10.5878/kr3s-6v85""; repo_check's summary_table shows repo_n=0 -- this repository was never detected at all.","UNSUPPORTED_REPO"
"10_1111_1365_2664_14167","data_availability_comment","Paper's own availability statement: ""Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.4tmpg4fc0."" Cites a real Dryad repository (https://doi.org/10.5061/dryad.4tmpg4fc0). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EMBARGOED_OR_RESTRICTED_AT_SOURCE"
"10_1111_1365_2664_13904","data_availability_comment","Paper text: ""Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.83bk3j9rf (Li et al., 2021)"", also repeated in the reference list. repo_metadata DOES have a row for this exact DOI (doi:10.5061/dryad.83bk3j9rf), confirming repo_check identified the repository, but repo_check$table (the per-file listing) has zero rows for this paper -- the repository was recognized but its file listing was never successfully retrieved, producing mc_data_availability=FALSE.","EMBARGOED_OR_RESTRICTED_AT_SOURCE"
"10_1111_1365_2435_14678","data_availability_comment","Paper text: ""All data packages and R scripts used in this study are available through the Environmental Data Initiative: https://doi.org/10.6073/pasta/3aa17817f28596b2823d492474a8a409 (Hallmark, 2024)."" EDI is not a platform repo_check recognizes; repo_check has zero rows for this paper.","EDI_ENVIRONMENTAL_DATA_INITIATIVE"
"10_1111_1365_2656_14169","data_availability_comment","Paper text: ""Data available from figshare https://figshare.com/s/10750d4412dcd6cde0d7 (Schausberger & Nguyen, 2024)."" repo_check found zero files for this paper -- it never located/checked this Figshare share-link.","FIGSHARE_SHARE_LINK"
"10_1111_1365_2745_13875","data_availability_comment","Reference list cites a real Dryad DOI: ""Campbell, D. R. ... (2022). Data from: Comparative impacts of long-term trends in snowmelt ... Dryad Digital Repository. https://doi.org/10.7280/D1D99J."" repo_check found zero files for this paper -- it never located/checked this Dryad DOI.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2435_14111","data_availability_comment","Paper's own availability statement: ""The datasets generated during and/or analysed during the current study are available in the Dryad Data Repository (https://doi.org/10.5061/dryad.2jm63xss3)."" Cites a real Dryad repository (https://doi.org/10.5061/dryad.2jm63xss3). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EMBARGOED_OR_RESTRICTED_AT_SOURCE"
"10_1111_1365_2656_13268","data_availability_comment","Paper's own availability statement: ""Data available from CSIC repository: http://dx.doi.org/10.20350/digitalCSIC/12516 (Villalta, Sanchez Oms, et al., 2020)."" Cites a real Other repo/database (CSIC) repository (http://dx.doi.org/10.20350/digitalCSIC/12516). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","UNSUPPORTED_REPO"
"10_1111_1365_2664_13397","data_availability_comment","Paper states ""Data are available at the Figshare repository https://doi.org/10.25909/5b581a5a151da""; repo_check's summary_table shows repo_n=0 -- this Figshare deposit was never detected.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2664_14254","data_availability_comment","Paper text: ""Data are available via the USGS ScienceBase catalogue https://doi.org/10.5066/P95GDPZM (Grider et al., 2022)"". ScienceBase is not among metacheck's supported repo_check providers (only zenodo/github/figshare/osf/dryad/dataverse/researchdata4tu/gitlab are recognized, confirmed against the full gated_repos log), so repo_check never attempted this URL at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","UNSUPPORTED_REPO"
"10_1111_1365_2435_14684","data_availability_comment","Paper text: ""Data available from the Lancaster University repository Pure: https://doi.org/10.17635/lancaster/researchdata/638 (Stevens, 2023)"". Lancaster's Pure institutional repository is not among metacheck's supported repo_check providers (only zenodo/github/figshare/osf/dryad/dataverse/researchdata4tu/gitlab), so repo_check never attempted this URL at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","UNSUPPORTED_REPO"
"10_1111_1365_2664_13035","data_availability_comment","Paper text: ""Data in this study are available from DataSTORRE: Stirling Online Repository for Research Data http://hdl.handle.net/11667/102 (Fuller et al., 2017)."" DataSTORRE (an institutional DSpace repository) is not a platform repo_check recognizes; repo_check has zero rows for this paper.","UNSUPPORTED_REPO"
"10_1111_2041_210x_13073","data_availability_comment","Paper's own availability statement: ""Data and MATLAB script available from the Dryad Digital [Repository]"" (Endler, Cole, & Kranz, 2018), Dryad doi:10.5061/dryad.g66247g. Cites a real Dryad repository. repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2656_13110","data_availability_comment","Paper text: ""Data are archived with the Environmental Information Data Centre (EIDC)/NERC, https://doi.org/10.5285/01034680-e640-44a2-aab6-2044b4672a95 (Law et al., 2018) and https://doi.org/10.5285/c0f65bf5-... (Law et al., 2019)."" NERC EIDC is not a platform repo_check recognizes; repo_check has zero rows for this paper.","EIDC_NERC"
"10_1002_2688_8319_12191","data_availability_comment","Paper's own availability statement: ""The data that support the findings of this study are openly available at: https://doi.org/10.5285/78ca9a01-107b-4f33-8561-9c3e64db7e02 (Norton et al., 2021)."" Cites a real Other repo/database (EIDC) repository (https://doi.org/10.5285/78ca9a01-107b-4f33-8561-9c3e64db7e02). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EIDC_NERC"
"10_1111_1365_2664_14665","data_availability_comment","Paper's own availability statement: ""Data available via ScienceBase ... https://doi.org/10.5066/P9DQID6G."" Cites a real Other repo/database (ScienceBase) repository (https://doi.org/10.5066/P9DQID6G). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","USGS_SCIENCEBASE"
"10_1111_1365_2745_13620","data_availability_comment","Paper states ""The datasets used to analyse the current study are available from the BEF-China website FoliarFungi2014 https://data.botanik.uni-halle.de/bef-china/datasets/635 and from the iDiv Biodiversity Data [repository]""; repo_check's summary_table shows repo_n=0 -- these non-standard institutional-repository URLs were never detected.","UNSUPPORTED_REPO"
"10_1111_1365_2656_12730","data_availability_comment","Paper's own availability statement: ""Data on herbivory in mangrove trees reported here are available at http://www.bco-dmo.org/dataset/639335 (Griffen, 2016a)"", plus a second BCO-DMO dataset (639360). Cites a real Other repo/database (BCO-DMO) repository (http://www.bco-dmo.org/dataset/639335). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","UNSUPPORTED_REPO"
"10_1111_1365_2745_14324","data_availability_comment","Paper text cites data ""publicly available on the EIDC"" (Environmental Information Data Centre/NERC) in three separate places (vegetation, pollinator, and bird survey datasets). NERC EIDC is not a platform repo_check recognizes; repo_check has zero rows for this paper.","EIDC_NERC"
"10_1111_1365_2745_14456","data_availability_comment","Paper's own availability statement: ""Shrub leaf physiology and structural trait data are available through the Konza Prairie Biological Station LTER and the Environmental Data Initiative (EDI) data portal: https://doi.org/10.6073/pasta/fe327cebe79aab9ecf3dd10b45cbd485 (Wedel & Nippert, 2024)."" Cites a real Other repo/database (EDI) repository (https://doi.org/10.6073/pasta/fe327cebe79aab9ecf3dd10b45cbd485). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EDI_ENVIRONMENTAL_DATA_INITIATIVE"
"10_1111_1365_2664_14704","data_availability_comment","Paper text: ""Data on the habitat suitability model results..., and data of seagrass long-term dynamics, river discharges, total nitrogen loads and eutrophication indicators...are available via DANS Data Station Life Sciences https://doi.org/10.17026/LS/TZYAGQ (van Katwijk et al., 2024)"". DANS (Dutch national data archive) is not among metacheck's supported repo_check providers, so repo_check never attempted this URL at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","UNSUPPORTED_REPO"
"10_1111_1365_2664_13533","data_availability_comment","Paper text: ""Soil microbiome dataset is available via the NCBI Sequence Read Archive (accession number ... SRP151262)."" repo_check found zero files for this paper -- it never located/checked this NCBI SRA deposit.","NCBI_GENBANK"
"10_1111_1365_2435_13471","data_availability_comment","Paper's own availability statement: ""Data are available at: https://purl.stanford.edu/fh584sg8391 subject to Office of Naval Research data sharing guidelines."" Cites a real Other repo/database (Stanford) repository (https://purl.stanford.edu/fh584sg8391). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","UNSUPPORTED_REPO"
"10_1111_1365_2435_14729","data_availability_comment","Paper text (twice): ""Raw reads from this targeted locus study have been deposited in the National Center for Biotechnology Information Sequence Read Archive (BioProject PRJNA1183728)"". NCBI's Sequence Read Archive is not among metacheck's supported repo_check providers (only zenodo/github/figshare/osf/dryad/dataverse/researchdata4tu/gitlab), so repo_check never attempted this accession at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","NCBI_GENBANK"
"10_1111_1365_2664_14575","data_availability_comment","Paper text: ""Data made publicly available in Figshare https://doi.org/10.6084/m9.figshare.c.6668111 (Chan & Coomes, 2023)."" This is a Figshare COLLECTION DOI (the ""c."" infix), a different URL/DOI structure from an individual Figshare article -- likely why repo_check's Figshare matcher never resolved it; repo_check has zero rows for this paper.","SPLIT_DOI_EXTRACTION"
"10_1002_pan3_10196","data_availability_comment","Paper text: ""The data are archived at MWLR (https://doi.org/10.7931/gj1a-f647)."" MWLR (Manaaki Whenua Landcare Research) is not a platform repo_check recognizes; repo_check has zero rows for this paper. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","REFERENCES_ONLY"
"10_1002_pan3_10076","data_availability_comment","Paper text: ""...all data used in this study...will be archived as part of the NERC EIDC. However, these data and associated transcripts contain sensitive information...and are therefore available on request only."" This is a genuine (restricted-access) data availability statement naming a specific archive (NERC Environmental Information Data Centre), which is not among metacheck's supported repo_check providers, so repo_check never attempted this repository at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","UNSUPPORTED_REPO"
"10_1111_1365_2664_13771","data_availability_comment","Paper text: ""Data are available in the Manaaki Whenua - Landcare Research DataStore website https://doi.org/10.7931/txgn-m318 (Orwin et al., 2020)."" repo_check found zero files for this paper -- it never located/checked this DataStore DOI.","UNSUPPORTED_REPO"
"10_1111_1365_2656_13069","data_availability_comment","Paper's own availability statement: ""Data presented in this manuscript are available at: https://doi.org/10.5285/52b6b432-8f69-4b08-8a47-04e40f656f55 and https://doi.org/10.5285/54b722a7-7cda-4817-86a5-b96ad0bb4ae7 (Mugabo et al., 2019a, 2019b)."" Cites a real Other repo/database (EIDC) repository (https://doi.org/10.5285/52b6b432-8f69-4b08-8a47-04e40f656f55). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EIDC_NERC"
"10_1111_2041_210x_13785","data_availability_comment","Paper text: ""Code and data for all analyses (Xirocostas et al., 2021) and the ZAX Herbivory Trainer (Debono, 2021) are archived on Zenodo"", with explicit DOIs 10.5281/zenodo.5746655 and 10.5281/zenodo.5746183. repo_check found zero files for this paper -- it never located/checked either Zenodo repository.","SPLIT_DOI_EXTRACTION"
"10_1002_pan3_10249","data_availability_comment","Paper text: ""We have archived anonymised data used in the models in the Oxford University Research Archive at [URL] (Hinsley, 2021)."" (The URL text is garbled by PDF extraction, concatenated with an unrelated citation URL.) An institutional repository not recognized by repo_check, compounded by extraction noise; repo_check has zero rows for this paper. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","REFERENCES_ONLY"
"10_1111_2041_210x_13821","data_availability_comment","Paper text: ""Data and code are archived in the Data Repository of the University of Minnesota (Hodel & Fieberg, 2022)... https://doi.org/10.13020/1f35-rn20."" Both data and code are explicitly archived together at this institutional repository, which is not a platform repo_check recognizes; repo_check has zero rows for this paper. (The cylcop R package is also mentioned as available on CRAN, but the paper's own explicit ""archived"" data+code snapshot is the University of Minnesota repository.)","CRAN_CODE_PACKAGE"
"10_1111_1365_2435_13091","data_availability_comment","Paper text (twice): ""Raw sequence data have been submitted to NCBI Sequence Read Archives, accessible through Bioproject PRJNA286014"". NCBI's Sequence Read Archive is not among metacheck's supported repo_check providers (only zenodo/github/figshare/osf/dryad/dataverse/researchdata4tu/gitlab), so repo_check never attempted this accession at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","NCBI_GENBANK"
"10_1111_2041_210x_13766","data_availability_comment","Paper states its source code ""is freely downloadable from https://github.com/OneZoom/"" and that OneZoom's tree-of-life dataset ""is available in a Docker container hosted on Zenodo"". repo_check's gated_repos log shows repo_url=""github.com/OneZoom"" failed with repo_error=""invalid or inaccessible GitHub repository"" -- the paper's own citation (""github.com/OneZoom/."") is an organization-level URL with no specific repo name, which metacheck could not resolve; the separate Zenodo Docker deposit was never detected at all.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2435_13548","data_availability_comment","Paper text: ""Data are available from the Edmond Repository under https://doi.org/10.17617/3.1e (Sporer, Körnig, & Beran, 2020)."" Edmond (Max Planck Society's data repository) is not a platform repo_check recognizes; repo_check has zero rows for this paper.","UNSUPPORTED_REPO"
"10_1111_1365_2435_13179","data_availability_comment","Paper text: ""University of Western Australia Research Repository, https://doi.org/10.4225/23/5b16364fb037e."" An institutional repository not recognized by repo_check; repo_check has zero rows for this paper.","UNSUPPORTED_REPO"
"10_1111_1365_2745_13149","data_availability_comment","Paper text: ""Forest inventory data ... are available from https://www.donneesquebec.ca/recherche/fr/dataset/placettes-echantillons-permanentes-1970-a-aujourd-hui."" repo_check found zero files for this paper -- it never located/checked this Quebec open-data portal URL.","UNSUPPORTED_REPO"
"10_1111_1365_2656_13067","data_availability_comment","A full-text search (including the reference list) finds no inline Data Availability Statement, but the reference list cites four of the authors' own datasets archived at BCO-DMO (Biological and Chemical Oceanography Data Management Office) with real DOIs, e.g. https://doi.org/10.1575/1912/bco-dmo.748860.2 (Yeager, 2018a/b, 2019a/b). BCO-DMO is a specialized oceanographic data repository not recognized by repo_check; repo_check has zero rows for this paper.","UNSUPPORTED_REPO"
"10_1111_1365_2745_13994","data_availability_comment","Paper's own availability statement: ""ITS copy numbers and species hypothesis relative abundance data are available at: https://doi.org/10.5285/d6c787ec-146c-461b-b8a2-e0251259036c"", plus two further EIDC DOIs for flux/root and soil fauna data. Cites a real Other repo/database (EIDC) repository (https://doi.org/10.5285/d6c787ec-146c-461b-b8a2-e0251259036c (+2 more)). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EIDC_NERC"
"10_1111_1365_2745_12985","data_availability_comment","Paper text: ""Data available from the Environmental Data Initiative: https://doi.org/10.6073/pasta/fb8661cc0af964a4c5caace85b72b036 (Quintana-Ascencio & Menges, 2018)."" EDI is not a platform repo_check recognizes; repo_check has zero rows for this paper.","EDI_ENVIRONMENTAL_DATA_INITIATIVE"
"10_1111_1365_2435_13796","data_availability_comment","Reference list cites a resolvable Dryad DOI: ""Welti, E. A. R., & Kaspari, M. (2021). Data from: Sodium addition increases leaf herbivory ... Dryad Digital Repository, https://doi.org/10.5061/dryad.37pvm."" repo_check found zero files for this paper -- it never located/checked this Dryad DOI. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","SPLIT_DOI_EXTRACTION"
"10_1111_2041_210x_14159","data_availability_comment","Paper text: ""All movement data used for this manuscript are archived in the online repository Movebank (https://www.movebank.org/)."" Movebank is a specialized animal-tracking data repository not recognized by repo_check; repo_check has zero rows for this paper.","UNSUPPORTED_REPO"
"10_1111_1365_2745_14006","data_availability_comment","Paper text: ""Data deposited in the EDI repository https://doi.org/10.6073/pasta/7f47439df0e09f1dcc6f0da77d5cc558 (Louw et al., 2022)"", plus a separate SRA sequence deposit. repo_check found zero files for this paper -- it never located/checked either repository.","EDI_ENVIRONMENTAL_DATA_INITIATIVE"
"10_1111_1365_2435_12998","data_availability_comment","Paper text: ""Representative sequences of all OTUs in this study have been submitted to Genbank (KY542280-KY547746)"". GenBank is not among metacheck's supported repo_check providers (only zenodo/github/figshare/osf/dryad/dataverse/researchdata4tu/gitlab), so repo_check never attempted this accession at all, leaving repo_check$table empty and producing mc_data_availability=FALSE.","NCBI_GENBANK"
"10_1111_1365_2435_13332","data_availability_comment","Paper text: ""Source data for this study are available from the EDMOND Digital Repository under following link: https://dx.doi.org/10.17617/3.24. (Kessler, Bing, Haverkamp, Baldwin, 2019)."" repo_check found zero files for this paper -- it never located/checked this EDMOND DOI.","UNSUPPORTED_REPO"
"10_1111_1365_2745_13999","data_availability_comment","Paper's own availability statement: ""Processed data, statistical models, regional maps and R code used in [this study]"" are archived at the Dryad Digital Repository, https://doi.org/10.5061/dryad.7sqv9s4sh (Rodman et al., 2022). Cites a real Dryad repository (https://doi.org/10.5061/dryad.7sqv9s4sh). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.","SPLIT_DOI_EXTRACTION"
"10_1111_1365_2664_12927","data_availability_comment","Paper text: ""The data used in this manuscript are archived in the Open Research Exeter archive: http://hdl.handle.net/10871/27138."" repo_check found zero files for this paper -- it never located/checked this institutional repository.","SUPPLEMENTARY_MATERIALS"
"10_1111_1365_2435_12975","data_availability_comment","Paper text: ""Raw data are deposited at figshare.com https://figshare.com/s/5e01cc0cae4cf3e2e14f."" This is a Figshare private/anonymous ""share link"" (figshare.com/s/...), a different URL format from the standard figshare.com/articles/... or DOI pattern repo_check's Figshare matcher expects -- likely why repo_check never detected it.","FIGSHARE_SHARE_LINK"
"10_1111_1365_2664_13010","data_availability_comment","Broader search of the full paper text found the actual DAS, missed by standard keyword filtering: ""All data are available under the CCA 3.0 Unported License at the PANGAEA Data Archiving & Publication at the following https://doi.pangaea.de/10.1594/PANGAEA.879537"" -- explicit claim; repo_check's summary_table confirms repo_n=0 (PANGAEA never detected).","PANGAEA"
"10_1002_2688_8319_12288","data_availability_comment","Paper text: ""The bear survey data... are available at the IRMA DataStore: https://doi.org/10.57830/2301104 (Schmidt et al., 2023)."" IRMA DataStore (US National Park Service) is not a platform repo_check recognizes; repo_check has zero rows for this paper.","UNSUPPORTED_REPO"
"10_1111_2041_210x_13681","data_availability_comment","Paper text: ""The location data of the polar bear case study are available on UAL Dataverse"" (https://doi.org/10.7939/DVN/QYMAYV) and ""Code to reproduce the simulations and the case study is available on Zenodo"" (https://doi.org/10.5281/zenodo.5070812). repo_check found zero files for this paper -- it never located/checked either repository.","SPLIT_DOI_EXTRACTION"
"10_1111_2041_210x_12976","data_availability_comment","Paper states ""All data and R script files are archived and freely available at: https://doi.org/10.7931/v1g081""; repo_check's summary_table shows repo_n=0 -- this repository (a non-standard institutional/university handle) was never detected.","UNSUPPORTED_REPO"
"10_1111_1365_2745_13306","data_availability_comment","Paper's own availability statement: ""Data are archived in the Environmental Data Initiative repository: https://doi.org/10.6073/pasta/c2ba534cb03a7d1ef203a3af63bfe6bc (Johnson, Gulick, Constant, et al., 2019)."" Cites a real Other repo/database (EDI) repository (https://doi.org/10.6073/pasta/c2ba534cb03a7d1ef203a3af63bfe6bc). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.","EDI_ENVIRONMENTAL_DATA_INITIATIVE"
