"row_id","article_id","data_availability","data_archive","data_doi","data_license","data_download","data_format","data_README","code_used","code_archived","code_download","code_language","code_README","mc_data_availability","mc_data_archive","mc_data_doi","mc_data_license","mc_data_download","mc_data_format","mc_data_README","mc_code_used","mc_code_archived","mc_code_download","mc_code_language","mc_code_README","cooper_any_readme","mc_any_readme","disagreements","data_availability_verdict","data_availability_comment","data_archive_verdict","data_archive_comment","data_license_verdict","data_license_comment","data_download_verdict","data_download_comment","code_archived_verdict","code_archived_comment","code_download_verdict","code_download_comment","any_readme_verdict","any_readme_comment","reviewed"
"10_1111_1365_2435_14168","10_1111_1365_2435_14168","Yes","Dryad;GitHub, GitLab, Codeberg or similar platform;Zenodo;Other repo/database","Yes",NA,"Yes",".csv/.tsv","Yes","Yes","Yes","Yes","Perl","Yes",TRUE,"Dryad","doi:10.5061/dryad.xksn02vcm",TRUE,TRUE,".csv",TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,"code_archived[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","availability statement explicitly states ""The bioinformatic pipeline used to process COI metabarcodes is available from GitHub at https://github.com/Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline"" and ""The COI Classifier used to make taxonomic assignments is also available from GitHub at https://github.com/terrimporter/CO1Classifier"", so code is clearly present in GitHub repositories per the paper; metacheck reporting No looks like a detection miss, possibly because these are third-party/general-purpose pipeline tools cited rather than a single study-specific code repo, which metacheck may not have picked up as this paper's archived code",NA,NA,NA,NA,TRUE
"10_1111_1365_2656_14000","10_1111_1365_2656_14000","Yes","Other repo/database","Yes","Yes","Yes",".csv/.tsv;.xls(x)","No","Yes","Yes","Yes","R","No",FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"data_availability[cooper=Yes,mc=No];code_archived[cooper=Yes,mc=No]","COOPER_RIGHT","TEXT-EXTRACTION TRUNCATED (DOI cut off mid-string, unrecoverable) | Reference list cites: ""Anderson, R. O., & Chapple, D. (2022). Data from: Widespread or range-restricted? ... Monash University. Dataset, https://doi.org/10.26180/19095317.v1."" Paper body also states 'Raw physiological data of Lampropholis skinks and R scripts used for [analyses] ...' (sentence truncated by extraction, continuing into the availability statement). repo_check found zero files for this paper -- it never located/checked this Monash University dataset repository.",NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","Same Monash University dataset repository (10.26180/19095317.v1); paper text explicitly pairs 'Raw physiological data ... and R scripts used for [analyses]' in the same availability statement, indicating code is bundled with the data in this same repository that repo_check never located.",NA,NA,NA,NA,TRUE
"10_1111_2041_210x_12993","10_1111_2041_210x_12993","Yes","Zenodo","Yes","No","Yes",".xls(x)","No","Yes","No",NA,NA,NA,TRUE,"Zenodo","10.5281/zenodo.1174331",TRUE,TRUE,".xlsx",FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"data_license[cooper=No,mc=Yes]",NA,NA,NA,NA,"METACHECK_RIGHT","Zenodo record 1174331's own metadata (repo_check's repo_metadata) reports license=cc-by-4.0, matching the paper's own text explicitly naming this Zenodo DOI as the data archive.",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10_1111_1365_2435_14552","10_1111_1365_2435_14552","Yes","Dryad","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,TRUE,"Dryad","doi:10.5061/dryad.0k6djhb51",TRUE,TRUE,".xlsx",TRUE,NA,TRUE,TRUE,"R",TRUE,TRUE,TRUE,"code_archived[cooper=No,mc=Yes]",NA,NA,NA,NA,NA,NA,NA,NA,"METACHECK_RIGHT","repo_check found 6 real R source files (RcppExports.R, mice.impute.phnorm.r, mice.impute.phpmm.r, mice.impute.phpp.R, mice.impute.phppm.R, phylomice.R) at github.com/pdrhlik/phylomice, now correctly surviving after the R-package-source-tree-exclusion fix (this repo is a root-level DESCRIPTION+NAMESPACE package with no other content, so it IS the deposit). This is the paper's own methods contribution (an R package implementing new multiple-imputation methods for phylogenetic data, matching the mice.impute.* function names to the paper's subject). The paper's availability statement only names the Dryad data deposit and never mentions code, which likely explains Cooper's No -- but the code genuinely is archived and publicly available on GitHub, independent of whether the paper's own prose says so. METACHECK_RIGHT.",NA,NA,NA,NA,TRUE
"10_1111_1365_2656_13367","10_1111_1365_2656_13367","Yes","Dryad","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,TRUE,"Dryad","doi:10.5061/dryad.stqjq2c1w",TRUE,TRUE,".xlsx",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README likely reflects Dryad's dataset abstract (the ONLY free-text field Dryad's API exposes) -- confirmed on 9 real Dryad datasets from this same miss set that this field is consistently the paper's own scientific abstract (numbered background/methods/results prose), never file-level documentation. metacheck's doc_role classification only recognises an actual downloadable README file, which this dataset's file listing does not contain. Not a detection bug: the two approaches are answering different questions (a paper abstract vs. a machine-readable README file) that happen to share Cooper's column label.",TRUE
"10_1002_pan3_10564","10_1002_pan3_10564","Yes","Other repo/database","Yes","Yes","Yes",".csv/.tsv","Yes","Yes","No",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"data_availability[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]","COOPER_RIGHT","UNSUPPORTED REPO | Paper's own availability statement: ""All data considered for the analysis of this study are stored and available at: https://doi.org/10.25829/idiv.3538-su6fj5."" Cites a real Other repo/database (iDiv) repository (https://doi.org/10.25829/idiv.3538-su6fj5). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id), so it had no basis to detect a README even if one exists in the actual (un-located) repository.",TRUE
"10_1111_1365_2656_13052","10_1111_1365_2656_13052","Yes","Dryad","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"data_availability[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]","COOPER_RIGHT","SPLIT-DOI EXTRACTION ARTIFACT | Paper's own availability statement: ""The data used in this manuscript are available from the Dryad Digital Repository"" (Gibb, Grossman, Dickman, Decker & Wardle, 2019). Cites a real Dryad repository (doi.org/10.5061/dryad...). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id), so it had no basis to detect a README even if one exists in the actual (un-located) repository.",TRUE
"10_1111_1365_2745_13654","10_1111_1365_2745_13654","Yes","Other repo/database","Yes","No","Yes",".csv/.tsv;.txt","Yes","Yes","No",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"data_availability[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]","COOPER_RIGHT","UNSUPPORTED REPO | Paper text states ""Data have been archived with the Bonanza Creek LTER (Sullivan, 2021a/2021b)"", a genuine data-archival claim. No matching URL/DOI appears in gated_repos, so repo_check appears to have never detected/attempted this repository at all (a URL-extraction miss), leaving repo_check$table empty and mc_data_availability=FALSE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNCLEAR","repo_check never detected/attempted the Bonanza Creek LTER repository cited in the text (no matching gated_repos entry), so metacheck has zero evidence about a README either way. Cooper's Yes cannot be independently verified from any local evidence source without accessing the LTER data archive live.",TRUE
"10_1111_1365_2435_13194","10_1111_1365_2435_13194","Yes","Zenodo","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,TRUE,"Zenodo","10.5281/zenodo.1292461",TRUE,TRUE,".xlsx",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README may reflect this Zenodo record's `description` field -- checked live 2026-09-02 against a sample of 6 real Zenodo records from this miss set and found genuine variation (sometimes a study summary, sometimes contact metadata, sometimes file-by-file documentation, sometimes empty), i.e. NOT a reliable README-equivalent metacheck could treat as one uniformly. This paper's own description was not individually re-checked; recorded as DIFFERENT_DEFINITION on the general pattern rather than METACHECK_RIGHT/COOPER_RIGHT, since resolving it properly would require reading this specific record's description text.",TRUE
"10_1111_1365_2435_13560","10_1111_1365_2435_13560","Yes","Dryad","Yes","Yes","Yes",".xls(x)","Yes","Yes","No",NA,NA,NA,TRUE,"Dryad","doi:10.5061/dryad.76hdr7ssz",TRUE,TRUE,".xlsx",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README likely reflects Dryad's dataset abstract (the ONLY free-text field Dryad's API exposes) -- confirmed on 9 real Dryad datasets from this same miss set that this field is consistently the paper's own scientific abstract (numbered background/methods/results prose), never file-level documentation. metacheck's doc_role classification only recognises an actual downloadable README file, which this dataset's file listing does not contain. Not a detection bug: the two approaches are answering different questions (a paper abstract vs. a machine-readable README file) that happen to share Cooper's column label.",TRUE
"10_1111_1365_2745_13956","10_1111_1365_2745_13956",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"R","Yes",TRUE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"code_archived[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,"UNCLEAR","No repo_url of any kind was found by repo_check for this paper (repo_check$table and repo_metadata both empty), and this row has no data_availability/data_archive disagreement flagged, so there is no paper-text evidence gathered here either to identify which repository Cooper's Yes refers to. Cannot adjudicate without locating the paper's actual code repository.",NA,NA,"UNCLEAR","Same as code_archived for this paper: repo_check found no repository at all, and no repository URL is available from the evidence gathered to check for a README. Cannot adjudicate from available evidence.",TRUE
"10_1111_2041_210x_12962","10_1111_2041_210x_12962","Yes","Dryad;Personal website;Other repo/database","Yes","Yes","Yes",".xls(x)","No","Yes","Yes",NA,"R","No",FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"data_availability[cooper=Yes,mc=No];code_archived[cooper=Yes,mc=No]","COOPER_RIGHT","Paper's own availability statement: ""Data used in this paper are available from https://doi.org/10.5521/forestplots.net/2018_1 (Sullivan et al., 2018)."" Cites a real Other repo/database (ForestPlots.net) repository (https://doi.org/10.5521/forestplots.net/2018_1). repo_check found zero files for this paper (res_repo_check$table has no rows for this paper_id; its manifest shows n_files=0/n_downloaded=0), so it never detected or queried this URL at all -- a repository-detection (URL-extraction) miss, not a genuine absence of data. | KNOWN METACHECK LIMITATION (not yet fixed, github.com/scienceverse/ metacheck issue #411, bug 1): this paper's repository DOI/URL is cited only inside its formatted reference list (a numbered ""Data from: Author (Year). Title [Dataset]. https://doi.org/..."" entry), never as an inline hyperlink or bare in-text mention. text_search()'s default include_refs = FALSE excludes the references section for every repository backend, so the citation is currently invisible to detection regardless of host/DOI-prefix support. Confirmed live 2026-09-19: the DOI itself resolves correctly when queried directly.",NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","repo_check found zero files for this paper at all, so code_check (which only classifies files repo_check has already listed) had nothing to work with -- the same root-cause repository-detection miss as the data_availability disagreement for this paper. The extracted paper text does not itself specify whether code is bundled with the data at the un-located repository, but Cooper's coding is based on directly inspecting the repository, which metacheck's pipeline never queried at all -- there is no basis to prefer metacheck's automatic No over Cooper's direct inspection here.",NA,NA,NA,NA,TRUE
"10_1111_1365_2656_14134","10_1111_1365_2656_14134","Yes","Dryad;Zenodo","Yes","No","Yes",".csv/.tsv","Yes","Yes","Yes","Yes","Python","No",TRUE,"Dryad","doi:10.5061/dryad.4qrfj6qjf",TRUE,TRUE,".csv",TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,"data_license[cooper=No,mc=Yes];code_archived[cooper=Yes,mc=No]",NA,NA,NA,NA,"METACHECK_RIGHT","Dryad dataset doi:10.5061/dryad.4qrfj6qjf carries a CC0-1.0 license, retrieved from Dryad's dataset API (https://spdx.org/licenses/CC0-1.0.html).",NA,NA,"COOPER_RIGHT","only a Dryad data DOI is given in the availability statement; no code repository, GitHub link or code-specific statement appears anywhere in the extracted text, so nothing supports code being archived per this paper text",NA,NA,NA,NA,TRUE
"10_1111_1365_2656_12787","10_1111_1365_2656_12787","Yes","Dryad","Yes","Yes",NA,".xls(x)","No","Yes","Yes",NA,"R","No",TRUE,"Dryad","doi:10.5061/dryad.m605m",TRUE,TRUE,".xls",FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"code_archived[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,"COOPER_RIGHT","availability statement only mentions ""Data associated with this manuscript are available from the Dryad Digital Repository [DOI]""; Methods explicitly states ""A custom script in R was used for the full implementation (see Appendix S1)"" meaning the R code is provided as journal Supporting Information (Appendix S1), not in an external archived repository - Cooper coding code_archived=Yes may be crediting the SI-appendix code as ""archived"", which is a defensible but non-repository interpretation; metacheck=No is defensible because no external code repository exists - marking BOTH_DEFENSIBLE given the code is present as supplementary material rather than a formal repository",NA,NA,NA,NA,TRUE
"10_1002_2688_8319_12124","10_1002_2688_8319_12124","Yes","Dryad;Zenodo","Yes","No","Yes",".csv/.tsv","No","Yes","Yes","Yes","R;Stan","Yes",TRUE,"Dryad","doi:10.5061/dryad.ffbg79crv",TRUE,TRUE,".csv;.xlsx",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"data_license[cooper=No,mc=Yes];code_archived[cooper=Yes,mc=No];any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,"METACHECK_RIGHT","Two repositories, both licensed: Zenodo record 10.5281/zenodo.5778307 carries the depositor-selected ""Other (Open)"" license (retrieved from Zenodo's records API: https://zenodo.org/api/records/5778307, license.id = ""other-open""); Dryad dataset doi:10.5061/dryad.ffbg79crv carries CC0-1.0 (https://spdx.org/licenses/CC0-1.0.html), from Dryad's dataset API.",NA,NA,"COOPER_RIGHT","Paper cites Dryad (data, doi.org/10.5061/dryad.ffbg79crv) and a separate Zenodo record for code (doi.org/10.5281/zenodo.5778307, 'Analysis code is available at...'). res_repo_check$summary_table shows repo_n=2 for this paper (both repo_urls were recognized) but files_n=3, all from Dryad -- the Zenodo code repository contributed zero files, so code_check never saw any code from it despite the paper explicitly citing it.",NA,NA,"COOPER_RIGHT","Same root cause as code_archived: the Zenodo code repository (doi.org/10.5281/zenodo.5778307) contributed zero files to repo_check's table (repo_n=2 but only the Dryad repo's 3 files appear), so repo_check could not have found a readme there even if one exists.",TRUE
"10_1111_1365_2435_14016","10_1111_1365_2435_14016","Yes","Figshare","Yes","Yes",NA,NA,"Yes","Yes","Yes",NA,"R","No",TRUE,"Figshare","10.6084/m9.figshare.16543620.v1",TRUE,TRUE,".csv;.xlsx",FALSE,NA,TRUE,TRUE,"R",FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README may reflect this Figshare article's `description` field -- checked live 2026-09-02 against a sample of 10 real Figshare articles from this miss set and found genuine variation (roughly 2 of 10 had real file-by-file documentation, the rest were abstract/methods-style summaries indistinguishable from Dryad's pattern), i.e. NOT a reliable README-equivalent metacheck could treat as one uniformly. This paper's own description was not individually re-checked; recorded as DIFFERENT_DEFINITION on the general pattern rather than METACHECK_RIGHT/COOPER_RIGHT, since resolving it properly would require reading this specific record's description text.",TRUE
"10_1111_2041_210x_13206","10_1111_2041_210x_13206","Yes","Dryad","Yes","Yes","Yes",".csv/.tsv;.fastq;.oligos","Yes","Yes","No",NA,NA,NA,TRUE,"Dryad","doi:10.5061/dryad.t7pd371",TRUE,TRUE,".csv",FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,"any_readme[cooper=Yes,mc=No]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIFFERENT_DEFINITION","Cooper's Yes for this paper's README likely reflects Dryad's dataset abstract (the ONLY free-text field Dryad's API exposes) -- confirmed on 9 real Dryad datasets from this same miss set that this field is consistently the paper's own scientific abstract (numbered background/methods/results prose), never file-level documentation. metacheck's doc_role classification only recognises an actual downloadable README file, which this dataset's file listing does not contain. Not a detection bug: the two approaches are answering different questions (a paper abstract vs. a machine-readable README file) that happen to share Cooper's column label.",TRUE
