herd size,month,day of the week,monitoring time,sex of the herd,num of people feeding,centre timepoint for observation,num of people present,management stage
161,7,Sunday,23,F,10,16.26666667,58,2
2,7,Friday,183,M,0,14.71666667,19,2
18,7,Friday,26,M,59,15.63333333,89,2
42,7,Friday,46,M,5,16.36666667,163,2
14,7,Sunday,23,F,0,8.9,1,2
96,7,Sunday,46,M,0,16.03333333,80,2
107,7,Sunday,190,F,11,10.88333333,179,2
152,7,Sunday,80,F,47,13.28333333,239,2
9,7,Friday,27,F,0,16.68333333,21,2
6,7,Friday,43,F,0,16.05,10,2
5,7,Friday,180,M,0,9.816666667,7,2
79,7,Friday,67,M,5,13.16666667,81,2
7,7,Friday,51,M,13,12.05,39,2
193,7,Saturday,103,F,23,12.65,215,2
105,7,Saturday,180,F,8,9.433333333,99,2
45,7,Saturday,58,M,31,16.01666667,160,2
142,7,Saturday,43,F,7,11.33333333,62,2
58,6,Saturday,9,M,0,9.15,0,3
84,6,Saturday,45,F,4,13.8,34,3
28,6,Saturday,34,F,42,14.85,131,3
42,6,Saturday,78,M,0,11.33333333,21,3
77,6,Saturday,37,M,0,10.13333333,2,3
29,6,Saturday,60,F,47,15.81666667,149,3
64,6,Saturday,31,M,0,9.5,0,3
61,6,Saturday,4,F,3,14.46666667,30,3
69,6,Sunday,45,F,14,15.7,54,3
30,6,Sunday,2,F,4,14.78333333,63,3
39,6,Sunday,17,F,20,15,95,3
120,6,Sunday,183,M,4,10.41666667,120,3
50,6,Sunday,9,F,8,16.35,69,3
68,6,Sunday,23,F,18,14.46666667,273,3
132,6,Sunday,32,F,20,16.8,107,3
185,6,Sunday,15,F,9,12.15,9,3
81,6,Sunday,60,M,82,16.6,269,3
118,6,Sunday,16,F,0,10.51666667,12,3
44,6,Sunday,33,M,17,15.33333333,67,3
44,6,Sunday,56,M,50,14.53333333,76,3
174,6,Sunday,72,F,25,11.26666667,73,3
36,7,Saturday,23,M,0,14.18333333,41,3
113,7,Saturday,15,M,1,16.86666667,8,3
217,7,Saturday,100,F,24,11.16666667,34,3
77,7,Saturday,40,M,14,14.75,41,3
28,7,Saturday,31,F,0,9.866666667,2,3
64,7,Saturday,25,M,16,13.65,26,3
113,7,Saturday,68,M,9,16.06666667,28,3
88,7,Saturday,4,M,0,13.93333333,22,3
40,7,Saturday,10,M,0,15.25,7,3
51,7,Friday,220,M,20,11.2,119,3
221,7,Friday,127,F,16,16.23333333,213,3
200,7,Saturday,5,F,1,10.2,11,3
199,7,Saturday,12,F,2,10.35,8,3
241,7,Saturday,131,F,39,11.53333333,65,3
60,7,Saturday,47,F,4,13.06666667,65,3
67,7,Saturday,92,M,98,16.38333333,234,3
60,7,Saturday,18,F,0,13.65,19,3
119,7,Friday,105,M,5,16.2,110,3
77,7,Friday,52,F,8,10.25,40,3
268,7,Friday,78,F,6,11.35,80,3
156,7,Friday,66,F,0,12.83333333,72,3
88,7,Friday,5,M,0,15.03333333,9,3
98,7,Saturday,37,F,4,16.93333333,38,3
46,7,Saturday,199,M,35,11.85,79,3
138,7,Saturday,26,F,0,16.35,13,3
2,7,Saturday,3,M,0,9.583333333,0,3
71,7,Saturday,6,M,0,10.08333333,1,3
120,7,Saturday,27,F,6,15.8,39,3
185,7,Sunday,21,F,0,9.966666667,9,3
91,7,Sunday,45,M,64,16.16666667,186,3
85,7,Sunday,10,M,16,15.41666667,52,3
65,7,Sunday,7,M,16,15.61666667,62,3
5,7,Sunday,79,M,14,13.26666667,24,3
56,7,Saturday,13,M,2,14.85,17,3
224,7,Saturday,12,F,0,9.816666667,13,3
132,7,Saturday,13,F,2,12.73333333,5,3
79,7,Saturday,58,M,22,15.51666667,64,3
243,7,Saturday,145,F,17,11.36666667,116,3
62,7,Friday,57,F,0,10.16666667,43,3
27,7,Friday,248,M,9,15.26666667,155,3
47,6,Friday,30,M,0,8.95,13,4
90,6,Friday,22,M,0,9.4,2,4
289,6,Friday,54,F,11,13.85,61,4
183,6,Friday,53,F,8,15.7,67,4
212,6,Friday,48,F,16,16.6,86,4
120,6,Friday,141,M,8,10.78333333,103,4
41,6,Friday,48,F,6,14.81666667,29,4
44,6,Saturday,12,M,0,14.26666667,1,4
36,6,Saturday,6,M,0,14.08333333,0,4
43,6,Saturday,27,M,0,13.71666667,3,4
133,6,Saturday,25,F,0,11.86666667,1,4
57,6,Saturday,138,M,66,15.86666667,141,4
41,6,Saturday,10,M,0,14.58333333,8,4
170,6,Saturday,155,F,9,10.28333333,26,4
94,6,Saturday,211,M,33,11.2,95,4
34,6,Saturday,15,F,32,16.8,18,4
197,6,Saturday,96,F,12,15.86666667,90,4
3,6,Saturday,4,M,0,8.95,0,4
9,6,Saturday,7,M,0,14.96666667,10,4
185,6,Sunday,162,F,13,11.15,260,4
4,6,Sunday,80,M,0,15.08333333,16,4
30,6,Sunday,33,M,9,16.73333333,236,4
175,6,Sunday,86,F,10,16.36666667,151,4
9,6,Sunday,238,M,2,11.53333333,16,4
17,6,Sunday,12,F,0,9.283333333,3,4
34,6,Sunday,33,M,0,16.81666667,86,4
11,6,Sunday,134,M,35,14.48333333,209,4
154,6,Sunday,87,F,0,10.18333333,158,4
NA,6,Sunday,36,M,19,16.15,99,4
89,7,Saturday,165,M,1,10.11666667,83,4
71,7,Saturday,5,M,0,11.58333333,6,4
97,7,Saturday,15,F,5,16.88333333,10,4
54,7,Saturday,30,F,0,16.5,21,4
90,7,Saturday,141,M,53,12.81666667,641,4
44,7,Friday,315,M,10,11.28333333,106,4
8,7,Friday,5,F,0,16,4,4
26,7,Friday,50,F,0,16.58333333,9,4
63,7,Saturday,122,M,15,16,337,4
108,7,Saturday,215,F,0,11.66666667,66,4
49,7,Saturday,37,F,0,9.183333333,16,4
27,7,Friday,81,F,0,9.466666667,20,4
77,7,Friday,53,F,0,10.6,20,4
62,7,Friday,231,M,32,15.08333333,580,4
124,7,Saturday,123,F,3,16.01666667,131,4
22,7,Saturday,92,M,0,10.1,20,4
24,7,Saturday,20,M,0,9.066666667,2,4
9,7,Saturday,7,F,0,14.73333333,13,4
16,7,Saturday,41,F,1,14.28333333,17,4
76,7,Saturday,55,M,3,11.58333333,60,4
57,7,Saturday,7,M,7,10.98333333,16,4
142,7,Sunday,181,F,11,15.5,147,4
21,7,Sunday,193,M,0,10.3,69,4
168,7,Saturday,215,F,16,11.2,145,4
36,7,Saturday,141,M,0,15.85,505,4
5,7,Friday,127,M,0,11.76666667,0,4
9,7,Friday,76,F,0,9.366666667,2,4
4,7,Friday,19,F,0,10.2,1,4
2,7,Friday,49,M,0,15.08333333,7,4
