"doi","journal","year","paper_number","article_id","source","ok"
"10.1111/2041-210X.12749","Methods in Ecology and Evolution","2017","445","10_1111_2041_210x_12749","wiley_proxy","TRUE"
"10.1111/1365-2656.13705","Journal of Animal Ecology","2022","1641","10_1111_1365_2656_13705","wiley_proxy","TRUE"
"10.1111/2041-210X.14101","Methods in Ecology and Evolution","2023","2786","10_1111_2041_210x_14101","wiley_proxy","TRUE"
"10.1111/1365-2435.13848","Functional Ecology","2021","779","10_1111_1365_2435_13848","wiley_proxy","TRUE"
"10.1111/1365-2435.13965","Functional Ecology","2021","1224","10_1111_1365_2435_13965","wiley_proxy","TRUE"
"10.1111/2041-210X.13915","Methods in Ecology and Evolution","2022","4153","10_1111_2041_210x_13915","wiley_proxy","TRUE"
"10.1111/1365-2656.12732","Journal of Animal Ecology","2017","6653","10_1111_1365_2656_12732","wiley_proxy","TRUE"
"10.1111/2041-210X.12748","Methods in Ecology and Evolution","2017","44","10_1111_2041_210x_12748","wiley_proxy","TRUE"
"10.1111/1365-2664.14550","Journal of Applied Ecology","2023","1025","10_1111_1365_2664_14550","wiley_proxy","TRUE"
"10.1111/1365-2435.14431","Functional Ecology","2023","4104","10_1111_1365_2435_14431","wiley_proxy","TRUE"
"10.1111/1365-2656.13250","Journal of Animal Ecology","2020","24","10_1111_1365_2656_13250","wiley_proxy","TRUE"
"10.1111/1365-2435.12987","Functional Ecology","2017","1772","10_1111_1365_2435_12987","wiley_proxy","TRUE"
"10.1111/1365-2435.14319","Functional Ecology","2023","6","10_1111_1365_2435_14319","wiley_proxy","TRUE"
"10.1111/1365-2664.13323","Journal of Applied Ecology","2019","1440","10_1111_1365_2664_13323","wiley_proxy","TRUE"
"10.1111/1365-2435.13851","Functional Ecology","2021","754","10_1111_1365_2435_13851","wiley_proxy","TRUE"
"10.1111/1365-2745.12975","Journal of Ecology","2018","8047","10_1111_1365_2745_12975","wiley_proxy","TRUE"
"10.1002/2688-8319.12044","Ecological Solutions and Evidence","2021","1894","10_1002_2688_8319_12044","wiley_proxy","TRUE"
"10.1111/1365-2664.14446","Journal of Applied Ecology","2023","5362","10_1111_1365_2664_14446","wiley_proxy","TRUE"
"10.1111/2041-210X.13976","Methods in Ecology and Evolution","2022","177","10_1111_2041_210x_13976","wiley_proxy","TRUE"
"10.1111/1365-2664.13751","Journal of Applied Ecology","2020","81","10_1111_1365_2664_13751",NA,NA
"10.1111/1365-2664.13117","Journal of Applied Ecology","2018","3371","10_1111_1365_2664_13117","wiley_proxy","TRUE"
"10.1111/1365-2435.13254","Functional Ecology","2021","102","10_1111_1365_2435_13254","wiley_proxy","TRUE"
"10.1111/1365-2664.14463","Journal of Applied Ecology","2023","2747","10_1111_1365_2664_14463","wiley_proxy","TRUE"
"10.1111/1365-2745.14241","Journal of Ecology","2023","446","10_1111_1365_2745_14241","wiley_proxy","TRUE"
"10.1111/1365-2656.13899","Journal of Animal Ecology","2023","15","10_1111_1365_2656_13899","wiley_proxy","TRUE"
"10.1111/1365-2745.13603","Journal of Ecology","2021","766","10_1111_1365_2745_13603","wiley_proxy","TRUE"
"10.1111/1365-2664.14440","Journal of Applied Ecology","2023","7913","10_1111_1365_2664_14440","wiley_proxy","TRUE"
"10.1111/1365-2435.13798","Functional Ecology","2021","2302","10_1111_1365_2435_13798","wiley_proxy","TRUE"
"10.1111/1365-2745.13904","Journal of Ecology","2022","7123","10_1111_1365_2745_13904","wiley_proxy","TRUE"
"10.1111/1365-2664.13545","Journal of Applied Ecology","2019","3509","10_1111_1365_2664_13545","wiley_proxy","TRUE"
"10.1111/1365-2656.12800","Journal of Animal Ecology","2018","305","10_1111_1365_2656_12800","wiley_proxy","TRUE"
"10.1111/1365-2664.13997","Journal of Applied Ecology","2021","1833","10_1111_1365_2664_13997","wiley_proxy","TRUE"
"10.1111/1365-2656.12918","Journal of Animal Ecology","2018","5800","10_1111_1365_2656_12918","wiley_proxy","TRUE"
"10.1111/1365-2435.13003","Functional Ecology","2017","1912","10_1111_1365_2435_13003","wiley_proxy","TRUE"
"10.1111/2041-210X.13231","Methods in Ecology and Evolution","2019","1192","10_1111_2041_210x_13231","wiley_proxy","TRUE"
"10.1111/1365-2745.13739","People and Nature","2021","63","10_1111_1365_2745_13739","wiley_proxy","TRUE"
"10.1111/2041-210X.13673","Methods in Ecology and Evolution","2021","7341","10_1111_2041_210x_13673","wiley_proxy","TRUE"
"10.1111/1365-2656.13886","Journal of Animal Ecology","2023","780","10_1111_1365_2656_13886","wiley_proxy","TRUE"
"10.1111/1365-2745.14023","Journal of Ecology","2022","2002","10_1111_1365_2745_14023","wiley_proxy","TRUE"
"10.1111/1365-2745.13006","Journal of Ecology","2018","235","10_1111_1365_2745_13006","wiley_proxy","TRUE"
"10.1111/1365-2656.13515","Journal of Animal Ecology","2021","1895","10_1111_1365_2656_13515","wiley_proxy","TRUE"
"10.1111/1365-2656.13220","Journal of Animal Ecology","2020","28","10_1111_1365_2656_13220","wiley_proxy","TRUE"
"10.1002/2688-8319.12156","Ecological Solutions and Evidence","2022","39","10_1002_2688_8319_12156","wiley_proxy","TRUE"
"10.1111/1365-2656.13478","Journal of Animal Ecology","2021","4201","10_1111_1365_2656_13478","wiley_proxy","TRUE"
"10.1111/1365-2745.12872","Journal of Ecology","2017","6152","10_1111_1365_2745_12872","wiley_proxy","TRUE"
"10.1111/1365-2745.14045","Journal of Ecology","2022","1178","10_1111_1365_2745_14045","wiley_proxy","TRUE"
"10.1111/1365-2435.13017","Functional Ecology","2017","3375","10_1111_1365_2435_13017","wiley_proxy","TRUE"
"10.1111/1365-2656.13310","Journal of Animal Ecology","2020","1853","10_1111_1365_2656_13310","wiley_proxy","TRUE"
"10.1111/1365-2656.13777","Journal of Animal Ecology","2022","1442","10_1111_1365_2656_13777","wiley_proxy","TRUE"
"10.1111/1365-2656.13237","Journal of Animal Ecology","2020","1122","10_1111_1365_2656_13237","wiley_proxy","TRUE"
"10.1111/1365-2435.14194","Functional Ecology","2022","1642","10_1111_1365_2435_14194","wiley_proxy","TRUE"
"10.1111/1365-2435.14670","Functional Ecology","2024","1026","10_1111_1365_2435_14670","wiley_proxy","TRUE"
"10.1111/1365-2656.14198","Journal of Animal Ecology","2024","103","10_1111_1365_2656_14198","europepmc","TRUE"
"10.1111/1365-2664.13166","Journal of Applied Ecology","2018","781","10_1111_1365_2664_13166","wiley_proxy","TRUE"
"10.1002/pan3.10579","People and Nature","2024","7","10_1002_pan3_10579","wiley_proxy","TRUE"
"10.1111/1365-2656.12835","Journal of Animal Ecology","2018","306","10_1111_1365_2656_12835","wiley_proxy","TRUE"
"10.1111/1365-2745.12896","Journal of Ecology","2017","1700","10_1111_1365_2745_12896","wiley_proxy","TRUE"
"10.1111/1365-2745.13146","Journal of Ecology","2019","7124","10_1111_1365_2745_13146",NA,NA
"10.1111/1365-2435.14289","Functional Ecology","2023","373","10_1111_1365_2435_14289","wiley_proxy","TRUE"
"10.1111/1365-2745.13558","Journal of Ecology","2020","1321","10_1111_1365_2745_13558","wiley_proxy","TRUE"
"10.1111/1365-2745.13057","Journal of Ecology","2018","1061","10_1111_1365_2745_13057","wiley_proxy","TRUE"
"10.1111/1365-2745.13644","Journal of Ecology","2021","29","10_1111_1365_2745_13644","wiley_proxy","TRUE"
"10.1111/1365-2656.13033","Journal of Animal Ecology","2019","1179","10_1111_1365_2656_13033","wiley_proxy","TRUE"
"10.1111/1365-2656.13600","Journal of Animal Ecology","2021","64","10_1111_1365_2656_13600","wiley_proxy","TRUE"
"10.1111/2041-210X.14054","Methods in Ecology and Evolution","2023","2273","10_1111_2041_210x_14054","wiley_proxy","TRUE"
"10.1002/2688-8319.12139","Ecological Solutions and Evidence","2022","1213","10_1002_2688_8319_12139","wiley_proxy","TRUE"
"10.1111/1365-2664.14167","Journal of Applied Ecology","2022","2040","10_1111_1365_2664_14167","wiley_proxy","TRUE"
"10.1111/1365-2435.13128","Functional Ecology","2018","3260","10_1111_1365_2435_13128","wiley_proxy","TRUE"
"10.1111/1365-2435.13183","Functional Ecology","2018","2800","10_1111_1365_2435_13183","wiley_proxy","TRUE"
"10.1111/1365-2664.14382","Journal of Applied Ecology","2023","236","10_1111_1365_2664_14382","wiley_proxy","TRUE"
"10.1111/1365-2435.13026","Functional Ecology","2018","8111","10_1111_1365_2435_13026","wiley_proxy","TRUE"
"10.1111/1365-2745.13973","Journal of Ecology","2022","1027","10_1111_1365_2745_13973","wiley_proxy","TRUE"
"10.1111/1365-2435.13125","Functional Ecology","2018","36","10_1111_1365_2435_13125","europepmc","TRUE"
"10.1111/1365-2656.12671","Journal of Animal Ecology","2017","1877","10_1111_1365_2656_12671","wiley_proxy","TRUE"
"10.1111/1365-2664.14756","Journal of Applied Ecology","2024","5801","10_1111_1365_2664_14756","wiley_proxy","TRUE"
"10.1111/1365-2664.13149","Journal of Applied Ecology","2018","8087","10_1111_1365_2664_13149","wiley_proxy","TRUE"
"10.1002/pan3.10149","People and Nature","2020","6153","10_1002_pan3_10149","wiley_proxy","TRUE"
"10.1111/1365-2656.12926","Journal of Animal Ecology","2018","1012","10_1111_1365_2656_12926","wiley_proxy","TRUE"
"10.1111/1365-2745.14155","Journal of Ecology","2023","2748","10_1111_1365_2745_14155","wiley_proxy","TRUE"
"10.1111/1365-2664.14066","Journal of Applied Ecology","2021","755","10_1111_1365_2664_14066","wiley_proxy","TRUE"
"10.1111/1365-2435.13112","Functional Ecology","2018","4700","10_1111_1365_2435_13112","wiley_proxy","TRUE"
"10.1111/1365-2656.14132","Journal of Animal Ecology","2024","5340","10_1111_1365_2656_14132","wiley_proxy","TRUE"
"10.1111/1365-2664.13904","Journal of Applied Ecology","2021","104","10_1111_1365_2664_13904","europepmc","TRUE"
"10.1111/1365-2656.13671","Journal of Animal Ecology","2022","7342","10_1111_1365_2656_13671","wiley_proxy","TRUE"
"10.1111/1365-2664.14415","Journal of Applied Ecology","2023","178","10_1111_1365_2664_14415","wiley_proxy","TRUE"
"10.1111/1365-2745.12930","Journal of Ecology","2018","6028","10_1111_1365_2745_12930","wiley_proxy","TRUE"
"10.1111/2041-210X.14366","Methods in Ecology and Evolution","2024","1501","10_1111_2041_210x_14366","wiley_proxy","TRUE"
"10.1111/1365-2745.13873","Journal of Ecology","2022","1131","10_1111_1365_2745_13873","europepmc","TRUE"
"10.1002/pan3.10338","People and Nature","2022","71","10_1002_pan3_10338","wiley_proxy","TRUE"
"10.1111/2041-210X.14002","Methods in Ecology and Evolution","2022","782","10_1111_2041_210x_14002","wiley_proxy","TRUE"
"10.1111/1365-2745.14398","Journal of Ecology","2024","1028","10_1111_1365_2745_14398","wiley_proxy","TRUE"
"10.1111/1365-2656.13160","Journal of Animal Ecology","2020","8103","10_1111_1365_2656_13160","wiley_proxy","TRUE"
"10.1111/1365-2745.14083","Journal of Ecology","2023","2041","10_1111_1365_2745_14083","wiley_proxy","TRUE"
"10.1111/1365-2664.13241","Journal of Applied Ecology","2018","7914","10_1111_1365_2664_13241","wiley_proxy","TRUE"
"10.1111/1365-2664.14278","Journal of Applied Ecology","2022","1834","10_1111_1365_2664_14278","europepmc","TRUE"
"10.1111/1365-2656.12956","Journal of Animal Ecology","2019","7125","10_1111_1365_2656_12956","wiley_proxy","TRUE"
"10.1111/1365-2656.13447","Journal of Animal Ecology","2021","2343","10_1111_1365_2656_13447","wiley_proxy","TRUE"
"10.1111/1365-2656.14015","Journal of Animal Ecology","2023","307","10_1111_1365_2656_14015","europepmc","TRUE"
"10.1111/1365-2745.13492","Journal of Ecology","2020","1939","10_1111_1365_2745_13492","wiley_proxy","TRUE"
"10.1111/2041-210X.13650","Methods in Ecology and Evolution","2021","30","10_1111_2041_210x_13650","wiley_proxy","TRUE"
"10.1111/1365-2664.14013","Journal of Applied Ecology","2021","3000","10_1111_1365_2664_14013","wiley_proxy","TRUE"
"10.1111/1365-2664.14399","Journal of Applied Ecology","2023","1444","10_1111_1365_2664_14399","wiley_proxy","TRUE"
"10.1111/1365-2745.12892","Journal of Ecology","2017","1180","10_1111_1365_2745_12892","wiley_proxy","TRUE"
"10.1111/1365-2664.13838","Journal of Applied Ecology","2021","783","10_1111_1365_2664_13838","wiley_proxy","TRUE"
"10.1111/1365-2664.13538","Journal of Applied Ecology","2019","1052","10_1111_1365_2664_13538","wiley_proxy","TRUE"
"10.1111/1365-2435.14678","Functional Ecology","2024","1193","10_1111_1365_2435_14678","wiley_proxy","TRUE"
"10.1111/1365-2745.13815","Journal of Ecology","2021","6154","10_1111_1365_2745_13815","wiley_proxy","TRUE"
"10.1002/pan3.10084","People and Nature","2020","3997","10_1002_pan3_10084","wiley_proxy","TRUE"
"10.1111/1365-2656.14234","Journal of Animal Ecology","2024","237","10_1111_1365_2656_14234","europepmc","TRUE"
"10.1111/1365-2656.14169","Journal of Animal Ecology","2024","4154","10_1111_1365_2656_14169","europepmc","TRUE"
"10.1111/2041-210X.13658","Methods in Ecology and Evolution","2021","7915","10_1111_2041_210x_13658","wiley_proxy","TRUE"
"10.1111/1365-2745.13875","Journal of Ecology","2022","2440","10_1111_1365_2745_13875","wiley_proxy","TRUE"
"10.1111/1365-2435.14111","Functional Ecology","2022","5363","10_1111_1365_2435_14111","wiley_proxy","TRUE"
"10.1111/1365-2664.13948","Journal of Applied Ecology","2021","5802","10_1111_1365_2664_13948","wiley_proxy","TRUE"
"10.1111/1365-2745.14312","Journal of Ecology","2024","756","10_1111_1365_2745_14312","wiley_proxy","TRUE"
"10.1111/1365-2745.13240","Journal of Ecology","2019","1029","10_1111_1365_2745_13240","wiley_proxy","TRUE"
"10.1111/2041-210X.14314","Methods in Ecology and Evolution","2024","5535","10_1111_2041_210x_14314","wiley_proxy","TRUE"
"10.1111/1365-2745.12927","Journal of Ecology","2018","7343","10_1111_1365_2745_12927","wiley_proxy","TRUE"
"10.1111/1365-2664.14781","Journal of Applied Ecology","2024","72","10_1111_1365_2664_14781","wiley_proxy","TRUE"
"10.1111/2041-210X.13937","Methods in Ecology and Evolution","2022","105","10_1111_2041_210x_13937","wiley_proxy","TRUE"
"10.1111/1365-2664.13539","Journal of Applied Ecology","2019","1322","10_1111_1365_2664_13539","europepmc","TRUE"
"10.1111/2041-210X.14367","Methods in Ecology and Evolution","2024","2042","10_1111_2041_210x_14367","wiley_proxy","TRUE"
"10.1111/1365-2664.13273","Journal of Applied Ecology","2018","2003","10_1111_1365_2664_13273","wiley_proxy","TRUE"
"10.1111/1365-2664.13100","Journal of Applied Ecology","2018","374","10_1111_1365_2664_13100","wiley_proxy","TRUE"
"10.1111/2041-210X.14387","Methods in Ecology and Evolution","2024","1225","10_1111_2041_210x_14387","wiley_proxy","TRUE"
"10.1111/1365-2656.12729","Journal of Animal Ecology","2017","1773","10_1111_1365_2656_12729","wiley_proxy","TRUE"
"10.1111/1365-2664.13714","Journal of Applied Ecology","2020","238","10_1111_1365_2664_13714","wiley_proxy","TRUE"
"10.1111/1365-2656.13848","Journal of Animal Ecology","2022","31","10_1111_1365_2656_13848","wiley_proxy","TRUE"
"10.1111/1365-2664.13537","Journal of Applied Ecology","2019","1443","10_1111_1365_2664_13537","wiley_proxy","TRUE"
"10.1111/1365-2745.13223","Journal of Ecology","2019","4155","10_1111_1365_2745_13223","wiley_proxy","TRUE"
"10.1111/1365-2664.13354","Journal of Applied Ecology","2019","1013","10_1111_1365_2664_13354","wiley_proxy","TRUE"
"10.1111/1365-2745.12813","Journal of Ecology","2017","37","10_1111_1365_2745_12813","wiley_proxy","TRUE"
"10.1111/1365-2745.13636","Journal of Ecology","2021","7916","10_1111_1365_2745_13636","wiley_proxy","TRUE"
"10.1111/1365-2656.13268","Journal of Animal Ecology","2020","2104","10_1111_1365_2656_13268","wiley_proxy","TRUE"
"10.1111/1365-2664.13397","Journal of Applied Ecology","2019","2749","10_1111_1365_2664_13397","wiley_proxy","TRUE"
"10.1111/1365-2656.13791","Journal of Animal Ecology","2022","575","10_1111_1365_2656_13791","wiley_proxy","TRUE"
"10.1111/1365-2656.13353","Journal of Animal Ecology","2020","6155","10_1111_1365_2656_13353","wiley_proxy","TRUE"
"10.1002/pan3.10376","People and Nature","2022","1323","10_1002_pan3_10376","wiley_proxy","TRUE"
"10.1111/1365-2435.13083","Functional Ecology","2018","179","10_1111_1365_2435_13083","wiley_proxy","TRUE"
"10.1111/1365-2435.14616","Functional Ecology","2024","4202","10_1111_1365_2435_14616","wiley_proxy","TRUE"
"10.1111/2041-210X.13429","Methods in Ecology and Evolution","2018","8110","10_1111_2041_210x_13429","wiley_proxy","TRUE"
"10.1111/1365-2656.13827","Journal of Animal Ecology","2022","1002","10_1111_1365_2656_13827","wiley_proxy","TRUE"
"10.1111/1365-2745.13111","Journal of Ecology","2018","5803","10_1111_1365_2745_13111","wiley_proxy","TRUE"
"10.1002/pan3.10434","People and Nature","2023","4107","10_1002_pan3_10434","wiley_proxy","TRUE"
"10.1111/2041-210X.14209","Methods in Ecology and Evolution","2023","308","10_1111_2041_210x_14209","wiley_proxy","TRUE"
"10.1002/2688-8319.12064","Ecological Solutions and Evidence","2021","2274","10_1002_2688_8319_12064","wiley_proxy","TRUE"
"10.1111/1365-2435.13289","Functional Ecology","2019","1194","10_1111_1365_2435_13289","wiley_proxy","TRUE"
"10.1111/1365-2656.14028","Journal of Animal Ecology","2023","239","10_1111_1365_2656_14028","wiley_proxy","TRUE"
"10.1111/1365-2664.13634","Journal of Applied Ecology","2020","1503","10_1111_1365_2664_13634","wiley_proxy","TRUE"
"10.1111/1365-2664.14197","Journal of Applied Ecology","2022","1226","10_1111_1365_2664_14197","wiley_proxy","TRUE"
"10.1111/1365-2745.14090","Journal of Ecology","2023","106","10_1111_1365_2745_14090","wiley_proxy","TRUE"
"10.1111/1365-2664.13342","Journal of Applied Ecology","2019","8","10_1111_1365_2664_13342","wiley_proxy","TRUE"
"10.1111/1365-2745.13415","Journal of Ecology","2020","2441","10_1111_1365_2745_13415","wiley_proxy","TRUE"
"10.1002/pan3.10388","People and Nature","2022","2344","10_1002_pan3_10388","wiley_proxy","TRUE"
"10.1111/1365-2745.13393","Journal of Ecology","2020","7917","10_1111_1365_2745_13393","wiley_proxy","TRUE"
"10.1111/1365-2435.13500","Functional Ecology","2020","3376","10_1111_1365_2435_13500","wiley_proxy","TRUE"
"10.1111/1365-2656.13561","Journal of Animal Ecology","2021","1800","10_1111_1365_2656_13561","wiley_proxy","TRUE"
"10.1111/1365-2664.14254","Journal of Applied Ecology","2022","7126","10_1111_1365_2664_14254","wiley_proxy","TRUE"
"10.1111/1365-2664.13269","Journal of Applied Ecology","2018","82","10_1111_1365_2664_13269","wiley_proxy","TRUE"
"10.1111/1365-2745.14289","Journal of Ecology","2024","1701","10_1111_1365_2745_14289","wiley_proxy","TRUE"
"10.1111/1365-2656.13313","Journal of Animal Ecology","2020","1062","10_1111_1365_2656_13313","wiley_proxy","TRUE"
"10.1111/1365-2656.13569","Journal of Animal Ecology","2021","1913","10_1111_1365_2656_13569","europepmc","TRUE"
"10.1111/1365-2435.14697","Functional Ecology","2024","1896","10_1111_1365_2435_14697","wiley_proxy","TRUE"
