nr;TOMST_Merge_ID;ID;WB_no;Frozen_Fresh;X;Y;Weight_kg;Weight1_kg;Elevation;Exposure_Year;Sampling_day_DOY;Decomposition_Stage;Day_since_Exposure;Traptype;Maggots_vol;Oiceptomathoracicum;Necrodeslittoralis;Thanatophilussinuatus;Thanatophilusrugosus;Nicrophorusvespilloides;Nicrophorushumator;Nicrophorusinvestigator;Nicrophorusinterruptus;Nicrophorusvespillo;Nicrophorussepultor;Speciesnumber;Abundanceofindividuals;Habitat;Temp_mean_48
217;MS06_T23;MS_6_T23;MS06;frozen;829900;5425627;43;;778,62;2020;332;2;23;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;-3,43
215;MS06_T16;MS_6_T16;MS06;frozen;829900;5425627;43;;778,62;2020;325;2;16;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;2,95
213;MS06_T9;MS_6_T9;MS06;frozen;829900;5425627;43;;778,62;2020;318;2;9;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;4,06
211;MS06_T6;MS_6_T6;MS06;frozen;829900;5425627;43;43;778,62;2020;315;2;6;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;1,94
233;MS07_T30;MS_7_T30;MS07;frozen;829825;5424594;60;;745;2021;133;2;30;Pitfall;0;38;0;0;0;0;7;0;0;0;0;2;45;closed_dry;12,45
231;MS07_T23;MS_7_T23;MS07;frozen;829825;5424594;60;;745;2021;126;2;23;Pitfall;800;1;0;0;0;0;3;0;0;0;0;2;4;closed_dry;6,05
229;MS07_T16;MS_7_T16;MS07;frozen;829825;5424594;60;;745;2021;119;2;16;Pitfall;0;1;0;0;0;0;1;0;0;0;0;2;2;closed_dry;8,57
227;MS07_T13;MS_7_T13;MS07;frozen;829825;5424594;60;;745;2021;116;2;13;Pitfall;0;4;0;0;0;0;0;0;0;0;0;1;4;closed_dry;6,68
225;MS07_T9;MS_7_T9;MS07;frozen;829825;5424594;60;;745;2021;112;2;9;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;4,63
223;MS07_T6;MS_7_T6;MS07;frozen;829825;5424594;60;60;745;2021;109;2;6;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;2,42
235;MS07_T37;MS_7_T37;MS07;frozen;829825;5424594;60;;745;2021;140;3;37;Pitfall;20;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;5,96
239;MS07_T51;MS_7_T51;MS07;frozen;829825;5424594;60;;745;2021;154;4;51;Pitfall;140;1;0;2;1;0;0;0;0;0;0;3;4;closed_dry;13,95
237;MS07_T44;MS_7_T44;MS07;frozen;829825;5424594;60;;745;2021;147;4;44;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;6,38
241;MS07_T58;MS_7_T58;MS07;frozen;829825;5424594;60;;745;2021;161;5;58;Pitfall;40;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;13,57
243;MS08_T2;MS_8_T2;MS08;frozen;822187;5429891;48;48;849,35;2021;169;2;2;Pitfall;0;7;0;0;0;0;0;0;0;0;0;1;7;closed_dry;20,74
247;MS08_T6;MS_8_T6;MS08;frozen;822187;5429891;48;;849,35;2021;173;2;6;Pitfall;5;72;34;186;16;10;0;0;0;0;0;5;318;closed_dry;20,33
245;MS08_T4;MS_8_T4;MS08;frozen;822187;5429891;48;;849,35;2021;171;2;4;Pitfall;0;14;5;1;0;3;0;0;0;0;0;4;23;closed_dry;20,64
249;MS08_T9;MS_8_T9;MS08;frozen;822187;5429891;48;;849,35;2021;176;3;9;Pitfall;15;9;9;0;0;1;0;0;0;0;0;3;19;closed_dry;15,64
257;MS08_T30;MS_8_T30;MS08;frozen;822187;5429891;48;;849,35;2021;197;4;30;Pitfall;0;0;0;0;0;0;1;0;0;0;0;1;1;closed_dry;13,84
255;MS08_T23;MS_8_T23;MS08;frozen;822187;5429891;48;;849,35;2021;190;4;23;Pitfall;5;1;0;0;0;1;0;0;0;0;0;2;2;closed_dry;15,94
253;MS08_T16;MS_8_T16;MS08;frozen;822187;5429891;48;;849,35;2021;183;4;16;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;10,75
251;MS08_T13;MS_8_T13;MS08;frozen;822187;5429891;48;;849,35;2021;180;4;13;Pitfall;5;5;3;0;1;5;1;0;0;0;0;5;15;closed_dry;18,57
263;MS09_T6;MS_9_T6;MS09;frozen;833250;5431431;29,6;;950,16;2021;193;2;6;Pitfall;0;1;0;0;0;1;2;0;0;0;0;3;4;closed_dry;13,82
261;MS09_T4;MS_9_T4;MS09;frozen;833250;5431431;29,6;;950,16;2021;191;2;4;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;13,4
259;MS09_T2;MS_9_T2;MS09;frozen;833250;5431431;29,6;29,6;950,16;2021;189;2;2;Pitfall;0;0;0;0;0;2;0;0;0;0;0;1;2;closed_dry;17,22
265;MS09_T9;MS_9_T9;MS09;frozen;833250;5431431;29,6;;950,16;2021;196;2;9;Pitfall;0;4;0;0;0;0;0;0;0;0;0;1;4;closed_dry;14,85
269;MS09_T16;MS_9_T16;MS09;frozen;833250;5431431;29,6;;950,16;2021;203;4;16;Pitfall;35;2;1;1;3;0;0;0;0;0;0;4;7;closed_dry;13,64
267;MS09_T13;MS_9_T13;MS09;frozen;833250;5431431;29,6;;950,16;2021;200;4;13;Pitfall;410;1;3;1;1;2;0;0;0;0;0;5;8;closed_dry;15,95
273;MS09_T30;MS_9_T30;MS09;frozen;833250;5431431;29,6;;950,16;2021;217;5;30;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;12,53
271;MS09_T23;MS_9_T23;MS09;frozen;833250;5431431;29,6;;950,16;2021;210;5;23;Pitfall;30;0;0;0;0;3;0;0;0;0;0;1;3;closed_dry;15,96
279;MS10_T6;MS_10_T6;MS10;frozen;818585;5432029;50;;830,82;2021;215;2;6;Pitfall;0;0;0;0;0;1;0;0;0;0;0;1;1;closed_dry;12,36
277;MS10_T4;MS_10_T4;MS10;frozen;818585;5432029;50;;830,82;2021;213;2;4;Pitfall;0;0;0;0;0;1;0;0;0;0;0;1;1;closed_dry;16,45
275;MS10_T2;MS_10_T2;MS10;frozen;818585;5432029;50;50;830,82;2021;211;2;2;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;15,75
285;MS10_T16;MS_10_T16;MS10;frozen;818585;5432029;50;;830,82;2021;225;3;16;Pitfall;40;15;5;3;0;9;0;0;0;0;0;4;32;closed_dry;17,65
283;MS10_T13;MS_10_T13;MS10;frozen;818585;5432029;50;;830,82;2021;222;3;13;Pitfall;15;1;1;1;0;3;0;1;0;0;0;5;7;closed_dry;13,9
281;MS10_T9;MS_10_T9;MS10;frozen;818585;5432029;50;;830,82;2021;218;3;9;Pitfall;5;0;0;0;0;1;0;0;1;0;0;2;2;closed_dry;12,64
289;MS10_T30;MS_10_T30;MS10;frozen;818585;5432029;50;;830,82;2021;239;4;30;Pitfall;5;0;2;0;0;4;1;2;1;0;0;5;10;closed_dry;10,65
287;MS10_T23;MS_10_T23;MS10;frozen;818585;5432029;50;;830,82;2021;232;4;23;Pitfall;10;2;1;0;0;4;0;1;0;0;0;4;8;closed_dry;12,59
291;WB01_T4;WB_1_T4;WB01;fresh;829213;5429312;28,8;;1105,33;2020;207;2;4;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_wet;15,04
290;WB01_T2;WB_1_T2;WB01;fresh;829213;5429312;28,8;28,8;1105,33;2020;205;2;2;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_wet;15,03
293;WB01_T9;WB_1_T9;WB01;fresh;829213;5429312;28,8;;1105,33;2020;212;3;9;Pitfall;230;4;10;109;1;4;0;1;0;0;0;6;129;open_wet;16,97
292;WB01_T6;WB_1_T6;WB01;fresh;829213;5429312;28,8;;1105,33;2020;209;3;6;Pitfall;0;0;3;0;0;3;0;1;0;0;0;3;7;open_wet;13,4
296;WB01_T23;WB_1_T23;WB01;fresh;829213;5429312;28,8;;1105,33;2020;226;4;23;Pitfall;5;1;1;1;1;0;0;0;0;0;0;4;4;open_wet;18,38
295;WB01_T16;WB_1_T16;WB01;fresh;829213;5429312;28,8;;1105,33;2020;219;4;16;Pitfall;5;2;1;0;0;0;0;1;0;0;0;3;4;open_wet;10,36
294;WB01_T13;WB_1_T13;WB01;fresh;829213;5429312;28,8;;1105,33;2020;216;4;13;Pitfall;160;6;14;33;5;2;0;1;0;0;0;6;61;open_wet;17,83
298;WB01_T60;WB_1_T60;WB01;fresh;829213;5429312;28,8;;1105,33;2020;263;5;60;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_wet;10,08
297;WB01_T30;WB_1_T30;WB01;fresh;829213;5429312;28,8;;1105,33;2020;233;5;30;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_wet;13,52
299;WB02_T2;WB_2_T2;WB02;frozen;828745;5428825;41;41;1072,79;2020;205;2;2;Pitfall;0;0;0;0;0;23;0;0;0;0;0;1;23;open_dry;15,92
303;WB02_T13;WB_2_T13;WB02;frozen;828745;5428825;41;;1072,79;2020;216;3;13;Pitfall;30;4;303;62;1;4;0;2;0;0;0;6;376;open_dry;18,02
302;WB02_T9;WB_2_T9;WB02;frozen;828745;5428825;41;;1072,79;2020;212;3;9;Pitfall;120;21;19;120;1;27;0;12;1;0;0;7;201;open_dry;17,43
301;WB02_T6;WB_2_T6;WB02;frozen;828745;5428825;41;;1072,79;2020;209;3;6;Pitfall;0;0;0;0;0;12;0;10;1;0;0;3;23;open_dry;13,96
300;WB02_T4;WB_2_T4;WB02;frozen;828745;5428825;41;;1072,79;2020;207;3;4;Pitfall;0;1;0;0;0;18;0;6;1;0;0;4;26;open_dry;15,75
304;WB02_T16;WB_2_T16;WB02;frozen;828745;5428825;41;;1072,79;2020;219;4;16;Pitfall;10;0;9;0;0;6;1;3;1;0;0;5;20;open_dry;11,23
307;WB02_T60;WB_2_T60;WB02;frozen;828745;5428825;41;;1072,79;2020;263;5;60;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_dry;11,43
306;WB02_T30;WB_2_T30;WB02;frozen;828745;5428825;41;;1072,79;2020;233;5;30;Pitfall;0;0;0;0;0;9;1;2;0;0;0;3;12;open_dry;14,11
305;WB02_T23;WB_2_T23;WB02;frozen;828745;5428825;41;;1072,79;2020;226;5;23;Pitfall;0;0;2;0;0;1;1;2;0;0;0;5;6;open_dry;20,02
311;WB03_T9;WB_3_T9;WB03;frozen;827153;5430940;28;;1059,7;2020;212;2;9;Pitfall;5;1;0;1;0;26;0;4;1;1;0;6;34;closed_wet;15,31
310;WB03_T6;WB_3_T6;WB03;frozen;827153;5430940;28;;1059,7;2020;209;2;6;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_wet;13,19
309;WB03_T4;WB_3_T4;WB03;frozen;827153;5430940;28;;1059,7;2020;207;2;4;Pitfall;0;0;0;0;0;9;0;6;0;0;0;2;15;closed_wet;14,05
308;WB03_T2;WB_3_T2;WB03;frozen;827153;5430940;28;28;1059,7;2020;205;2;2;Pitfall;0;1;0;0;0;0;0;1;0;0;0;2;2;closed_wet;14,79
312;WB03_T13;WB_3_T13;WB03;frozen;827153;5430940;28;;1059,7;2020;216;3;13;Pitfall;10;4;23;13;0;30;1;5;4;2;0;8;82;closed_wet;16,62
313;WB03_T16;WB_3_T16;WB03;frozen;827153;5430940;28;;1059,7;2020;219;4;16;Pitfall;50;2;0;0;0;2;0;0;0;0;0;2;4;closed_wet;10,29
316;WB03_T60;WB_3_T60;WB03;frozen;827153;5430940;28;;1059,7;2020;263;5;60;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_wet;10,23
315;WB03_T30;WB_3_T30;WB03;frozen;827153;5430940;28;;1059,7;2020;233;5;30;Pitfall;5;0;0;0;0;1;1;2;0;0;0;3;4;closed_wet;13,2
314;WB03_T23;WB_3_T23;WB03;frozen;827153;5430940;28;;1059,7;2020;226;5;23;Pitfall;25;1;0;1;1;1;0;1;0;0;0;5;5;closed_wet;17,82
320;WB04_T9;WB_4_T9;WB04;frozen;827568;5430582;29,5;;1028,6;2020;212;2;9;Pitfall;0;0;4;0;0;30;0;12;1;0;0;4;47;closed_dry;15,83
319;WB04_T6;WB_4_T6;WB04;frozen;827568;5430582;29,5;;1028,6;2020;209;2;6;Pitfall;5;0;0;0;0;20;0;3;0;0;0;2;23;closed_dry;13,24
318;WB04_T4;WB_4_T4;WB04;frozen;827568;5430582;29,5;;1028,6;2020;207;2;4;Pitfall;0;0;0;0;0;38;2;14;1;0;0;4;55;closed_dry;14,51
317;WB04_T2;WB_4_T2;WB04;frozen;827568;5430582;29,5;29,5;1028,6;2020;205;2;2;Pitfall;0;0;0;0;0;5;0;0;0;0;0;1;5;closed_dry;15,3
321;WB04_T13;WB_4_T13;WB04;frozen;827568;5430582;29,5;;1028,6;2020;216;3;13;Pitfall;15;8;35;15;2;24;0;5;1;0;0;7;90;closed_dry;17,42
322;WB04_T16;WB_4_T16;WB04;frozen;827568;5430582;29,5;;1028,6;2020;219;4;16;Pitfall;380;1;10;1;0;1;0;0;0;0;0;4;13;closed_dry;9,94
325;WB04_T60;WB_4_T60;WB04;frozen;827568;5430582;29,5;;1028,6;2020;263;5;60;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;10,31
324;WB04_T30;WB_4_T30;WB04;frozen;827568;5430582;29,5;;1028,6;2020;233;5;30;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;13,17
323;WB04_T23;WB_4_T23;WB04;frozen;827568;5430582;29,5;;1028,6;2020;226;5;23;Pitfall;5;0;0;0;1;0;1;2;0;0;0;3;4;closed_dry;18,22
326;WB05_T2;WB_5_T2;WB05;frozen;826468;5427571;36;36;750,28;2020;227;2;2;Pitfall;0;2;5;7;0;11;0;0;0;0;0;4;25;open_dry;19,53
328;WB05_T6;WB_5_T6;WB05;frozen;826468;5427571;36;;750,28;2020;231;3;6;Pitfall;5;7;135;49;0;7;0;0;0;0;0;4;198;open_dry;17,69
327;WB05_T4;WB_5_T4;WB05;frozen;826468;5427571;36;;750,28;2020;229;3;4;Pitfall;5;1;9;4;0;7;0;1;0;1;0;6;23;open_dry;16,66
333;WB05_T30;WB_5_T30;WB05;frozen;826468;5427571;36;;750,28;2020;255;4;30;Pitfall;0;1;5;3;0;5;0;0;0;0;0;4;14;open_dry;13,1
332;WB05_T23;WB_5_T23;WB05;frozen;826468;5427571;36;;750,28;2020;248;4;23;Pitfall;0;1;3;0;0;0;0;2;0;0;0;3;6;open_dry;11,41
331;WB05_T16;WB_5_T16;WB05;frozen;826468;5427571;36;;750,28;2020;241;4;16;Pitfall;5;3;24;8;1;4;1;3;0;0;0;7;44;open_dry;13,04
330;WB05_T13;WB_5_T13;WB05;frozen;826468;5427571;36;;750,28;2020;238;4;13;Pitfall;10;2;9;1;0;7;1;1;1;0;0;7;22;open_dry;12,39
329;WB05_T9;WB_5_T9;WB05;frozen;826468;5427571;36;;750,28;2020;234;4;9;Pitfall;20;5;23;8;1;9;0;2;0;0;0;6;48;open_dry;15,86
334;WB05_T61;WB_5_T61;WB05;frozen;826468;5427571;36;;750,28;2020;286;5;61;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_dry;4,79
335;WB06_T2;WB_6_T2;WB06;fresh;826406;5428110;13;13;775,44;2020;227;2;2;Pitfall;0;0;0;0;0;2;0;0;0;0;0;1;2;closed_dry;19,42
339;WB06_T13;WB_6_T13;WB06;fresh;826406;5428110;13;;775,44;2020;238;3;13;Pitfall;5;1;16;0;0;11;0;0;1;0;0;4;29;closed_dry;13,36
338;WB06_T9;WB_6_T9;WB06;fresh;826406;5428110;13;;775,44;2020;234;3;9;Pitfall;5;5;5;0;0;6;0;5;0;0;0;4;21;closed_dry;17,09
337;WB06_T6;WB_6_T6;WB06;fresh;826406;5428110;13;;775,44;2020;231;3;6;Pitfall;0;0;3;0;0;2;1;0;1;0;0;4;7;closed_dry;17,59
336;WB06_T4;WB_6_T4;WB06;fresh;826406;5428110;13;;775,44;2020;229;3;4;Pitfall;0;0;0;0;0;1;1;0;0;0;0;2;2;closed_dry;16,49
340;WB06_T16;WB_6_T16;WB06;fresh;826406;5428110;13;;775,44;2020;241;4;16;Pitfall;20;2;13;1;0;9;1;1;0;0;0;6;27;closed_dry;14,86
343;WB06_T61;WB_6_T61;WB06;fresh;826406;5428110;13;;775,44;2020;286;5;61;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;4,79
342;WB06_T30;WB_6_T30;WB06;fresh;826406;5428110;13;;775,44;2020;255;5;30;Pitfall;0;0;1;0;0;13;4;3;0;0;0;4;21;closed_dry;14,73
341;WB06_T23;WB_6_T23;WB06;fresh;826406;5428110;13;;775,44;2020;248;5;23;Pitfall;5;0;3;0;0;7;1;5;0;0;0;4;16;closed_dry;11,35
344;WB07_T2;WB_7_T2;WB07;frozen;825251;5427779;45,5;45,5;725,93;2020;227;2;2;Pitfall;0;0;10;88;0;18;0;1;1;0;0;5;118;open_wet;18,93
345;WB07_T4;WB_7_T4;WB07;frozen;825251;5427779;45,5;;725,93;2020;229;3;4;Pitfall;0;3;47;43;0;44;0;12;1;0;0;6;150;open_wet;16,47
349;WB07_T16;WB_7_T16;WB07;frozen;825251;5427779;45,5;;725,93;2020;241;4;16;Pitfall;5;0;5;8;0;4;0;3;0;0;0;4;20;open_wet;12,41
348;WB07_T13;WB_7_T13;WB07;frozen;825251;5427779;45,5;;725,93;2020;238;4;13;Pitfall;5;0;6;2;0;4;1;0;0;0;0;4;13;open_wet;11,97
347;WB07_T9;WB_7_T9;WB07;frozen;825251;5427779;45,5;;725,93;2020;234;4;9;Pitfall;15;10;100;152;4;26;3;4;0;0;0;7;299;open_wet;15,39
346;WB07_T6;WB_7_T6;WB07;frozen;825251;5427779;45,5;;725,93;2020;231;4;6;Pitfall;5;9;286;167;0;20;0;2;0;0;0;5;484;open_wet;17,54
352;WB07_T61;WB_7_T61;WB07;frozen;825251;5427779;45,5;;725,93;2020;286;5;61;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;open_wet;4,54
351;WB07_T30;WB_7_T30;WB07;frozen;825251;5427779;45,5;;725,93;2020;255;5;30;Pitfall;0;2;2;7;0;2;0;1;0;0;0;5;14;open_wet;12,54
350;WB07_T23;WB_7_T23;WB07;frozen;825251;5427779;45,5;;725,93;2020;248;5;23;Pitfall;5;0;2;0;0;0;0;1;0;0;0;2;3;open_wet;11,5
354;WB08_T4;WB_8_T4;WB08;frozen;825786;5427554;9,4;;723,59;2020;229;2;4;Pitfall;5;0;0;0;2;8;0;1;0;0;0;3;11;closed_wet;15,62
