RecordID;Group;Participant;Service.original;Specific.Service.harmonized;ESCODE;Ecosystem.service;Ecosystem.service.type;Habitats;Biome;Importance;Why.important;HWB;Keyword.why.important;Provision;Why.changed.provision;Keyword.why.changed.provision;Access;Why.changed.access;Keyword.why.changed.access;Provision.will;Access.will;Measures.needed;Action.by.whom.provision;Keyword.Action.provision;Action.by.whom.access;Keyword.action.access;Comments;HWB.MAT;HWB.SEC;HWB.PHY;HWB.SOC;BIO.AGR;BIO.AGF;BIO.ALP;BIO.WAT;BIO.FOR;BIO.GRS
11;Blue;71;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Natural springs;freshwater;High;"domestic use; irrigation; livestock";material;"domestic water use; irrigation; livestock";decreased;"Climate change; increased population";"climate change; population growth";Decreased;"poor infrustructure; poor policies and regulations implementation";"poor infrastructure; lack of policy implementation";Decrease;Deteriorate;Yes;"Prohibit human encroachment; afforestation using water friendly tree species; conservation of catchment areas; community responsibility to those vanderlizing the water sources";"reforestation; catchment areas - conserve; human encroachment - prevent";Assistance by the government to improve water infrastructure for improved accessbility;"infrastructure - water; community access";Community should realize that the water sources and theirs thus improve accountability;1;0;0;0;0;0;0;1;0;0
12;Blue;73;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Uplands;forest;High;"her life depends on this area; agricultural and business activities";material;"livelihood; agriculture; business";decreased;"population increase; increased environmental degradation; irrigation agriculture requires a lot of water; policy changes that have changes traditional use of some areas e.g infrustructural develompent";"population growth; irrigation; policy changes; environmental degradation";Decreased;"Decreased rainfall; increased water demand both for domestic and agricultural use";"decreased rainfall; increased water demand for agriculture; increased water demand for domestic use";Decrease;Deteriorate;Yes;"Environmental education; tree planting; catchment area conservation; need for more specialists in environmental conservation";"reforestation; environment - education; conservation - catchment areas; environmental conservation - train specialists";"promote fair ways for distribution of waters from water canals; need for proper statistics for water demands";"water distribution - fair; statistics - water";NA;1;0;0;0;0;0;0;0;1;0
13;Blue;74;Fodder;Fodder;ES.FOD;Food and feed;Provisioning;Riverine shrubs and grass patches;grassland;Moderate;fodder for livestock;material;fodder;decreased;population increase;population growth;Increased;Land shared between brothers and sisters and animals are increasing;decreased land size;Decrease;Deteriorate;Yes;NA;NA;need for a schedule to regulate access of water;water distribution - regulation;NA;1;0;0;0;0;0;0;0;0;1
14;Blue;126;Seed bank;Seed bank;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;Montane forest;forest;High;"repository for indigenous seeds; high species richness; high productivity";cultural;"seed bank; species richness; conservation; genetic materials; agricultural productivity";decreased;Reduced seeds resevors because of increased deforestation;"deforestation; reduced tree seed banks";Decreased;Most areas are now protected and access allowed;"protected areas; increased access";Decrease;Deteriorate;Yes;More areas should be protected to ensure continuous seed production;forests - protect;"ensure monitoring of the protected areas; encorage communities to plant seed plants around their home areas";"monitoring; community engagement";NA;0;0;0;1;0;0;0;0;1;0
15;Blue;126;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Cathment forest;forest;High;"area where atmospheric vapor is converted to rain; rich in plant species and fern species";material;"rain formation; conservation";decreased;population growth and deforestation on lower elevation has caused less clouds and rain;"population growth; deforestation; decreased rains";Decreased;population growth has resulted in more people sharing this resource;population growth;Decrease;Deteriorate;Yes;"More tree planting; invent alternative charcoal producing methods";"reforestation; energy - develop alternative methods";"Need for better managent of forests to ensure sustainable use; Improve law enforcement";"sustainable management - forest; enforcement - law";NA;1;0;0;0;0;0;0;0;1;0
16;Blue;128;Source of Water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Natural forests;forest;High;water is used both for domestic use and irrigation;material;"domestic water use; irrigation";decreased;"population growth; increased human activities; deforestation";"population growth; deforestation; human activities";Increased;Improved infrustracture;improved infrastructure;Decrease;Deteriorate;Yes;"Emphasize on forest conservation; prevent illegal activities in the forests";"forests - emphasize; illegal activities - prevention";Government to assist communities access improved water accessbility;"governement; water accessibility";NA;1;0;0;0;0;0;0;0;1;0
17;Blue;129;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Upland zone;forest;High;"domestic use especially in the chagga villages; agriculture in the lowlands";material;domestic water use, irrigation;decreased;"climate change as a result of globalization; high demand";"climate change; increased demand";Decreased;Increased number of people in demand for water;increased demand for water;Decrease;Deteriorate;Yes;"Increased protection of water sources to prevent polution; improved ifrustructure for water supply";"water sources - protection; pollution - prevention; water supply - improve infrastructure";Need for contributions for individuals responsible for water sources protection;funding - water source protection;NA;1;0;0;0;0;0;0;0;1;0
18;Blue;131;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;NA;NA;High;"water for Irrigation; domestic use";material;"domestic water use; irrigation";decreased;"Climate change; deforestation; human activities; over population";"climate change; deforestation; population growth; human activities";Decreased;Increased demand because of increased uses;increased demand for water;Decrease;Deteriorate;Yes;"awareness raising on conservation of water sources; enact policies, regulations and acts with worthwhile punishment to offenders; improving stakeholders' participation";"conservation of water sources - awareness raising; policy - implement; inpunity - reduce; stakeholder participation - increase";"Reforestation around water sources; law enforement; women groups to establish hame tree gardens";"afforestation; enforcement - law; home tree gardens";NA;1;0;0;0;0;0;0;0;0;0
19;Blue;132;Balance of nature;Habitat;ES.HAB;Habitat creation and maintenance;Regulating;NA;NA;High;"climate control; species protection; provision of employment through employment; source of food and medicine";"physical; cultural; material; security";"climate regulation; species protection; employment; food; medicine";decreased;"Human activities; industrialization; use of chemicals; over population; lack of awareness";"human activities; industrialization; use of chemicals; population growth; lack of awareness";Decreased;Human activities;human activities;Decrease;Deteriorate;Yes;"Awareness raising on nature; support of local research";"nature - awareness raising; local research - support";Demarcate areas with strict utilization;land use plan;NA;1;1;1;1;0;0;0;0;0;0
20;Green;1;Timber;Building materials;ES.MAT;Materials and assistance;Provisioning;Forest;forest;High;"Building materials to expand settlement; source of income";material;"building material; source of income; settlement development";increased;Population increase has let to increased demand for settlement development;"population growth; increased demand";No answer;No answer;NA;Increase;No answer;Yes;"Tree planting especially timber varieties; enactment and strict policies in support of afforestation; population control";"reforestation; reforestation policies - implement; population - control";No answer;NA;NA;1;0;0;0;0;0;0;0;1;0
21;Green;1;Food;Food;ES.FOD;Food and feed;Provisioning;"Aquatic; agriculture; fores";"forest; agriculture; freshwater";High;Source of livelihood for people and animals;material;livelihood;decreased;Climate change has affected production and water availability;Climate change;No answer;No answer;NA;Decrease;No answer;Yes;"Population control; Sustainable harvesting";No answer;No answer;NA;NA;1;0;0;0;1;0;0;1;1;0
22;Green;1;Income;Income;ES.LIV;Other - livelihoods, economy, employment and income;Other;"Aquatic; agriculture; fores";"forest; agriculture; freshwater";High;Improves people's living conditions;physical;"livelihood; wellbeing";decreased;"Over exploitation of forest products; climate change";"Overexploitation; Climate change";No answer;No answer;NA;Decrease;No answer;Yes;"Sustainable harvesting; Government should enact strict laws and policies to control exploitation of mountain products";"sustainable harvesting - promote; resources use laws - enact; resources use policies - implement";No answer;Strict laws and policies;NA;0;0;1;0;1;0;0;1;1;0
23;Green;19;Fresh water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Forest;forest;High;"Water for drinking; domestic use, industrial and wildlife";"physical; material";"domestic water use; industry; wildlife";decreased;Forest cutivation;deforestation;Increased;"There is increased  water use; Climate change; Deforestation ";"increased water use; climate change; deforestation";Decrease;Deteriorate;Yes;"Education; strict laws & policies";"education - provide; laws -strict - enact; policies - strict - implement";No answer;NA;NA;1;0;1;0;0;0;0;0;1;0
24;Green;19;Medicines;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;Savannah;grassland;High;Treatment of a lot of human diseases including malaria and cancer;physical;health;decreased;Most forests have been cleared for timber and charcoalproduction ;"deforestation; overexploitation; charcoal production";Decreased;Lack of production;lack of production;Decrease;Deteriorate;Yes;"Education on the importance of the resource; strict laws and policies; Aforestation";"natural resources - education; laws -strict - enact; policies - strict - implement; reforestation";No answer;NA;NA;0;0;1;0;0;0;0;0;0;1
25;Green;21;Climate regulation;Climate regulation;ES.CLI;Regulation of climate;Regulating;Montane forests;forest;Moderate;Influences livelihoods such as agricultural production;"physical; material";"livelihood; agricultural production";decreased;"Climate variability due to global warming; temperature rise has caused severe decrease of snow and mountain glacies";Climate change;No answer;No answer;NA;Decrease;Deteriorate;Yes;Increase carbon stock through reforestation and conservation of forests;"carbon stock - increase; reforestation; forests - conservation";No answer;NA;NA;1;0;1;0;0;0;0;0;1;0
26;Green;21;Income;Income;ES.LIV;Other - livelihoods, economy, employment and income;Other;"Grasslands; forest; Alpine";"grassland; forest; alpine";Moderate;Tourism and other forms of livelihoods;material;"tourism; livelihood";decreased;There are fewer product availability;Less availability;Decreased;"Biodiversity loss; Deforestation; Climate change";"climate change; biodiversity loss; deforestation";Decrease;Deteriorate;Yes;Enhancement of conservation efforts;conservation efforts - enhance;"Government; NGOs; Local community";"Government; NGOs; Local communities";Did not visit the environment in 10 years time but conversant with its current state;1;0;0;0;0;0;1;0;1;1
27;Green;21;Fresh water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;"Aquatic habitat; montane forest; glacier";"freshwater; forest; alpine";High;Water reserves are important for develpment activities, agriculture health and research activities;material;"development; agriculture; livelihood; research";decreased;Changes in water cycles largely due to deforestation;"water cycles; deforestation";Decreased;"Changes in water cycles have led to reduced water downstream; increased population has caused redueced accessbility";"population growth; reduced water flows";Decrease;Deteriorate;Yes;Reforestation and conservation ;"reforestation; conservation";"Communities;Government";"Government;  Local communities";Did not visit the environment in 10 years time but conversant with its current state;1;0;0;0;0;0;1;1;1;0
28;Green;24;Biodiversity;Biodiversity;ES.HAB;Habitat creation and maintenance;Regulating;Forest;forest;High;Nature Regulation;physical;"habitat; ecosystem function";decreased;"Human activities; Climate Change";"human activities; climate change";Decreased;Environmental degradation;environmental degradation;Decrease;Deteriorate;Yes;"Conservation initiatives; Law & by-law enforcements";"conservation;  law - enforce";No answer;NA;There is an urgent need of conservation;0;0;1;0;0;0;0;0;1;0
29;Green;24;Fresh water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Aquatic;freshwater;High;Without water, there is no life on the earth;physical;"sustain life; life support system";decreased;Due to environmental degradation and climate change;"environmental degradation; climate change";Decreased;"Human population increase; increased scarcity";"population growth; scarcity";Decrease;Deteriorate;Yes;"Environmental education; Restoration of degraded habitatis; Law and by-law enforcement";"environmental - education; degraded habitats - restore; law & by-laws - enforce";No answer;NA;Nature/habitat restoration;0;0;1;0;0;0;0;1;0;0
30;Green;25;Climate regulation;Climate regulation;ES.CLI;Regulation of climate;Regulating;Forest;forest;High;"Sustainable agriculture production; Climate change mitigation";material, security;"sustainable agriculture; climate change mitigation";decreased;Unsustainable use of forest products;overexploitation;Decreased;Decrease in forest/vegetation cover;decreased forest cover;Decrease;Deteriorate;Yes;"Conservation initiatives; afforestation; support use of environmentally friendly gas to reduce pressure on the forest resources";"conservation initiatives;reforestation; alternative energy sources - support use";No answer;NA;NA;1;1;0;0;0;0;0;0;1;0
31;Green;25;Food;Food;ES.FOD;Food and feed;Provisioning;Agricultural land;agriculture;High;Livelihood base for communities;material;livelihood;decreased;"Increased soil erossion; declinié in soil fertility; decline in water for irrigation";"soil erosion; soil fertility decline; declined water availability";Decreased;Reduced water flows in the rivers due to climate change and other anthropogenic activities;"climate change; human activities";Decrease;Deteriorate;Yes;"Use of improved technologies; Conservation of land and water resources";"Improved technologies - apply; natural resources - conservation";No answer;NA;NA;1;0;0;0;1;0;0;0;0;0
32;Green;25;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;"Forests; Agricultural land";"forest; agriculture";High;Biodiversity contributes to subsiscence and national economy;material;"national economy; subsistence economy";decreased;Climate change and other anthropogenic activities;"Climate change; human activities";Decreased;Conversion of habitats due to increased commercialization of products;"habitat conversion; commercialization";Decrease;Deteriorate;Yes;Improve and support ecotourism and other forms of tourism;ecotourism - develop;No answer;NA;NA;1;0;0;0;1;0;0;0;1;0
33;Green;26;Food;Food;ES.FOD;Food and feed;Provisioning;Forests;forest;High;Food  and medicine provisioning;physical;"food; medicine";decreased;"Population growth; Human activities";"population growth; human activities";Decreased;Human interventions and forest clearing has caaused decreased services;"human activities; deforestation";Decrease;Deteriorate;Yes;"Environmental education; Clear land use policies";"environmental - education; land-use policies - land use plans and policies - provide clarity";No answer;NA;Conservation of nature;0;0;1;0;0;0;0;0;1;0
34;Green;26;Climate regulation;Climate regulation;ES.CLI;Regulation of climate;Regulating;"Forests; Woodlands";forest;High;Good climatic conditions which enables proper working conditions;material;"good climate; good working conditions";decreased;Population pressure has caused increased clearing of vegetation;"population growth; habitat destruction";Decreased;Deforestation;deforestation;Decrease;Deteriorate;Yes;"Proper conserrvation initiatives and community education on the effects arising from mismanagement of forests; clear land use plan and policies";"conservation initiatives; forest management - education; land use plans and policies - provide clarity";;NA;"More research on climate change impacts and adaptation; Conservation measures to protect the nature";1;0;0;0;0;0;0;0;1;0
35;Green;26;Fresh air;Air;ES.AIR;Regulation of air quality;Regulating;Forests;forest;High;Provides fresh air ;physical;fresh air;decreased;Increased polution due to human activities;"pollution; human activities";Decreased;Increased pollution;pollution;Decrease;Deteriorate;Yes;Pollution control mechanisms;pollution - control;No answer;NA;Advocate afforestation and conservation efforts;0;0;1;0;0;0;0;0;1;0
36;Green;31;Income;Income;ES.LIV;Other - livelihoods, economy, employment and income;Other;Tourism & Products;NA;High;"For National GDP and development; Household subsistence development";material;"national gdp; household income";no answer;No answer;NA;No answer;No answer;NA;No answer;No answer;Yes;Trading our icon as the tallest mountain in Africa and attract more toursists, support ecotourism;"ecotourism - develop; Kilimanjaro - increase marketing ";Government;Government;NA;1;0;0;0;0;0;0;0;0;0
37;Green;31;Food;Food;ES.FOD;Food and feed;Provisioning;Plants;NA;Moderate;Food for human and otther animals;physical;"food; fodder";no answer;No answer;NA;No answer;No answer;NA;No answer;No answer;Yes;"Develop land use plans; establish sustainable irrigation schemes; Financial support to farmers; Agriculture extension services to farmers";"land use plans - develop; sustainable irrigation - establish; farmers - provide financial support; agricultural extension services - improve";No answer;NA;NA;0;0;1;0;0;0;0;0;0;0
38;Green;31;Water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Mountain;forest;High;"Support agricultural activities; rain source; Climate regulation; support aquatic life";"physical; material";"rain source; climate regulation; support aquatic life; agriculture";no answer;No answer;NA;No answer;No answer;NA;No answer;No answer;Yes;"Afforestation and conservation of the existing vegetation to support proper functioning of the hydrological cycle eventually supporting human activities such as agriculture; Useful guidelnes to support nature conservation";"reforestation; conservation";Government;Guidelines/Acts;NA;1;0;1;0;0;0;0;0;1;0
39;Green;38;Soil fertility;Soil fertility;ES.SOL;Formation, protection and decontamination of soils, and sediments;Regulating;No answer;NA;High;Ensure livelihood of people through crop production;"physical; material";"livelihood; agriculture";increased;More efforts are emphasized on plantations and afforestation;"reforestation; plantation";Increased;"Increased awareness of individuals about not to cut trees; afforestation efforts";"increased awareness; reforestation";Decrease;Deteriorate;Yes;More enforcement and low regulation;laws and regulations - enforce;No answer;NA;NA;1;0;1;0;0;0;0;0;0;0
40;Green;38;Ecotourism;Ecotourism;ES.EXP;Physical and psychological experiences;Cultural;Forest;forest;High;Biodiversity conservation;cultural;biodiversity conservation;increased;"Conservation campaigns; Government support";"conservation campaigns; government support";Increased;Conservation education and awareness raising efforts have rendered people to better understand importance of the service;"conservation education; awareness raisning";Decrease;Deteriorate;Yes;"More awareness raising campaigns will increase knowledge of the local communities; clear laws and enforcement";"raising awareness; laws and regulations - enforce";Government;Law enforcement;NA;0;0;0;1;0;0;0;0;1;0
41;Green;38;Carbon sequestration;Carbon sequestration;ES.CLI;Regulation of climate;Regulating;Forest;forest;High;Determines the trend of climate change;security;climate change mitigation;increased;"Increased awareness among communities on the importance of conserving plants/forests; aforestation efforts";"Increased awareness; reforestation";Increased;Increased areas that are protected;protected areas;Decrease;Deteriorate;Yes;Need for more awareness raising efforts at all levels;awareness raising;No answer;NA;NA;0;1;0;0;0;0;0;0;1;0
42;Green;45;Food;Food;ES.FOD;Food and feed;Provisioning;Savannah;grassland;High;Support human livelihood;"security; physical";livelihood;decreased;"Loss of soil fertility; Change in Climatic condition";"soil fertility decline; climate change";Decreased;"Increased population; Loss of soil fertility";"population growth; soil fertility loss";Decrease;Deteriorate;Yes;"To deploy proper land use plans and management; introduce equitable land use and access; balance the inetr-socioeconomic activities in the ecosystem";"land use plans - better - implement; land access - equitable - provide; resources use - sustainable";No answer;NA;NA;0;1;1;0;0;0;0;0;0;1
43;Green;45;Timber;Building materials;ES.MAT;Materials and assistance;Provisioning;Forest;forest;High;"Source of building materials; carbon sequestration and Charcoal production";material;"building material; charcoal; carbon sequestration";decreased;"Deforestation; Forest conversion into settlement areas; agricultural expansion and other socioeconomic activities";"deforestation; forest conversion to settlement; agriculture expansion; human activities";Decreased;"Competitive land uses such as livestock keepers vs farmers; propulation increase causes excessive use of forests";"land use competition / conflict; population growth; overexploitation of forests";Decrease;Deteriorate;Yes;"Control land uses such as settlement and agriculture areas; Advocate agroforest; good governance";"agricultural expansion - control; settlement expansion - control; agroforestry - expand; good governance - improve";No answer;NA;NA;1;0;0;0;0;0;0;0;1;0
44;Green;45;"Aquatic (Rivers; Pond; Springs)";Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;NA;NA;High;"For irrigation activities; Human consumption as well as for agriculture";"physical; material";"human consumption; irrigation; agriculture";decreased;"Poor management of water bodies by communities living adjacent to catchment areas; excessive climatic conditions such as drought, flooding; Deforestation of river catchment";"poor water management practices; deforestation; climate change";Decreased;"Increased population; water pollution; excessive competition among various users";"population growth; land use competition / conflict";Decrease;Deteriorate;Yes;"Clear strategies and laws; advocate Integrated Water resource Management; Ensure equitable use of existing water resources; control water pollution";"strategies - provide clarification; laws - provide clarification; Intergrated Water Resources Managment - advocate; water resources - ensure equitable use; water pollution - control";Government;Equitable use of existing water resources;NA;1;0;1;0;0;0;0;0;0;0
45;Green;52;Firewood;Fuelwood;ES.NRG;Energy;Provisioning;All;NA;Moderate;Source of cooking energy;physical;cooking fuel;decreased;"Deforestation; lack of water; Population increase; lack of alternative energy sources";"deforestation; reduced water availability; population growth; no alternative energy";Decreased;"Deforestation; lack of water; Population increase; lack of alternative energy sources";"deforestation; population growth; climate change";Decrease;Deteriorate;Yes;"Alternative sources of cooking energy; Reforestation efforts; Community sensittization";"reforestation; alternative energy sources - provide; awareness raising";No answer;NA;NA;0;0;1;0;0;0;0;0;0;0
46;Green;52;Livelihoods;Livelihoods;ES.WEB;Other - human health and wellbeing;Other;Pasturers;grassland;High;Healthy pastures are critical to the livelihoods of pastoral communities;"physical; material";"livelihood; healthy pastures";decreased;"Deforestation; lack of water; overgrzing; Population increase";"deforestation; population growth; overgrazing; water scarcity";Decreased;"Deforestation; lack of water; overgrzing; Population increase";"deforestation; population growth; water scarcity; overgrazing";Decrease;Deteriorate;Yes;"Reforestation and conservation; Cattle ownership; Community sensitization; alternative income generating activities to help pastoralists keep less livestock ";"reforestation; conservation; awareness raising; alternative income generation - provide";No answer;NA;NA;1;0;1;0;0;0;0;0;0;1
47;Green;52;Medicines;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;NA;NA;High;"Communities depend on the plants/roots as sources of medicine for families; income generation";"physical; material";"health; income";decreased;"Deforestation; Climate change; Over harvesting";"deforestation; climate change; overharvesting";Decreased;"Deforestation; Climate change; Over harvesting";"deforestation; climate change; overharvesting";Decrease;Deteriorate;Yes;"Reforestation; Community sensitization; alternative income generating activities";"reforestation; awareness raising; alternative income generation - provide";No answer;NA;NA;1;0;1;0;0;0;0;0;0;0
48;Green;76;Mprovision of products such as medicines;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;"Forests; Savanah";"forest; grassland";High;"Products; income generation; healthy";"physical; material";"products; income; health";decreased;"Human activities; Climate Change; littel knowledge";"human activities; climate change; lack of knowledge";Decreased;"Human activities; Climate Change; littel knowledge";"human activities; climate change; lack of knowledge";Decrease;Deteriorate;Yes;"Conservation education;  sustainable harvesting of products";"conservation - education; sustainable harvesting";No answer;NA;NA;1;0;1;0;0;0;0;0;1;1
49;Green;76;Biodiversity;Biodiversity;ES.HAB;Habitat creation and maintenance;Regulating;All;NA;High;"Conservation of species; buffer to all ecosystems; tourism; agroecological functions";"physical; material";"biodiversity conservation; tourism; agroecology; ecosystem function";decreased;Human land use, Climate change;"human activities; climate change";Decreased;Decreased ranges and population size;"animal population decrease; animal range decrease";Decrease;Deteriorate;Yes;"Restrict human activities; Ensure buffer zones are well protected; awareness raising highlighting importance of agricultural touristic and conservation sectors";"human activities - restrict; buffer zones - protect; tourism sector - raise awareness; agricultural sector - raise awareness; conservation sector - raise awareness";No answer;NA;NA;1;0;1;0;0;0;0;0;0;0
50;Green;76;Carbon sequestration;Carbon sequestration;ES.CLI;Regulation of climate;Regulating;NA;NA;High;Carbonr stocks for climate change mitigation;physical;climate change mitigation;decreased;"Deforestation; increased human activities";"human activities; deforestation";Decreased;Human activities;human activities;Decrease;Deteriorate;Yes;"Prevent harvesting; Reforestation; buffer of woody vegetation";"harvesting - prevent; reforestation";No answer;NA;NA;0;0;1;0;0;0;0;0;0;0
51;Green;81;Food;Food;ES.FOD;Food and feed;Provisioning;"Agricultural land; forest; aquatic ecosystems";"forest; agriculture; freshwater";High;Food is daily necessity;physical;food;no answer;No answer;NA;No answer;No answer;NA;No answer;No answer;No answer;"Improved agricultural production; better access for farmers to distribute their goods";"agricultural production - increase; agricultural products - better";No answer;NA;NA;0;0;1;0;1;0;0;1;1;0
