No;country;study_area;Gender;Owning_garden;agricultre;common_green;Kleingarden;Visit_agriculture;Visit_opengreen;Visit_forest;Visit_water;Length_agriculture;Length_opengreen;Length_forest;Length_water;distance;transport;F6_1;F6_2;F6_3;F6_4;F6_5;F6_6;F6_7;F6_8;F6_9;F6_10;F6_11;Wolfs;Bees;herbs;trees;F8_1;F8_2;F8_3;F8_4;F8_5;F8_6;F8_7;F8_8;F8_9;F8_10;F8_11;F8_12;firewood;decoration;water;fruits_vegetables;regionality_food;Regionality_clothes;F15_1;F15_2;F15_3;F15_4;F15_5;F15_6;F15_7;F15_8;F15_9;F15_10;F15_11;F15_12;F15_13;pics_rape;pics_mosaic;pics_forest;pics_lux;pics_city;pics_mine;organisation;passive_active;birthyr;since_here;prior_region;since;kids;migration_background;where;nationality;highest_school;highest_vocation;work_nature
11;1;1;2;1;1;1;999;4;3;2;4;3;1;2;1;2;2;1;6;6;4;6;6;6;6;5;6;6;1;2;2;2;5;2;6;4;6;4;5;6;1;5;5;999;4;4;4;1;2;0;1;6;6;6;2;6;6;5;5;4;6;6;3;6;5;6;6;3;1;2;999;2002;1;999;999;2;1;     999;Magyar;2;999;2
12;1;1;1;1;1;1;999;4;1;1;1;2;1;4;3;3;3;1;6;6;4;6;4;6;4;1;6;6;1;4;1;4;4;2;6;6;6;1;6;6;5;6;6;999;4;1;4;1;3;1;1;5;6;5;1;6;6;4;4;1;6;5;5;6;6;6;6;4;5;2;999;1978;1;999;999;2;1;     999;Magyar;6; ;2
13;1;1;1;1;1;1;999;4;3;1;1;2;2;3;2;2;3;6;6;6;4;6;6;6;5;5;6;6;1;4;2;4;2;4;6;1;6;1;6;6;4;6;6;999;4;2;4;1;3;2;1;4;6;6;4;6;6;6;6;1;6;6;6;5;6;6;6;2;2;1;1;999;1;999;999;1;1;     999;Magyar;9; ;2
14;1;1;2;1;1;1;999;4;2;4;1;4;1;3;3;2;3;1;6;6;6;6;6;6;6;3;6;6;1;4;1;1;2;3;6;6;6;1;6;6;1;888;4;999;4;0;4;1;3;2;1;6;4;6;1;6;6;4;4;3;6;6;6;4;6;6;6;4;2;2;999;1977;1;999;999;1;1;     999;Magyar;5; ;1
15;1;1;2;1;1;1;999;1;0;1;1;999;999;3;3;3;1;1;6;6;5;6;6;6;6;5;6;6;2;4;3;4;3;2;6;2;6;2;6;6;5;5;6;999;4;2;4;1;3;3;1;5;5;5;1;6;6;5;5;2;2;6;6;5;4;6;6;2;3;2;999;1934;1;999;999;2;1;     999;Magyar;4; ;2
16;1;1;2;1;1;1;999;4;1;2;0;2;2;2;999;2;3;1;4;5;5;5;6;5;4;3;6;5;1;4;1;3;2;5;5;2;6;2;5;5;4;5;5;999;3;2;3;1;2;2;1;4;4;5;1;5;5;5;5;2;6;6;5;4;6;6;6;2;1;2;999;1972;2012;1;1972;2;1;     999;Magyar;6; ;1
17;1;1;1;1;1;1;999;4;3;1;1;4;2;1;1;4;1;1;6;6;5;6;6;6;6;4;6;6;1;4;1;4;4;2;6;1;6;1;6;6;5;6;6;999;4;2;4;1;3;3;1;6;6;4;5;6;6;6;6;2;6;6;6;6;6;6;6;4;3;2;999;1993;1;999;999;1;1;     999;Magyar;6; ;2
18;1;1;1;1;1;1;999;3;3;3;4;2;2;3;1;2;3;5;6;6;3;6;6;6;6;6;6;6;1;4;4;4;1;1;6;1;6;1;6;6;6;6;6;999;4;2;4;1;3;2;1;6;6;6;1;6;6;6;6;1;6;6;6;1;6;6;6;2;1;2;999;1981;1;999;999;1;1;     999;Magyar;6; ;2
19;1;1;1;1;1;1;999;4;4;2;4;2;1;3;2;2;3;4;6;6;4;6;6;6;6;1;6;6;2;1;2;1;2;2;6;3;6;1;6;6;5;6;6;999;4;3;4;1;3;2;1;6;6;6;2;6;6;6;6;2;6;6;6;3;6;6;6;2;1;2;999;1957;1;999;999;2;1;     999;Magyar;5; ;2
20;1;1;2;1;1;1;999;4;2;2;2;3;1;3;1;3;3;1;5;5;5;5;5;5;5;3;5;5;2;4;1;4;2;2;5;2;6;2;5;5;5;6;6;999;2;0;3;1;3;3;1;6;6;6;2;6;6;5;5;2;6;6;6;1;6;6;6;5;1;2;999;1980;1;999;999;1;1;     999;Magyar;5; ;2
21;1;1;2;1;1;1;999;3;0;1;0;3;999;3;999;2;2;2;5;5;5;5;5;5;4;1;6;6;1;4;1;4;3;3;6;3;6;3;4;6;4;5;5;999;3;0;4;1;2;0;2;4;4;5;2;5;5;4;4;2;6;5;6;4;6;5;5;4;5;2;999;1952;1;999;999;1;1;     999;Magyar;5; ;2
22;1;1;1;1;1;1;999;2;2;1;1;2;2;3;3;2;2;2;5;5;4;5;5;5;5;2;5;5;2;3;3;3;3;3;5;2;6;2;5;5;5;5;5;999;4;2;1;1;2;1;2;4;4;5;5;5;5;4;4;2;5;5;5;6;6;6;6;2;4;2;999;1984;2010;1;1984;1;1;     999;Magyar;6; ;2
23;1;1;2;1;1;1;999;3;3;4;1;3;2;4;4;4;3;1;6;6;6;6;6;6;6;6;6;6;3;4;3;4;5;1;6;1;6;1;5;6;6;6;5;999;4;3;4;1;3;2;1;6;5;5;1;6;6;6;6;1;6;6;6;1;3;6;6;2;1;1;1;1978;1;999;999;1;1;     999;Magyar;9; ;1
24;1;1;1;1;1;1;999;2;2;1;0;2;1;2;999;2;3;4;5;5;4;5;5;5;5;3;6;6;1;4;3;1;2;2;6;2;6;2;5;6;5;5;6;999;4;1;4;1;3;3;1;6;6;6;2;6;6;6;6;2;5;999;999;5;5;6;6;3;5;1;999;1942;1;999;999;2;1;     999;Magyar;3; ;2
25;1;1;1;1;1;0;999;3;0;1;0;3;999;3;999;2;1;2;5;5;5;6;6;6;4;3;6;6;1;4;4;4;3;3;6;3;6;2;5;6;2;6;6;999;4;1;4;1;3;3;1;5;5;5;4;5;5;5;5;2;6;6;5;6;6;6;6;3;3;1;999;1950;1;999;999;2;1;     999;Magyar;4; ;1
26;1;1;1;1;1;0;999;2;0;0;0;2;999;999;999;2;1;5;5;5;4;5;5;5;5;2;6;6;1;3;2;3;2;2;5;5;6;2;5;6;6;6;6;999;4;1;4;1;3;3;1;4;6;5;5;5;5;5;5;1;6;5;5;6;6;6;5;4;4;2;999;1955;1;999;999;2;1;     999;Magyar;3; ;2
27;1;1;2;1;1;0;999;3;0;1;0;3;999;3;999;3;3;1;5;5;5;5;6;5;5;3;6;6;2;4;4;4;1;1;5;3;6;2;6;6;3;6;6;999;4;0;4;1;3;3;1;5;5;5;2;5;5;5;5;1;6;6;5;6;6;6;6;2;1;2;999;1953;1;999;999;2;1;     999;Magyar;4; ;2
28;1;1;2;0;0;0;999;999;999;3;1;999;999;3;2;3;3;1;6;6;6;6;6;6;6;1;6;6;1;4;4;4;1;1;6;1;6;1;6;6;6;6;6;999;4;1;4;0;0;0;1;6;6;6;4;6;6;6;6;6;6;6;6;6;6;6;6;4;3;2;999;1971;1;999;999;1;1;     999;Roma;5; ;2
29;1;1;2;1;0;0;999;0;0;2;1;999;999;3;3;2;4;1;5;5;5;5;5;5;5;1;6;6;1;3;1;3;6;3;6;6;6;1;6;6;6;6;6;999;999;999;999;0;3;0;1;999;6;6;1;6;6;6;6;999;6;6;6;6;6;6;6;5;5;2;999;1981;1;999;999;2;1;     999;Roma;3; ;2
30;1;1;2;1;1;1;999;4;4;2;1;3;2;2;2;4;3;1;6;6;6;6;6;6;6;5;6;6;1;4;1;2;1;1;6;2;6;1;6;6;6;6;6;999;3;3;3;1;3;3;1;6;6;6;1;6;6;5;6;4;6;6;6;6;6;6;6;1;1;2;999;1994;1;999;999;2;1;     999;Magyar;6; ;1
31;1;1;2;1;0;0;999;0;1;3;0;999;2;3;999;2;2;3;4;6;6;6;6;6;6;1;6;6;3;1;1;4;6;1;6;1;6;6;6;6;1;6;6;999;4;0;4;1;2;2;1;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;6;2;6;2;999;1960;1;999;999;1;1;     999;Roma;2; ;2
32;1;1;2;0;0;1;999;0;2;1;0;999;1;2;999;2;3;3;6;6;6;6;6;6;4;4;6;6;1;3;1;4;6;4;6;1;6;1;6;6;6;6;4;999;4;0;1;2;3;1;6;6;6;1;6;6;6;6;4;6;6;6;6;6;6;6;6;6;6;2;999;1960;1;999;999;1;1;     999;Roma;2; ;2
33;1;1;2;1;0;0;999;0;0;2;0;999;999;3;999;3;999;1;6;6;6;6;6;6;6;1;6;6;1;3;1;1;5;2;5;5;6;1;6;6;6;6;6;999;4;0;4;1;3;0;1;6;6;6;1;6;6;6;6;888;6;6;6;6;6;6;6;6;4;2;999;1970;1990;1;1970;1;1;     999;Roma;3; ;2
34;1;1;1;0;0;0;999;0;0;2;0;999;999;5;999;2;999;2;6;6;6;6;6;6;6;2;6;6;1;4;4;4;6;888;6;6;6;6;6;6;6;6;6;999;4;1;4;0;0;0;1;6;6;6;2;6;6;6;6;888;6;6;6;6;6;6;6;5;4;2;999;1981;1;999;999;1;1;     999;Roma;4; ;2
35;1;1;2;1;1;1;999;2;0;1;0;3;999;3;999;2;4;1;6;6;6;6;6;6;6;1;6;6;1;3;1;3;1;1;6;6;6;1;6;6;6;6;6;999;4;0;4;1;3;0;1;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;1;1;2;999;1999;1;999;999;1;1;     999;Roma;4; ;2
36;1;1;2;1;1;1;999;999;0;1;0;999;999;3;999;2;1;1;6;6;6;6;6;6;6;1;6;6;1;4;4;4;6;1;6;6;6;1;6;6;4;6;6;999;3;1;3;2;1;0;1;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;1;1;2;999;1996;1;999;999;2;2;     999;Roma;0; ;2
37;1;1;999;1;0;1;999;999;0;1;0;999;999;2;999;2;3;3;6;6;6;6;6;6;6;1;6;6;1;2;1;4;4;1;6;1;6;1;6;6;5;6;6;999;3;1;2;1;3;3;1;6;6;6;6;6;6;6;999;888;1;1;6;6;6;4;6;2;3;2;999;1997;1;999;999;2;2;     999;Roma;3; ;2
38;1;1;2;1;0;1;999;999;0;1;0;999;1;3;999;2;1;1;6;6;6;6;6;6;6;1;6;6;1;1;1;3;6;1;6;6;6;1;6;6;1;6;6;999;4;0;4;1;3;0;1;6;6;6;1;6;6;6;6;999;6;6;6;6;6;6;6;5;6;2;999;2000;1;999;999;2;2;     999;Roma;3; ;2
39;1;1;2;1;0;1;999;999;1;1;0;999;1;3;999;2;3;4;6;6;6;6;6;6;4;1;6;6;3;3;3;3;1;1;6;1;6;1;6;6;4;6;6;999;4;1;4;0;3;0;1;6;6;6;6;6;6;6;6;888;6;6;6;6;6;6;6;3;6;2;999;1972;1;999;999;1;1;     999;Roma;4; ;2
40;1;1;1;1;0;0;999;999;999;1;0;999;999;3;999;2;3;5;4;6;4;6;6;6;4;1;6;6;1;3;1;3;1;1;6;1;6;1;6;6;6;6;6;999;4;1;4;0;3;3;1;6;6;6;6;6;6;6;6;888;6;6;6;6;6;6;6;1;6;2;999;1973;1993;2;999;1;1;     999;Roma;2;999;2
41;1;1;2;1;0;0;999;0;0;3;0;999;999;3;999;2;999;1;6;6;6;6;6;6;2;2;6;6;1;3;1;3;6;6;6;6;6;6;6;6;6;6;6;999;4;1;4;2;3;1;1;888;6;6;4;6;6;6;6;6;6;6;6;6;6;6;4;3;5;2;999;1974;1;999;999;1;1;     999;Roma;4; ;2
42;1;1;2;0;0;0;999;0;0;2;0;999;999;5;999;2;999;5;5;2;5;5;5;5;5;1;6;6;1;1;1;4;6;888;5;6;6;2;6;6;6;6;6;999;4;0;4;0;2;2;1;6;6;6;4;6;6;6;6;888;6;6;6;6;6;6;6;5;5;2;999;1969;1;999;999;2;999;     999;Roma;3; ;2
43;1;1;2;0;0;0;999;0;0;4;1;999;999;4;2;4;3;1;6;5;6;999;3;6;4;1;6;6;1;3;2;1;1;1;6;3;6;1;6;6;4;6;6;999;4;1;4;0;2;0;1;4;4;6;1;6;6;6;4;888;6;6;6;6;6;6;6;4;3;2;999;1987;1;999;999;1;1;     999;Roma;5; ;2
44;1;1;2;1;0;1;999;0;2;4;1;999;1;3;3;2;4;1;6;6;6;6;6;6;6;4;6;6;1;4;1;4;6;4;6;6;6;1;6;6;1;6;6;999;4;2;4;1;3;3;1;6;6;6;4;6;6;6;6;3;6;6;6;6;6;6;6;3;3;2;999;1975;1;999;999;2;1;     999;Roma;4; ;2
45;1;1;1;1;1;1;999;3;3;1;3;2;2;1;2;2;2;2;6;5;4;4;6;6;5;4;4;6;1;4;3;2;4;5;6;1;6;1;6;6;4;6;5;999;4;2;4;1;2;1;1;6;5;6;2;6;6;4;5;1;6;5;6;6;6;6;6;2;6;2;999;1994;1;999;999;2;1;     999;Magyar;6; ;2
46;1;1;2;1;1;1;999;4;1;2;1;4;2;3;1;3;3;1;5;5;5;4;5;5;4;5;5;5;1;3;1;3;6;4;6;5;5;2;6;6;6;6;6;999;4;1;3;1;2;2;2;5;5;5;2;5;5;5;5;1;5;5;5;6;6;6;6;1;1;2;999;1981;1;999;999;1;1;     999;Magyar;5; ;1
47;1;1;2;1;0;0;999;999;0;0;0;999;999;999;999;999;999;5;5;5;3;5;6;5;4;2;5;6;1;4;2;3;5;2;5;2;6;2;5;5;5;5;5;999;4;0;4;1;3;1;2;5;5;5;2;5;5;5;5;999;5;5;5;6;6;6;6;4;4;2;999;1950;1;999;999;2;1;     999;Magyar;3; ;2
48;1;1;2;1;1;0;999;2;0;1;0;2;999;2;999;2;3;3;4;4;4;5;6;5;4;3;5;5;1;3;3;3;3;3;5;3;6;2;5;6;2;4;5;999;3;999;3;1;3;3;1;5;5;5;1;5;5;5;5;3;5;5;5;5;5;6;6;2;1;2;999;1967;1;999;999;2;1;     999;Magyar;4; ;2
49;1;1;1;1;0;0;999;999;999;0;0;999;999;999;999;999;999;5;2;4;6;6;6;6;3;1;6;6;1;4;4;1;6;1;6;6;6;1;6;6;6;6;6;999;4;0;4;999;3;3;2;6;6;6;1;6;6;6;999;1;6;6;6;6;6;6;6;5;6;2;999;1951;1;999;999;999;1;     999;Magyar;4; ;2
50;1;1;2;1;1;1;999;3;2;3;3;2;2;3;2;3;3;2;5;5;4;5;6;6;5;3;4;6;2;4;1;4;4;5;6;4;6;3;6;6;4;5;5;999;4;2;3;1;3;2;2;4;4;5;3;5;5;5;4;5;5;5;6;4;6;6;5;3;2;1;2;1964;1;999;999;1;1;     999;Magyar;9; ;2
51;1;1;2;0;0;0;999;0;0;1;1;999;999;3;1;3;3;1;6;6;6;6;6;6;6;3;6;6;1;4;4;4;1;6;6;6;6;1;6;6;6;6;6;999;4;2;4;0;3;3;1;999;6;6;1;6;6;6;6;888;6;6;6;6;6;6;6;6;1;2;999;1979;1;999;999;1;1;     999;Roma;4; ;2
52;1;1;2;1;1;1;999;3;1;2;1;3;2;3;4;3;3;1;6;6;5;6;6;6;6;3;6;6;3;4;3;4;3;1;5;2;6;2;5;6;4;5;5;999;3;0;4;1;3;2;1;5;5;6;1;6;6;5;5;2;5;5;5;5;6;6;6;2;2;2;999;1971;1;999;999;2;1;     999;Magyar;6; ;1
53;1;1;1;1;1;0;999;2;0;1;0;3;999;3;999;2;1;1;6;4;4;6;6;6;4;1;6;6;1;1;1;4;6;1;6;6;6;1;6;6;6;6;6;999;4;2;4;1;3;1;1;6;6;6;5;6;6;6;6;999;6;6;6;6;6;6;6;5;6;2;999;1984;1;999;999;1;1;     999;Roma;4; ;2
54;1;1;1;1;0;1;999;0;2;999;0;999;1;3;999;2;1;4;6;4;4;6;6;6;4;1;6;6;1;1;4;4;6;6;6;6;6;6;6;6;6;6;6;999;4;2;4;1;3;0;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;5;5;2;999;1993;1;999;999;1;1;     999;Roma;4; ;2
55;1;1;2;1;1;0;999;3;999;3;0;4;999;4;999;2;1;5;2;2;6;6;6;6;6;1;6;6;1;1;2;1;6;1;6;6;6;1;6;6;6;6;6;999;2;0;4;1;3;3;1;999;6;6;6;6;6;6;2;888;6;6;6;6;5;6;1;6;5;2;999;1983;1;999;999;1;1;     999;Roma;2; ;2
56;1;1;1;1;0;1;999;999;3;3;3;999;2;3;2;2;1;1;6;6;6;6;6;6;6;1;6;6;1;3;3;3;1;3;6;1;6;1;6;6;5;6;6;999;4;1;2;1;3;3;1;6;6;6;6;6;6;6;6;888;6;6;6;6;6;6;6;4;2;2;999;1978;1996;999;999;1;1;     999;Roma;3; ;2
57;1;1;1;1;0;1;999;999;1;2;0;999;3;3;999;2;1;4;6;6;6;6;6;6;4;1;6;6;1;4;4;4;3;1;6;1;6;1;6;6;1;1;6;999;3;1;4;1;2;2;1;6;6;6;1;6;6;6;6;888;6;6; ;6;6;6;6;6;3;2;999;1978;1;999;999;1;1;     999;Roma;2; ;999
58;1;1;1;1;1;0;999;4;0;1;0;4;999;4;999;2;3;1;5;5;5;6;6;6;6;5;6;6;1;4;1;3;2;1;6;6;6;2;6;6;4;6;6;999;4;0;4;1;3;2;1;6;5;6;5;6;6;4;6;1;6;6;6;6;5;6;6;5;6;2;999;1949;1;999;999;2;1;     999;Magyar;4; ;2
59;1;1;2;1;1;1;999;3;2;2;1;3;1;3;4;2;1;5;6;5;5;6;5;6;6;5;6;6;1;4;2;1;2;3;6;1;6;1;6;6;4;6;6;999;3;1;2;1;3;2;1;4;4;5;1;6;6;6;5;2;6;4;6;6;6;6;3;6;2;2;999;1952;1;999;999;2;1;     999;Magyar;5; ;2
60;1;1;2;1;1;0;999;3;0;3;2;4;999;4;3;4;1;1;6;6;5;5;6;6;6;5;6;6;3;4;3;4;4;4;6;6;6;4;5;6;4;6;6;999;3;2;4;1;3;2;1;6;5;6;1;6;6;5;6;1;6;6;5;4;6;6;6;5;5;2;999;1977;1;999;999;2;1;     999;Magyar;9; ;1
61;1;1;2;1;1;0;999;3;999;4;4;3;4;3;1;4;3;1;6;6;6;6;6;6;4;1;6;6;1;4;1;1;5;2;6;3;6;1;6;6;5;6;6;999;3;1;4;1;3;2;1;4;5;6;1;6;6;3;999;5;6;6;5;6;5;6;6;4;3;2;999;1960;1;999;999;2;1;     999;Magyar;5; ;1
62;1;1;999;1;1;0;999;4;0;3;1;2;999;2;1;2;3;1;6;6;6;5;6;5;6;5;6;6;1;3;1;3;2;5;5;5;6;2;6;6;6;6;6;999;4;1;2;1;3;3;1;6;5;5;1;6;6;5;5;5;5;5;5;5;6;6;6;2;5;2;999;1977;1;999;999;1;1;     999;Magyar;4; ;1
63;1;1;2;1;1;0;999;4;999;4;2;2;999;4;2;4;3;1;6;6;6;5;6;6;6;5;5;6;2;3;2;4;4;5;5;6;6;4;6;6;5;2;3;999;4;1;4;2;3;3;1;6;5;5;1;6;6;6;1;1;6;6;5;5;5;6;6;2;3;1;999;1991;1;999;999;2;1;     999;Magyar;7; ;1
64;1;1;2;1;1;0;999;3;0;1;1;2;999;2;3;2;2;5;6;5;5;5;4;5;6;5;6;6;1;4;1;3;3;3;6;1;6;3;6;6;4;5;5;999;2;1;4;1;3;3;3;4;5;5;1;6;5;4;5;4;5;4;4;4;6;6;6;6;3;2;999;1976;1;999;999;2;1;     999;Magyar;5; ;2
65;1;1;1;1;1;1;999;4;2;1;1;2;1;3;3;3;3;1;5;5;4;5;6;6;5;2;6;6;1;4;1;4;3;2;6;2;6;1;6;6;4;5;6;999;3;1;3;1;3;2;1;4;4;6;5;5;5;5;5;2;5;6;5;6;6;6;6;5;4;2;999;1970;1;999;999;1;1;     999;Magyar;6; ;2
66;1;1;2;1;1;1;999;3;0;2;1;3;999;3;3;2;3;2;6;5;4;5;6;6;5;3;6;6;1;4;2;4;3;3;5;3;6;1;6;6;5;5;5;999;3;1;4;999;999;999;1;5;6;6;1;5;5;5;5;1;5;6;6;6;6;6;6;3;3;2;999;1971;1;999;999;2;1;     999;Magyar;5; ;2
67;1;1;2;1;1;0;999;999;999;0;0;999;999;999;999;999;999;4;6;6;6;6;6;6;4;4;6;6;1;4;4;1;1;1;6;1;6;1;6;6;6;6;6;999;3;0;4;1;3;3;1;6;6;6;5;6;6;6;999;888;6;6;6;6;6;6;6;3;2;2;999;1940;1;999;999;2;1;     999;Magyar;4; ;2
68;1;1;1;1;1;0;999;1;999;0;0;2;999;999;999;2;1;3;6;6;6;6;6;6;4;3;6;6;1;4;4;4;6;1;6;1;6;1;6;6;6;6;6;999;3;0;3;1;3;3;1;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;3;3;2;999;1944;1;999;999;2;1;     999;Magyar;2; ;2
69;1;1;2;1;1;0;999;3;999;3;2;3;999;4;4;2;3;1;6;5;999;4;6;6;5;5;6;6;2;4;1;3;1;1;6;1;6;1;999;6;4;6;6;999;4;2;4;1;3;3;1;6;4;6;1;6;6;6;5;1;6;6;6;5;5;6;6;1;2;2;999;1961;1;999;999;1;1;     999;Secler;7; ;2
70;1;1;2;1;1;1;999;3;2;2;0;3;1;3;999;2;1;1;6;6;6;6;6;6;6;4;6;6;2;4;4;4;3;1;6;1;6;1;6;6;6;6;6;999;4;1;4;1;3;1;1;6;6;6;1;6;6;6;4;4;6;6;6;6;4;6;5;4;3;2;999;1965;1;999;999;2;1;     999;Magyar;5; ;2
71;1;1;2;1;1;1;999;3;1;3;0;3;1;4;999;2;1;1;6;6;6;6;6;6;4;5;6;6;1;4;4;4;6;4;6;4;6;1;6;6;4;6;6;999;4;2;4;1;3;2;1;6;4;6;1;6;6;6;6;4;6;6;6;4;6;6;5;4;3;1;999;1941;1;999;999;2;1;     999;Magyar;3; ;2
72;1;1;1;1;1;1;999;2;2;2;0;3;1;3;999;2;1;1;6;6;6;6;6;6;4;4;6;6;1;4;3;3;3;4;6;4;6;6;6;6;2;6;6;999;3;999;4;1;3;2;1;6;6;6;3;6;6;6;6;2;6;6;6;4;6;6;5;4;3;2;999;1944;1;999;999;2;1;     999;Magyar;2; ;2
73;1;1;1;1;1;1;999;4;1;1;0;3;2;3;999;2;3;5;5;5;5;5;5;5;4;1;5;5;1;3;1;1;5;1;6;3;6;1;6;6;1;6;5;999;4;3;4;1;3;0;1;4;5;5;5;6;6;5;5;999;2;5;5;6;6;6;6;4;5;2;999;1974;1995;1;1774;2;1;     999;Magyar;5; ;1
74;1;1;2;1;1;1;999;2;1;1;0;1;1;1;999;2;1;1;6;6;6;6;6;6;4;2;6;6;1;4;1;1;6;1;6;6;6;1;6;6;1;6;6;999;4;0;4;1;3;3;1;6;5;6;1;6;6;6;4;1;6;6;6;6;6;6;6;6;5;2;999;1940;1;999;999;2;1;     999;Magyar;4; ;2
75;1;1;1;1;0;0;999;999;999;1;1;999;999;4;4;3;3;3;5;4;1;6;6;6;6;3;6;6;3;4;4;4;1;1;6;4;6;1;6;6;4;6;6;999;3;2;3;2;3;3;1;6;6;6;6;6;6;6;6;1;6;6;6;6;4;6;6;1;6;2;999;1991;1;999;999;1;1;     999;Magyar;6; ;2
76;1;1;2;1;1;0;999;2;999;0;2;4;999;999;2;2;1;1;6;6;6;6;5;6;6;1;6;6;1;4;3;4;1;1;6;1;6;1;6;6;5;6;6;999;3;0;4;1;2;0;1;3;4;6;5;6;6;4;4;1;6;2;6;6;6;6;6;1;1;2;999;1988;2006;1;1988;1;1;     999;Magyar;4; ;2
77;1;1;2;1;1;0;999;3;0;1;0;3;999;3;999;2;1;2;5;4;5;6;6;6;4;3;6;6;1;4;2;2;6;4;6;3;6;3;6;6;6;6;6;999;4;0;4;1;3;1;1;6;6;6;1;6;6;6;6;1;6;6;6;6;6;6;6;5;5;2;999;1955;1;999;999;2;1;     999;999;5; ;2
