ID,language,timestamp,Date,Time,age,location,Firegion,RespSex,HouseHoldSize,ORIG_HouseHoldSize,UnPSunF,PSunF,OatCer,Nuts,Fat,FruBer,Bread,Insects,Pigfat,Game,Fatcakes,Seedmix,OatPorMue,OatSheaf,leftover_fish_pota,NoFood,ORIG_OtherFood,FeedChange_NOchange,FeedChange_YES_started_5y,FeedChange_YES_stopped,FeedChange_YES_more,FeedChange_YES_less,FeedChange_YES_longer,FeedChange_YES_shorter,FeedChange_Change_quality,Conflicting,Check,WhyChange_NoReason,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_Timing,WhyChange_NewLocation,WhyStop_LackOfTime,WhyStop_NotMaintain,WhyStop_HighFoodConsumption,WhyStop_HighPrice,WhyStop_Neighbours,WhyStop_HousingRules,WhyStop_AuthoritiesRules,WhyStop_BirdWatchers,WhyStop_LackOfSnow,WhyStop_Diseases,WhyStop_Magpies,WhyStop_Cats,WhyStop_Dogs,WhyStop_Ravens,WhyStop_Jackdaws,WhyStop_Jays,WhyStop_Squirrels,WhyStop_Deer,WhyStop_Rats,WhyStop_Woodpeckers,WhyStop_Crows,freeze,snow,AllWinter,ground,summer,OnlyBirds,Birdwatch,CLASS_OpenRespChanges
24,F,03/03/2021 4.18,03-03-2021,4.18.36,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,1-20 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,NA,I agree,I somewhat agree,I somewhat agree,I somewhat agree,Occasionally,6
25,F,14/03/2021 7.05,14-03-2021,7.05.50,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,1,1,1-20 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I agree,I disagree,I disagree,I agree,Occasionally,1
26,F,14/03/2021 10.17,14-03-2021,10.17.41,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,2,2,1-20 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I somewhat agree,I disagree,I somewhat disagree,I do not agree or disagree,Occasionally,3
27,F,15/03/2021 15.28,15-03-2021,15.28.36,over 70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,2,2,1-20 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,I do not offer nuts,I do not offer fat or tallow,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat disagree,I agree,I disagree,I disagree,I agree,Rarely or never,0
28,F,14/03/2021 1.05,14-03-2021,1.05.35,over 70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,1-20 kg,21-40 kg,1-20 kg,21-40 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I disagree,I disagree,I agree,I disagree,I disagree,I disagree,Regularly,6
29,F,13/03/2021 21.57,13-03-2021,21.57.27,over 70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,1-20 kg,NA,I do not offer oat or other grain,I do not offer nuts,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat agree,I agree,I disagree,I disagree,I disagree,Occasionally,0
30,F,14/03/2021 6.47,14-03-2021,6.47.29,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,2,2,1-20 kg,1-20 kg,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,less than 1 kg,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I agree,I agree,I do not agree or disagree,NA,NA,Regularly,6
31,F,13/03/2021 20.57,13-03-2021,20.57.48,over 70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,1-20 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I somewhat agree,I somewhat disagree,I disagree,I somewhat disagree,Regularly,6
32,F,13/03/2021 21.16,13-03-2021,21.16.18,61-70 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,2,2,1-20 kg,21-40 kg,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I disagree,I disagree,I agree,I somewhat disagree,I disagree,I disagree,Regularly,6
33,F,17/03/2021 18.36,17-03-2021,18.36.06,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,1-20 kg,1-20 kg,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I disagree,I disagree,I somewhat disagree,Regularly,4
34,F,14/03/2021 8.38,14-03-2021,8.38.04,61-70 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,1-20 kg,1-20 kg,I do not offer oat or other grain,1-20 kg,I do not offer fat or tallow,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I agree,I disagree,I somewhat disagree,I somewhat agree,Regularly,1
35,F,01/03/2021 16.20,01-03-2021,16.20.00,over 70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,Kaksi,1-20 kg,1-20 kg,1-20 kg,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,NA,NA,I agree,Occasionally,1
36,F,15/03/2021 13.26,15-03-2021,13.26.24,31-40 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,3,3,1-20 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,I do not offer nuts,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I do not agree or disagree,I somewhat disagree,I do not agree or disagree,Occasionally,3
37,F,03/03/2021 18.47,03-03-2021,18.47.51,41-50 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,3,3,1-20 kg,I do not offer peeled sunflower seeds,1-20 kg,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,1-2 breads,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I do not agree or disagree,I agree,I disagree,I disagree,I somewhat disagree,Regularly,1
38,F,14/03/2021 14.21,14-03-2021,14.21.01,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Man,3,3,1-20 kg,1-20 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat disagree,I agree,I disagree,I disagree,I disagree,Regularly,3
